,2021-06-30,2020-06-30,2019-06-30,2018-06-30
Investments,-103000000.0,-3000000.0,-2000000.0,-2000000.0
Change To Liabilities,50000000.0,72000000.0,36000000.0,32300000.0
Total Cashflows From Investing Activities,-649000000.0,-827000000.0,-1510000000.0,-919300000.0
Net Borrowings,99000000.0,49000000.0,150000000.0,420600000.0
Total Cash From Financing Activities,142000000.0,1002000000.0,1201000000.0,669100000.0
Change To Operating Activities,-36000000.0,33000000.0,-43000000.0,11900000.0
Issuance Of Stock,120000000.0,1046000000.0,445000000.0,277800000.0
Net Income,585000000.0,221000000.0,137000000.0,83600000.0
Change In Cash,-57000000.0,608000000.0,-65000000.0,121900000.0
Repurchase Of Stock,-46000000.0,-32000000.0,-15000000.0,-13700000.0
Effect Of Exchange Rate,17000000.0,-7000000.0,-4000000.0,-2400000.0
Total Cash From Operating Activities,433000000.0,440000000.0,248000000.0,374500000.0
Depreciation,289000000.0,254000000.0,229000000.0,190100000.0
Dividends Paid,-22000000.0,-36000000.0,-36000000.0,-36000000.0
Change To Inventory,-260000000.0,-76000000.0,-34000000.0,-1800000.0
Change To Account Receivables,-186000000.0,-151000000.0,-119000000.0,-33600000.0
Other Cashflows From Financing Activities,-9000000.0,-25000000.0,-29000000.0,-15600000.0
Change To Netincome,-20000000.0,75000000.0,28000000.0,87300000.0
Capital Expenditures,-686000000.0,-466000000.0,-218000000.0,-176500000.0
