Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Accounts Payable,Deferred Long Term Liab,Short Long Term Debt,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Investments
2020-09-23,28.0,33.4900016784668,27.0,33.4900016784668,33.40475082397461,7934400,BSY,1.0889818319476572,1.138677070706321,1.4325658013065192,1.1048641288809902,-0.0158822969333329,-0.1406691792947294,-0.0380742452945865,54001000.0,392896000.0,776165000.0,147431000.0,346162000.0,923596000.0,2502000.0,5085000.0,-218553000.0,81673000.0,446318000.0,-29414000.0,110661000.0,81183000.0,435742000.0,81066000.0,-29414000.0,29393000.0,283223000.0,,-352888000.0,184565000.0,258750000.0,8567000.0,,,58496000.0,-154757000.0,-11241000.0,-58799000.0,2831000.0,18952000.0,142108000.0,-53284000.0,-46451000.0,-1193000.0,161465000.0,26773000.0,-7854000.0,-20059000.0,-41787000.0,-1805000.0,-44292000.0,-18616000.0,-3000000.0
2020-09-24,30.190000534057617,33.5,30.15999984741211,32.0,31.91854476928711,701900,BSY,1.138124988422129,1.2057716658569626,1.505842477610638,1.0795772912172472,0.0585476972048817,-0.0635257095720209,0.0293468062055628,46313000.0,408667000.0,659980000.0,334619000.0,285386000.0,994599000.0,2548000.0,7233000.0,-52669000.0,33817000.0,480065000.0,-23927000.0,83306000.0,121101000.0,392413000.0,51068000.0,-23927000.0,29632000.0,353558000.0,1725000.0,-191759000.0,205145000.0,233750000.0,17669000.0,5235000.0,,41612000.0,-53693000.0,-36029000.0,-77048000.0,-668000.0,8136000.0,103088000.0,39918000.0,-24166000.0,-114000.0,170773000.0,27921000.0,-7854000.0,-24989000.0,-21152000.0,-1805000.0,24010000.0,-15804000.0,-3000000.0
2020-09-25,31.309999465942383,35.25,31.0,34.790000915527344,34.70144271850586,335900,BSY,1.0218452143754242,1.1461873026429696,1.3865202777907557,1.0516507496657936,-0.0298055352903694,-0.1136327322226606,-0.0584332214455824,46313000.0,408667000.0,659980000.0,334619000.0,285386000.0,994599000.0,2548000.0,7233000.0,-52669000.0,33817000.0,480065000.0,-23927000.0,83306000.0,121101000.0,392413000.0,51068000.0,-23927000.0,29632000.0,353558000.0,1725000.0,-191759000.0,205145000.0,233750000.0,17669000.0,5235000.0,,41612000.0,-53693000.0,-36029000.0,-77048000.0,-668000.0,8136000.0,103088000.0,39918000.0,-24166000.0,-114000.0,170773000.0,27921000.0,-7854000.0,-24989000.0,-21152000.0,-1805000.0,24010000.0,-15804000.0,-3000000.0
2020-09-28,35.13999938964844,35.349998474121094,30.299999237060547,32.119998931884766,32.03824234008789,795400,BSY,1.0647570860638869,1.2623429312841743,1.5273458192541571,1.0001758008813186,0.0645812851825682,0.0262628681016989,0.1094047644832361,46313000.0,408667000.0,659980000.0,334619000.0,285386000.0,994599000.0,2548000.0,7233000.0,-52669000.0,33817000.0,480065000.0,-23927000.0,83306000.0,121101000.0,392413000.0,51068000.0,-23927000.0,29632000.0,353558000.0,1725000.0,-191759000.0,205145000.0,233750000.0,17669000.0,5235000.0,,41612000.0,-53693000.0,-36029000.0,-77048000.0,-668000.0,8136000.0,103088000.0,39918000.0,-24166000.0,-114000.0,170773000.0,27921000.0,-7854000.0,-24989000.0,-21152000.0,-1805000.0,24010000.0,-15804000.0,-3000000.0
2020-09-29,30.809999465942383,32.09000015258789,28.63999938964844,30.020000457763672,29.943584442138672,572800,BSY,1.1602265154440436,1.3563161926489622,1.6345226230713656,1.0177523484754358,0.1424741669686078,0.1340139124319459,0.2004224268523777,46313000.0,408667000.0,659980000.0,334619000.0,285386000.0,994599000.0,2548000.0,7233000.0,-52669000.0,33817000.0,480065000.0,-23927000.0,83306000.0,121101000.0,392413000.0,51068000.0,-23927000.0,29632000.0,353558000.0,1725000.0,-191759000.0,205145000.0,233750000.0,17669000.0,5235000.0,,41612000.0,-53693000.0,-36029000.0,-77048000.0,-668000.0,8136000.0,103088000.0,39918000.0,-24166000.0,-114000.0,170773000.0,27921000.0,-7854000.0,-24989000.0,-21152000.0,-1805000.0,24010000.0,-15804000.0,-3000000.0
2020-09-30,30.020000457763672,31.39999961853028,29.049999237060547,31.39999961853028,31.32007026672364,379600,BSY,1.1165606026087622,1.3642841974754238,1.5907572236252248,1.0045339769584258,0.1120266256503363,0.1307009238734253,0.1632641536377213,46313000.0,408667000.0,659980000.0,334619000.0,285386000.0,994599000.0,2548000.0,7233000.0,-52669000.0,33817000.0,480065000.0,-23927000.0,83306000.0,121101000.0,392413000.0,51068000.0,-23927000.0,29632000.0,353558000.0,1725000.0,-191759000.0,205145000.0,233750000.0,17669000.0,5235000.0,,41612000.0,-53693000.0,-36029000.0,-77048000.0,-668000.0,8136000.0,103088000.0,39918000.0,-24166000.0,-114000.0,170773000.0,27921000.0,-7854000.0,-24989000.0,-21152000.0,-1805000.0,24010000.0,-15804000.0,-3000000.0
2020-10-01,31.479999542236328,32.9900016784668,29.239999771118164,30.5,30.422361373901367,315800,BSY,1.1731146911560753,1.4439215003261112,1.641309989749894,1.0149206669190165,0.1581940242370587,0.188977293848038,0.2262145437908773,46313000.0,408667000.0,659980000.0,334619000.0,285386000.0,994599000.0,2548000.0,7233000.0,-52669000.0,33817000.0,480065000.0,-23927000.0,83306000.0,121101000.0,392413000.0,51068000.0,-23927000.0,29632000.0,353558000.0,1725000.0,-191759000.0,205145000.0,233750000.0,17669000.0,5235000.0,,41612000.0,-53693000.0,-36029000.0,-77048000.0,-668000.0,8136000.0,103088000.0,39918000.0,-24166000.0,-114000.0,170773000.0,27921000.0,-7854000.0,-24989000.0,-21152000.0,-1805000.0,24010000.0,-15804000.0,-3000000.0
2020-10-02,29.18000030517578,30.440000534057617,29.14999961853028,30.170000076293945,30.09320068359375,140000,BSY,1.1919124850166414,1.5373455776021352,1.6556107987676634,1.0320563943288297,0.1598560906878119,0.2715874676979302,0.2429161296759492,46313000.0,408667000.0,659980000.0,334619000.0,285386000.0,994599000.0,2548000.0,7233000.0,-52669000.0,33817000.0,480065000.0,-23927000.0,83306000.0,121101000.0,392413000.0,51068000.0,-23927000.0,29632000.0,353558000.0,1725000.0,-191759000.0,205145000.0,233750000.0,17669000.0,5235000.0,,41612000.0,-53693000.0,-36029000.0,-77048000.0,-668000.0,8136000.0,103088000.0,39918000.0,-24166000.0,-114000.0,170773000.0,27921000.0,-7854000.0,-24989000.0,-21152000.0,-1805000.0,24010000.0,-15804000.0,-3000000.0
2020-10-05,30.39999961853028,30.5,29.5,29.920000076293945,29.843839645385746,361400,BSY,1.1834892153759302,1.6094017377519585,1.6667663038632836,1.0169315507029275,0.1665576646730024,0.3667687260550756,0.2730450989031665,46313000.0,408667000.0,659980000.0,334619000.0,285386000.0,994599000.0,2548000.0,7233000.0,-52669000.0,33817000.0,480065000.0,-23927000.0,83306000.0,121101000.0,392413000.0,51068000.0,-23927000.0,29632000.0,353558000.0,1725000.0,-191759000.0,205145000.0,233750000.0,17669000.0,5235000.0,,41612000.0,-53693000.0,-36029000.0,-77048000.0,-668000.0,8136000.0,103088000.0,39918000.0,-24166000.0,-114000.0,170773000.0,27921000.0,-7854000.0,-24989000.0,-21152000.0,-1805000.0,24010000.0,-15804000.0,-3000000.0
2020-10-06,30.14999961853028,30.31999969482422,29.5,30.190000534057617,30.11315155029297,507900,BSY,1.215302999170761,1.6294878807679063,1.680391594508323,1.0491302463111982,0.1661727528595626,0.3757878579056941,0.2697283345424626,46313000.0,408667000.0,659980000.0,334619000.0,285386000.0,994599000.0,2548000.0,7233000.0,-52669000.0,33817000.0,480065000.0,-23927000.0,83306000.0,121101000.0,392413000.0,51068000.0,-23927000.0,29632000.0,353558000.0,1725000.0,-191759000.0,205145000.0,233750000.0,17669000.0,5235000.0,,41612000.0,-53693000.0,-36029000.0,-77048000.0,-668000.0,8136000.0,103088000.0,39918000.0,-24166000.0,-114000.0,170773000.0,27921000.0,-7854000.0,-24989000.0,-21152000.0,-1805000.0,24010000.0,-15804000.0,-3000000.0
