Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Accounts Payable,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Issuance Of Stock
2020-07-15,25.0,26.25,18.709999084472656,19.459999084472656,19.459999084472656,40101500,GOCO,0.8643371267291106,0.6197328359197871,0.7718397309560149,1.0561175899815567,-0.1917804632524461,-0.4876876672405899,-0.5855002834406086,735754000.0,,672898000.0,412961000.0,,5021000.0,1720411000.0,412880000.0,,188330000.0,386553000.0,81000.0,368789000.0,118341000.0,87333000.0,4170000.0,81000.0,12467000.0,216848000.0,-709346000.0,83488000.0,397235000.0,10243000.0,-16423000.0,-4242000.0,-1115000.0,-2267000.0,-26570000.0,-22866000.0,-34082000.0,183000.0,-27756000.0,24518000.0,-2859000.0,-1152000.0,15781000.0,-4242000.0,852407000.0
2020-07-16,19.01000022888184,20.39999961853028,19.0,19.75,19.75,6203100,GOCO,0.9716455966611452,0.6106329326388202,0.7422784732866891,1.0603047606893516,-0.0886591640282064,-0.4867290202867385,-0.6174089865840121,735754000.0,,672898000.0,412961000.0,,5021000.0,1720411000.0,412880000.0,,188330000.0,386553000.0,81000.0,368789000.0,118341000.0,87333000.0,4170000.0,81000.0,12467000.0,216848000.0,-709346000.0,83488000.0,397235000.0,10243000.0,-16423000.0,-4242000.0,-1115000.0,-2267000.0,-26570000.0,-22866000.0,-34082000.0,183000.0,-27756000.0,24518000.0,-2859000.0,-1152000.0,15781000.0,-4242000.0,852407000.0
2020-07-17,20.0,21.600000381469727,19.850000381469727,21.299999237060547,21.299999237060547,4958500,GOCO,0.8934272942852788,0.5530516504655453,0.6934272763759014,1.0508986066031938,-0.157471312317915,-0.5451022133022306,-0.6713658706820597,735754000.0,,672898000.0,412961000.0,,5021000.0,1720411000.0,412880000.0,,188330000.0,386553000.0,81000.0,368789000.0,118341000.0,87333000.0,4170000.0,81000.0,12467000.0,216848000.0,-709346000.0,83488000.0,397235000.0,10243000.0,-16423000.0,-4242000.0,-1115000.0,-2267000.0,-26570000.0,-22866000.0,-34082000.0,183000.0,-27756000.0,24518000.0,-2859000.0,-1152000.0,15781000.0,-4242000.0,852407000.0
2020-07-20,21.170000076293945,21.61000061035156,20.350000381469727,20.989999771118164,20.989999771118164,2750900,GOCO,0.9061458153960928,0.5397808502740394,0.696522155549326,1.0499296408975316,-0.1437838255014387,-0.5548394347637383,-0.6910688476752369,735754000.0,,672898000.0,412961000.0,,5021000.0,1720411000.0,412880000.0,,188330000.0,386553000.0,81000.0,368789000.0,118341000.0,87333000.0,4170000.0,81000.0,12467000.0,216848000.0,-709346000.0,83488000.0,397235000.0,10243000.0,-16423000.0,-4242000.0,-1115000.0,-2267000.0,-26570000.0,-22866000.0,-34082000.0,183000.0,-27756000.0,24518000.0,-2859000.0,-1152000.0,15781000.0,-4242000.0,852407000.0
2020-07-21,21.01000022888184,21.239999771118164,20.100000381469727,20.89999961853028,20.89999961853028,5355400,GOCO,0.8148325836114578,0.5545454719679521,0.7047846799564759,1.035121986103813,-0.2202894024923551,-0.543429015413355,-0.6427689041009599,735754000.0,,672898000.0,412961000.0,,5021000.0,1720411000.0,412880000.0,,188330000.0,386553000.0,81000.0,368789000.0,118341000.0,87333000.0,4170000.0,81000.0,12467000.0,216848000.0,-709346000.0,83488000.0,397235000.0,10243000.0,-16423000.0,-4242000.0,-1115000.0,-2267000.0,-26570000.0,-22866000.0,-34082000.0,183000.0,-27756000.0,24518000.0,-2859000.0,-1152000.0,15781000.0,-4242000.0,852407000.0
2020-07-22,21.200000762939453,22.21999931335449,20.76000022888184,21.979999542236328,21.979999542236328,2230900,GOCO,0.7265696360157413,0.5450409368396847,0.6055505321572218,1.0249122036135947,-0.2983425675978534,-0.5507550713546956,-0.7403639469184434,735754000.0,,672898000.0,412961000.0,,5021000.0,1720411000.0,412880000.0,,188330000.0,386553000.0,81000.0,368789000.0,118341000.0,87333000.0,4170000.0,81000.0,12467000.0,216848000.0,-709346000.0,83488000.0,397235000.0,10243000.0,-16423000.0,-4242000.0,-1115000.0,-2267000.0,-26570000.0,-22866000.0,-34082000.0,183000.0,-27756000.0,24518000.0,-2859000.0,-1152000.0,15781000.0,-4242000.0,852407000.0
2020-07-23,22.18000030517578,22.39999961853028,20.299999237060547,21.030000686645508,21.030000686645508,1926300,GOCO,0.7375178184721132,0.5354255759027232,0.6362339361661314,1.042919681119605,-0.3054018626474921,-0.5374830389384703,-0.7109830963985536,735754000.0,,672898000.0,412961000.0,,5021000.0,1720411000.0,412880000.0,,188330000.0,386553000.0,81000.0,368789000.0,118341000.0,87333000.0,4170000.0,81000.0,12467000.0,216848000.0,-709346000.0,83488000.0,397235000.0,10243000.0,-16423000.0,-4242000.0,-1115000.0,-2267000.0,-26570000.0,-22866000.0,-34082000.0,183000.0,-27756000.0,24518000.0,-2859000.0,-1152000.0,15781000.0,-4242000.0,852407000.0
2020-07-24,20.34000015258789,20.75,18.75,19.780000686645508,19.780000686645508,4509600,GOCO,0.722952461795895,0.56521738711182,0.7037411321068381,1.0525520783774,-0.329599616581505,-0.5059058547146431,-0.6430562258009029,735754000.0,,672898000.0,412961000.0,,5021000.0,1720411000.0,412880000.0,,188330000.0,386553000.0,81000.0,368789000.0,118341000.0,87333000.0,4170000.0,81000.0,12467000.0,216848000.0,-709346000.0,83488000.0,397235000.0,10243000.0,-16423000.0,-4242000.0,-1115000.0,-2267000.0,-26570000.0,-22866000.0,-34082000.0,183000.0,-27756000.0,24518000.0,-2859000.0,-1152000.0,15781000.0,-4242000.0,852407000.0
2020-07-27,19.89999961853028,20.46999931335449,19.89999961853028,20.100000381469727,20.100000381469727,885900,GOCO,0.6945273519007867,0.5308457648652913,0.7104477344257158,1.045546571033957,-0.3510192191331706,-0.5022254911127855,-0.6359170416587254,735754000.0,,672898000.0,412961000.0,,5021000.0,1720411000.0,412880000.0,,188330000.0,386553000.0,81000.0,368789000.0,118341000.0,87333000.0,4170000.0,81000.0,12467000.0,216848000.0,-709346000.0,83488000.0,397235000.0,10243000.0,-16423000.0,-4242000.0,-1115000.0,-2267000.0,-26570000.0,-22866000.0,-34082000.0,183000.0,-27756000.0,24518000.0,-2859000.0,-1152000.0,15781000.0,-4242000.0,852407000.0
2020-07-28,20.020000457763672,20.46999931335449,18.8799991607666,19.049999237060547,19.049999237060547,2177100,GOCO,0.7139108097711523,0.5475065996267803,0.7632546217412122,1.059971727560168,-0.3460609177890156,-0.5048328110903411,-0.6041700151555613,735754000.0,,672898000.0,412961000.0,,5021000.0,1720411000.0,412880000.0,,188330000.0,386553000.0,81000.0,368789000.0,118341000.0,87333000.0,4170000.0,81000.0,12467000.0,216848000.0,-709346000.0,83488000.0,397235000.0,10243000.0,-16423000.0,-4242000.0,-1115000.0,-2267000.0,-26570000.0,-22866000.0,-34082000.0,183000.0,-27756000.0,24518000.0,-2859000.0,-1152000.0,15781000.0,-4242000.0,852407000.0
2020-07-29,18.940000534057617,19.125,17.239999771118164,17.510000228881836,17.510000228881836,4186400,GOCO,0.7669902986650846,0.5916618801402963,0.8212449986563595,1.0491737417135036,-0.282183443048419,-0.4323996868278242,-0.5338631039870603,735754000.0,,672898000.0,412961000.0,,5021000.0,1720411000.0,412880000.0,,188330000.0,386553000.0,81000.0,368789000.0,118341000.0,87333000.0,4170000.0,81000.0,12467000.0,216848000.0,-709346000.0,83488000.0,397235000.0,10243000.0,-16423000.0,-4242000.0,-1115000.0,-2267000.0,-26570000.0,-22866000.0,-34082000.0,183000.0,-27756000.0,24518000.0,-2859000.0,-1152000.0,15781000.0,-4242000.0,852407000.0
2020-07-30,17.200000762939453,18.09000015258789,17.200000762939453,18.0,18.0,1278200,GOCO,0.7727777693006728,0.5816666815016005,0.7777777777777778,1.0469317050835845,-0.2741539357829117,-0.467969054295275,-0.6041821314211063,735754000.0,,672898000.0,412961000.0,,5021000.0,1720411000.0,412880000.0,,188330000.0,386553000.0,81000.0,368789000.0,118341000.0,87333000.0,4170000.0,81000.0,12467000.0,216848000.0,-709346000.0,83488000.0,397235000.0,10243000.0,-16423000.0,-4242000.0,-1115000.0,-2267000.0,-26570000.0,-22866000.0,-34082000.0,183000.0,-27756000.0,24518000.0,-2859000.0,-1152000.0,15781000.0,-4242000.0,852407000.0
2020-07-31,17.829999923706055,18.25,17.729999542236328,17.75,17.75,725300,GOCO,0.7701408493686729,0.647887323943662,0.8450704225352113,1.0584584032817186,-0.2883175539130457,-0.428771322334998,-0.5421231131860089,735754000.0,,672898000.0,412961000.0,,5021000.0,1720411000.0,412880000.0,,188330000.0,386553000.0,81000.0,368789000.0,118341000.0,87333000.0,4170000.0,81000.0,12467000.0,216848000.0,-709346000.0,83488000.0,397235000.0,10243000.0,-16423000.0,-4242000.0,-1115000.0,-2267000.0,-26570000.0,-22866000.0,-34082000.0,183000.0,-27756000.0,24518000.0,-2859000.0,-1152000.0,15781000.0,-4242000.0,852407000.0
2020-08-03,17.81999969482422,18.48500061035156,17.18000030517578,18.290000915527344,18.290000915527344,915400,GOCO,0.7818479756660286,0.6336795829653857,0.8097320764507842,1.0645312650354448,-0.2826832893694162,-0.4385252849362556,-0.5662547444941294,735754000.0,,672898000.0,412961000.0,,5021000.0,1720411000.0,412880000.0,,188330000.0,386553000.0,81000.0,368789000.0,118341000.0,87333000.0,4170000.0,81000.0,12467000.0,216848000.0,-709346000.0,83488000.0,397235000.0,10243000.0,-16423000.0,-4242000.0,-1115000.0,-2267000.0,-26570000.0,-22866000.0,-34082000.0,183000.0,-27756000.0,24518000.0,-2859000.0,-1152000.0,15781000.0,-4242000.0,852407000.0
2020-08-04,18.13999938964844,18.5,17.75,17.850000381469727,17.850000381469727,1049000,GOCO,0.7761904339576009,0.6543417398075191,0.8257702776533222,1.02982774469698,-0.253637310739379,-0.4389015577080735,-0.5467769704677845,735754000.0,,672898000.0,412961000.0,,5021000.0,1720411000.0,412880000.0,,188330000.0,386553000.0,81000.0,368789000.0,118341000.0,87333000.0,4170000.0,81000.0,12467000.0,216848000.0,-709346000.0,83488000.0,397235000.0,10243000.0,-16423000.0,-4242000.0,-1115000.0,-2267000.0,-26570000.0,-22866000.0,-34082000.0,183000.0,-27756000.0,24518000.0,-2859000.0,-1152000.0,15781000.0,-4242000.0,852407000.0
2020-08-05,18.0,18.190000534057617,17.31999969482422,17.450000762939453,17.450000762939453,1103500,GOCO,0.7673352296786495,0.696275019330349,0.8252148417731411,1.0154342721529666,-0.248099042474317,-0.3819179058724266,-0.5395139771262805,735754000.0,,672898000.0,412961000.0,,5021000.0,1720411000.0,412880000.0,,188330000.0,386553000.0,81000.0,368789000.0,118341000.0,87333000.0,4170000.0,81000.0,12467000.0,216848000.0,-709346000.0,83488000.0,397235000.0,10243000.0,-16423000.0,-4242000.0,-1115000.0,-2267000.0,-26570000.0,-22866000.0,-34082000.0,183000.0,-27756000.0,24518000.0,-2859000.0,-1152000.0,15781000.0,-4242000.0,852407000.0
2020-08-06,17.5,17.59000015258789,16.81999969482422,16.969999313354492,16.969999313354492,1112500,GOCO,0.7701826884894934,0.7572186742139381,0.8538597735661251,0.9945470827091798,-0.2243643942196863,-0.3573405385438536,-0.5095790863237433,735754000.0,,672898000.0,412961000.0,,5021000.0,1720411000.0,412880000.0,,188330000.0,386553000.0,81000.0,368789000.0,118341000.0,87333000.0,4170000.0,81000.0,12467000.0,216848000.0,-709346000.0,83488000.0,397235000.0,10243000.0,-16423000.0,-4242000.0,-1115000.0,-2267000.0,-26570000.0,-22866000.0,-34082000.0,183000.0,-27756000.0,24518000.0,-2859000.0,-1152000.0,15781000.0,-4242000.0,852407000.0
2020-08-07,16.899999618530273,17.459999084472656,16.399999618530273,17.25,17.25,847400,GOCO,0.7507246266240659,0.7565217501875283,0.8336231950400532,1.000982312548244,-0.2502576859241781,-0.355202049986618,-0.513780684147773,735754000.0,,672898000.0,412961000.0,,5021000.0,1720411000.0,412880000.0,,188330000.0,386553000.0,81000.0,368789000.0,118341000.0,87333000.0,4170000.0,81000.0,12467000.0,216848000.0,-709346000.0,83488000.0,397235000.0,10243000.0,-16423000.0,-4242000.0,-1115000.0,-2267000.0,-26570000.0,-22866000.0,-34082000.0,183000.0,-27756000.0,24518000.0,-2859000.0,-1152000.0,15781000.0,-4242000.0,852407000.0
2020-08-10,17.350000381469727,17.719999313354492,16.850000381469727,17.479999542236328,17.479999542236328,1229800,GOCO,0.7723112330398184,0.7625858279628229,0.8140732216755993,0.9799638681285404,-0.2076526350887221,-0.3401446559901609,-0.5069898971863425,735754000.0,,672898000.0,412961000.0,,5021000.0,1720411000.0,412880000.0,,188330000.0,386553000.0,81000.0,368789000.0,118341000.0,87333000.0,4170000.0,81000.0,12467000.0,216848000.0,-709346000.0,83488000.0,397235000.0,10243000.0,-16423000.0,-4242000.0,-1115000.0,-2267000.0,-26570000.0,-22866000.0,-34082000.0,183000.0,-27756000.0,24518000.0,-2859000.0,-1152000.0,15781000.0,-4242000.0,852407000.0
2020-08-11,17.700000762939453,17.82699966430664,15.380000114440918,15.470000267028809,15.470000267028809,2718000,GOCO,0.8254686643399973,0.7181641541633308,0.9560439370757436,0.9825449744444564,-0.1570763101044591,-0.3705295010551339,-0.3860042291323537,735754000.0,,672898000.0,412961000.0,,5021000.0,1720411000.0,412880000.0,,188330000.0,386553000.0,81000.0,368789000.0,118341000.0,87333000.0,4170000.0,81000.0,12467000.0,216848000.0,-709346000.0,83488000.0,397235000.0,10243000.0,-16423000.0,-4242000.0,-1115000.0,-2267000.0,-26570000.0,-22866000.0,-34082000.0,183000.0,-27756000.0,24518000.0,-2859000.0,-1152000.0,15781000.0,-4242000.0,852407000.0
2020-08-12,15.729999542236328,16.0,15.232000350952148,15.84000015258789,15.84000015258789,1059600,GOCO,0.8106060624305064,0.7247474388667074,0.9172979541037016,0.9960166142981388,-0.1854105518676325,-0.3805662608849569,-0.4128712933712652,735754000.0,,672898000.0,412961000.0,,5021000.0,1720411000.0,412880000.0,,188330000.0,386553000.0,81000.0,368789000.0,118341000.0,87333000.0,4170000.0,81000.0,12467000.0,216848000.0,-709346000.0,83488000.0,397235000.0,10243000.0,-16423000.0,-4242000.0,-1115000.0,-2267000.0,-26570000.0,-22866000.0,-34082000.0,183000.0,-27756000.0,24518000.0,-2859000.0,-1152000.0,15781000.0,-4242000.0,852407000.0
