,2020-12-31,2019-12-31,2018-12-31
Change To Liabilities,-19822000.0,16911000.0,3234000.0
Total Cashflows From Investing Activities,-14523000.0,-815607000.0,-6170000.0
Net Borrowings,-495491000.0,295450000.0,142000.0
Total Cash From Financing Activities,260663000.0,827430000.0,63000.0
Change To Operating Activities,-330768000.0,-152857000.0,-33592000.0
Issuance Of Stock,862407000.0,862407000.0,862407000.0
Net Income,-44267000.0,-41068000.0,28117000.0
Change In Cash,131958000.0,11771000.0,-667000.0
Effect Of Exchange Rate,35000.0,-49000.0,-3000.0
Total Cash From Operating Activities,-114217000.0,-3000.0,5443000.0
Depreciation,96952000.0,8628000.0,1560000.0
Change To Account Receivables,-1647000.0,-15221000.0,736000.0
Other Cashflows From Financing Activities,-106253000.0,-9283000.0,-79000.0
Change To Netincome,181305000.0,158775000.0,788000.0
Capital Expenditures,-14523000.0,-8016000.0,-6170000.0
