Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Short Term Investments,Net Receivables,Accounts Payable,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Change To Account Receivables,Change To Netincome,Capital Expenditures,Net Borrowings,Repurchase Of Stock,Other Cashflows From Financing Activities,Investments
2018-10-05,70.0,74.19999694824219,66.16999816894531,70.0,70.0,7172900,ESTC,0.957857186453683,1.068142809186663,1.1839999607631138,0.963805777686949,-0.0059485912332659,0.144678389141558,0.1360056917997474,8297000.0,62542000.0,135621000.0,-153529000.0,6196000.0,100364000.0,183013000.0,33000.0,19638000.0,-214774000.0,10509000.0,19182000.0,-1330000.0,18770000.0,50941000.0,125112000.0,3946000.0,-961000.0,4536000.0,132228000.0,-181008000.0,582000.0,53233000.0,2176000.0,45791000.0,8330000.0,3427000.0,-22494000.0,3903000.0,-52727000.0,-8281000.0,781000.0,-20819000.0,5066000.0,-2850000.0,-21606000.0,12420000.0,-2968000.0,-132000.0,-344000.0,-6172000.0,15000000.0
2018-10-08,73.0,73.4000015258789,64.0,65.94000244140625,65.94000244140625,983700,ESTC,1.094934702381889,1.0815892789539792,1.251440606426926,0.9817406222856884,0.1131940800962004,0.1622507838545288,0.1994888480640366,8297000.0,62542000.0,135621000.0,-153529000.0,6196000.0,100364000.0,183013000.0,33000.0,19638000.0,-214774000.0,10509000.0,19182000.0,-1330000.0,18770000.0,50941000.0,125112000.0,3946000.0,-961000.0,4536000.0,132228000.0,-181008000.0,582000.0,53233000.0,2176000.0,45791000.0,8330000.0,3427000.0,-22494000.0,3903000.0,-52727000.0,-8281000.0,781000.0,-20819000.0,5066000.0,-2850000.0,-21606000.0,12420000.0,-2968000.0,-132000.0,-344000.0,-6172000.0,15000000.0
2018-10-09,65.58999633789062,68.0,62.56999969482422,66.44999694824219,66.44999694824219,370400,ESTC,1.098720925346285,1.1088036672532136,1.262001572034232,0.985404470737889,0.1133164546083961,0.1764604280657232,0.2060340258102488,8297000.0,62542000.0,135621000.0,-153529000.0,6196000.0,100364000.0,183013000.0,33000.0,19638000.0,-214774000.0,10509000.0,19182000.0,-1330000.0,18770000.0,50941000.0,125112000.0,3946000.0,-961000.0,4536000.0,132228000.0,-181008000.0,582000.0,53233000.0,2176000.0,45791000.0,8330000.0,3427000.0,-22494000.0,3903000.0,-52727000.0,-8281000.0,781000.0,-20819000.0,5066000.0,-2850000.0,-21606000.0,12420000.0,-2968000.0,-132000.0,-344000.0,-6172000.0,15000000.0
2018-10-10,65.61000061035156,66.0,60.61000061035156,62.5,62.5,479600,ESTC,1.1424000244140624,1.1588800048828125,1.375199951171875,1.004670879558299,0.1377291448557633,0.1939520685110822,0.272789009651291,8297000.0,62542000.0,135621000.0,-153529000.0,6196000.0,100364000.0,183013000.0,33000.0,19638000.0,-214774000.0,10509000.0,19182000.0,-1330000.0,18770000.0,50941000.0,125112000.0,3946000.0,-961000.0,4536000.0,132228000.0,-181008000.0,582000.0,53233000.0,2176000.0,45791000.0,8330000.0,3427000.0,-22494000.0,3903000.0,-52727000.0,-8281000.0,781000.0,-20819000.0,5066000.0,-2850000.0,-21606000.0,12420000.0,-2968000.0,-132000.0,-344000.0,-6172000.0,15000000.0
2018-10-11,62.43000030517578,63.25,58.54999923706055,60.869998931884766,60.869998931884766,751100,ESTC,1.0924922156547985,1.2035486022960251,1.4095614351459151,1.005569825537468,0.0869223901173303,0.2102661696275015,0.2848263436650111,8297000.0,62542000.0,135621000.0,-153529000.0,6196000.0,100364000.0,183013000.0,33000.0,19638000.0,-214774000.0,10509000.0,19182000.0,-1330000.0,18770000.0,50941000.0,125112000.0,3946000.0,-961000.0,4536000.0,132228000.0,-181008000.0,582000.0,53233000.0,2176000.0,45791000.0,8330000.0,3427000.0,-22494000.0,3903000.0,-52727000.0,-8281000.0,781000.0,-20819000.0,5066000.0,-2850000.0,-21606000.0,12420000.0,-2968000.0,-132000.0,-344000.0,-6172000.0,15000000.0
2018-10-12,63.0,64.0,61.060001373291016,62.68000030517578,62.68000030517578,178000,ESTC,1.0293553977174867,1.1978302722639742,1.3398213616472967,0.9966747140918392,0.0326806836256475,0.2000847955426334,0.231707543579358,8297000.0,62542000.0,135621000.0,-153529000.0,6196000.0,100364000.0,183013000.0,33000.0,19638000.0,-214774000.0,10509000.0,19182000.0,-1330000.0,18770000.0,50941000.0,125112000.0,3946000.0,-961000.0,4536000.0,132228000.0,-181008000.0,582000.0,53233000.0,2176000.0,45791000.0,8330000.0,3427000.0,-22494000.0,3903000.0,-52727000.0,-8281000.0,781000.0,-20819000.0,5066000.0,-2850000.0,-21606000.0,12420000.0,-2968000.0,-132000.0,-344000.0,-6172000.0,15000000.0
2018-10-15,63.0,63.93999862670898,59.38999938964844,60.93999862670898,60.93999862670898,239500,ESTC,1.03134230210788,1.2244831707934654,1.4202495077481738,0.9891317727722226,0.0422105293356573,0.2412024823626911,0.303638392960359,8297000.0,62542000.0,135621000.0,-153529000.0,6196000.0,100364000.0,183013000.0,33000.0,19638000.0,-214774000.0,10509000.0,19182000.0,-1330000.0,18770000.0,50941000.0,125112000.0,3946000.0,-961000.0,4536000.0,132228000.0,-181008000.0,582000.0,53233000.0,2176000.0,45791000.0,8330000.0,3427000.0,-22494000.0,3903000.0,-52727000.0,-8281000.0,781000.0,-20819000.0,5066000.0,-2850000.0,-21606000.0,12420000.0,-2968000.0,-132000.0,-344000.0,-6172000.0,15000000.0
2018-10-16,62.04999923706055,65.43000030517578,61.0,65.33000183105469,65.33000183105469,337900,ESTC,1.014694612851156,1.1541405083818232,1.306750349821685,0.9777864585235492,0.0369081543276068,0.1937392276325782,0.2152127736608151,8297000.0,62542000.0,135621000.0,-153529000.0,6196000.0,100364000.0,183013000.0,33000.0,19638000.0,-214774000.0,10509000.0,19182000.0,-1330000.0,18770000.0,50941000.0,125112000.0,3946000.0,-961000.0,4536000.0,132228000.0,-181008000.0,582000.0,53233000.0,2176000.0,45791000.0,8330000.0,3427000.0,-22494000.0,3903000.0,-52727000.0,-8281000.0,781000.0,-20819000.0,5066000.0,-2850000.0,-21606000.0,12420000.0,-2968000.0,-132000.0,-344000.0,-6172000.0,15000000.0
2018-10-17,66.0,70.05999755859375,64.37000274658203,69.88999938964844,69.88999938964844,185300,ESTC,1.0123050596345968,1.1020174175945694,1.2240664443964613,0.9825023252332036,0.0298027344013932,0.1335060450790415,0.1283152648436196,8297000.0,62542000.0,135621000.0,-153529000.0,6196000.0,100364000.0,183013000.0,33000.0,19638000.0,-214774000.0,10509000.0,19182000.0,-1330000.0,18770000.0,50941000.0,125112000.0,3946000.0,-961000.0,4536000.0,132228000.0,-181008000.0,582000.0,53233000.0,2176000.0,45791000.0,8330000.0,3427000.0,-22494000.0,3903000.0,-52727000.0,-8281000.0,781000.0,-20819000.0,5066000.0,-2850000.0,-21606000.0,12420000.0,-2968000.0,-132000.0,-344000.0,-6172000.0,15000000.0
2018-10-18,69.9000015258789,70.66000366210938,66.9800033569336,67.48999786376953,67.48999786376953,137200,ESTC,0.9927396965583166,1.166395076491211,1.2585568992439449,0.9779319429497442,0.0148077536085724,0.171578558396211,0.1562713993685371,8297000.0,62542000.0,135621000.0,-153529000.0,6196000.0,100364000.0,183013000.0,33000.0,19638000.0,-214774000.0,10509000.0,19182000.0,-1330000.0,18770000.0,50941000.0,125112000.0,3946000.0,-961000.0,4536000.0,132228000.0,-181008000.0,582000.0,53233000.0,2176000.0,45791000.0,8330000.0,3427000.0,-22494000.0,3903000.0,-52727000.0,-8281000.0,781000.0,-20819000.0,5066000.0,-2850000.0,-21606000.0,12420000.0,-2968000.0,-132000.0,-344000.0,-6172000.0,15000000.0
