,2020-09-30,2019-09-30,2018-09-30,2017-09-30
Change To Liabilities,172200000.0,54300000.0,-3900000.0,9000000.0
Total Cashflows From Investing Activities,46900000.0,255200000.0,-580700000.0,22400000.0
Net Borrowings,-141600000.0,-390100000.0,665200000.0,52300000.0
Total Cash From Financing Activities,-607100000.0,-496500000.0,151200000.0,-316800000.0
Change To Operating Activities,105100000.0,-61000000.0,106500000.0,-3500000.0
Issuance Of Stock,17600000.0,21400000.0,10500000.0,11000000.0
Net Income,387400000.0,460700000.0,63700000.0,218300000.0
Change In Cash,-2200000.0,-15100000.0,-86600000.0,70400000.0
Repurchase Of Stock,-53200000.0,-3100000.0,-327700000.0,-255200000.0
Total Cash From Operating Activities,558000000.0,226800000.0,342500000.0,363200000.0
Depreciation,90700000.0,86400000.0,78700000.0,74200000.0
Other Cashflows From Investing Activities,-2900000.0,7000000.0,-21800000.0,-21800000.0
Dividends Paid,-124500000.0,-124500000.0,-120000000.0,-120300000.0
Change To Inventory,-80600000.0,-65000000.0,14300000.0,3600000.0
Change To Account Receivables,-188100000.0,600000.0,-2700000.0,48600000.0
Other Cashflows From Financing Activities,-18700000.0,-200000.0,-76800000.0,-4600000.0
Change To Netincome,67300000.0,-252100000.0,81200000.0,7100000.0
Capital Expenditures,-62700000.0,-42400000.0,-68200000.0,-69600000.0
Investments,,274300000.0,-100000.0,57400000.0
Effect Of Exchange Rate,,-600000.0,400000.0,1600000.0
