Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Accounts Payable,Common Stock,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Investments
2020-07-01,25.0,25.8700008392334,24.25,25.350000381469727,25.350000381469727,37148400,DNB,1.0082839874285037,1.0406311149426957,1.0047336856046944,1.0614698745417157,-0.053185887113212,-0.0803110959388873,-0.3835220506802488,417900000.0,332800000.0,2510800000.0,-705800000.0,15900000.0,104100000.0,550400000.0,1820900000.0,3400000.0,3325000000.0,389800000.0,770800000.0,-4364400000.0,189700000.0,90200000.0,1001400000.0,42700000.0,17000000.0,-1054100000.0,31200000.0,411300000.0,,-1894500000.0,279500000.0,1119600000.0,36300000.0,800000.0,-27700000.0,-65300000.0,-543100000.0,-609700000.0,-110400000.0,3176800000.0,288100000.0,-352200000.0,-2600000.0,325400000.0,43800000.0,-7100000.0,-58100000.0,9500000.0,-8500000.0,77200000.0,-5100000.0,
2020-07-02,25.299999237060547,27.600000381469727,25.0,27.100000381469727,27.100000381469727,6754500,DNB,0.9793358133557336,0.9560885417967998,0.9523984908719996,1.0609433180919134,-0.0816075047361798,-0.1505509894167346,-0.4315835421781548,5631200000.0,2116900000.0,6503300000.0,1519900000.0,57800000.0,47000000.0,658800000.0,9112800000.0,4600000.0,-573500000.0,1523400000.0,2840100000.0,-23500000.0,82600000.0,98600000.0,1089800000.0,12600000.0,81900000.0,-23500000.0,117300000.0,417900000.0,23700000.0,-6951400000.0,279300000.0,3818900000.0,55000000.0,,46500000.0,-6154600000.0,3367300000.0,6321800000.0,-55700000.0,3176800000.0,-560000000.0,98600000.0,-5600000.0,-63000000.0,434000000.0,-7700000.0,-96100000.0,-15200000.0,-126200000.0,39000000.0,-12500000.0,
2020-07-06,27.75,28.200000762939453,26.309999465942383,27.38999938964844,27.38999938964844,6394100,DNB,0.9872216691522318,0.9463308015293328,0.9474261168748616,1.060100399776527,-0.0728787306242952,-0.1682403436451385,-0.4345711166016751,5631200000.0,2116900000.0,6503300000.0,1519900000.0,57800000.0,47000000.0,658800000.0,9112800000.0,4600000.0,-573500000.0,1523400000.0,2840100000.0,-23500000.0,82600000.0,98600000.0,1089800000.0,12600000.0,81900000.0,-23500000.0,117300000.0,417900000.0,23700000.0,-6951400000.0,279300000.0,3818900000.0,55000000.0,,46500000.0,-6154600000.0,3367300000.0,6321800000.0,-55700000.0,3176800000.0,-560000000.0,98600000.0,-5600000.0,-63000000.0,434000000.0,-7700000.0,-96100000.0,-15200000.0,-126200000.0,39000000.0,-12500000.0,
2020-07-07,26.26000022888184,27.39999961853028,26.059999465942383,26.600000381469727,26.600000381469727,2995200,DNB,0.9417292811210276,1.0575187502765118,0.963909737667145,1.0770138498901505,-0.1352845687691228,-0.0899961052952054,-0.4381378382198981,5631200000.0,2116900000.0,6503300000.0,1519900000.0,57800000.0,47000000.0,658800000.0,9112800000.0,4600000.0,-573500000.0,1523400000.0,2840100000.0,-23500000.0,82600000.0,98600000.0,1089800000.0,12600000.0,81900000.0,-23500000.0,117300000.0,417900000.0,23700000.0,-6951400000.0,279300000.0,3818900000.0,55000000.0,,46500000.0,-6154600000.0,3367300000.0,6321800000.0,-55700000.0,3176800000.0,-560000000.0,98600000.0,-5600000.0,-63000000.0,434000000.0,-7700000.0,-96100000.0,-15200000.0,-126200000.0,39000000.0,-12500000.0,
2020-07-08,26.88999938964844,26.979999542236328,25.549999237060547,26.489999771118164,26.489999771118164,8779900,DNB,0.9833899381706548,1.0630426610314558,0.967157457931226,1.077606770930481,-0.0942168327598262,-0.0790963893465135,-0.4318902509997969,5631200000.0,2116900000.0,6503300000.0,1519900000.0,57800000.0,47000000.0,658800000.0,9112800000.0,4600000.0,-573500000.0,1523400000.0,2840100000.0,-23500000.0,82600000.0,98600000.0,1089800000.0,12600000.0,81900000.0,-23500000.0,117300000.0,417900000.0,23700000.0,-6951400000.0,279300000.0,3818900000.0,55000000.0,,46500000.0,-6154600000.0,3367300000.0,6321800000.0,-55700000.0,3176800000.0,-560000000.0,98600000.0,-5600000.0,-63000000.0,434000000.0,-7700000.0,-96100000.0,-15200000.0,-126200000.0,39000000.0,-12500000.0,
2020-07-09,26.350000381469727,26.39999961853028,24.89999961853028,25.8799991607666,25.8799991607666,2736300,DNB,0.9544050063333852,1.0664606366491156,0.9659969401351196,1.1044879116126745,-0.1500829052792892,-0.1009199890114354,-0.4428156069782467,5631200000.0,2116900000.0,6503300000.0,1519900000.0,57800000.0,47000000.0,658800000.0,9112800000.0,4600000.0,-573500000.0,1523400000.0,2840100000.0,-23500000.0,82600000.0,98600000.0,1089800000.0,12600000.0,81900000.0,-23500000.0,117300000.0,417900000.0,23700000.0,-6951400000.0,279300000.0,3818900000.0,55000000.0,,46500000.0,-6154600000.0,3367300000.0,6321800000.0,-55700000.0,3176800000.0,-560000000.0,98600000.0,-5600000.0,-63000000.0,434000000.0,-7700000.0,-96100000.0,-15200000.0,-126200000.0,39000000.0,-12500000.0,
2020-07-10,25.8799991607666,26.350000381469727,25.5,26.25,26.25,1200400,DNB,0.9428571428571428,1.0399999709356398,0.952761913481213,1.085711270031918,-0.1428541271747752,-0.1021162962592117,-0.4441838295541532,5631200000.0,2116900000.0,6503300000.0,1519900000.0,57800000.0,47000000.0,658800000.0,9112800000.0,4600000.0,-573500000.0,1523400000.0,2840100000.0,-23500000.0,82600000.0,98600000.0,1089800000.0,12600000.0,81900000.0,-23500000.0,117300000.0,417900000.0,23700000.0,-6951400000.0,279300000.0,3818900000.0,55000000.0,,46500000.0,-6154600000.0,3367300000.0,6321800000.0,-55700000.0,3176800000.0,-560000000.0,98600000.0,-5600000.0,-63000000.0,434000000.0,-7700000.0,-96100000.0,-15200000.0,-126200000.0,39000000.0,-12500000.0,
2020-07-13,26.25,27.1299991607666,25.420000076293945,25.479999542236328,25.479999542236328,1503000,DNB,1.015306173626518,1.077707989709899,0.9843014275621462,1.102834219482497,-0.0875280458559788,-0.0738442831453149,-0.437856527994265,5631200000.0,2116900000.0,6503300000.0,1519900000.0,57800000.0,47000000.0,658800000.0,9112800000.0,4600000.0,-573500000.0,1523400000.0,2840100000.0,-23500000.0,82600000.0,98600000.0,1089800000.0,12600000.0,81900000.0,-23500000.0,117300000.0,417900000.0,23700000.0,-6951400000.0,279300000.0,3818900000.0,55000000.0,,46500000.0,-6154600000.0,3367300000.0,6321800000.0,-55700000.0,3176800000.0,-560000000.0,98600000.0,-5600000.0,-63000000.0,434000000.0,-7700000.0,-96100000.0,-15200000.0,-126200000.0,39000000.0,-12500000.0,
2020-07-14,25.39999961853028,25.729999542236328,25.18000030517578,25.38999938964844,25.38999938964844,855400,DNB,0.9803072070886362,1.083891339870754,0.983851915822445,1.0836330203006346,-0.1033258132119984,-0.0556484811503117,-0.4097282279639227,5631200000.0,2116900000.0,6503300000.0,1519900000.0,57800000.0,47000000.0,658800000.0,9112800000.0,4600000.0,-573500000.0,1523400000.0,2840100000.0,-23500000.0,82600000.0,98600000.0,1089800000.0,12600000.0,81900000.0,-23500000.0,117300000.0,417900000.0,23700000.0,-6951400000.0,279300000.0,3818900000.0,55000000.0,,46500000.0,-6154600000.0,3367300000.0,6321800000.0,-55700000.0,3176800000.0,-560000000.0,98600000.0,-5600000.0,-63000000.0,434000000.0,-7700000.0,-96100000.0,-15200000.0,-126200000.0,39000000.0,-12500000.0,
2020-07-15,25.440000534057617,25.799999237060547,25.299999237060547,25.5,25.5,891300,DNB,0.994509827856924,1.073333366244447,0.9709804011326212,1.0561175899815567,-0.0616077621246327,-0.0340871369159299,-0.3863596132640022,5631200000.0,2116900000.0,6503300000.0,1519900000.0,57800000.0,47000000.0,658800000.0,9112800000.0,4600000.0,-573500000.0,1523400000.0,2840100000.0,-23500000.0,82600000.0,98600000.0,1089800000.0,12600000.0,81900000.0,-23500000.0,117300000.0,417900000.0,23700000.0,-6951400000.0,279300000.0,3818900000.0,55000000.0,,46500000.0,-6154600000.0,3367300000.0,6321800000.0,-55700000.0,3176800000.0,-560000000.0,98600000.0,-5600000.0,-63000000.0,434000000.0,-7700000.0,-96100000.0,-15200000.0,-126200000.0,39000000.0,-12500000.0,
2020-07-16,25.489999771118164,26.3799991607666,24.709999084472656,25.59000015258789,25.59000015258789,1158400,DNB,0.9828057627419312,1.0465025606472016,0.9609222354811564,1.0603047606893516,-0.0774989979474204,-0.0508593922783571,-0.3987652243895447,5631200000.0,2116900000.0,6503300000.0,1519900000.0,57800000.0,47000000.0,658800000.0,9112800000.0,4600000.0,-573500000.0,1523400000.0,2840100000.0,-23500000.0,82600000.0,98600000.0,1089800000.0,12600000.0,81900000.0,-23500000.0,117300000.0,417900000.0,23700000.0,-6951400000.0,279300000.0,3818900000.0,55000000.0,,46500000.0,-6154600000.0,3367300000.0,6321800000.0,-55700000.0,3176800000.0,-560000000.0,98600000.0,-5600000.0,-63000000.0,434000000.0,-7700000.0,-96100000.0,-15200000.0,-126200000.0,39000000.0,-12500000.0,
2020-07-17,25.64999961853028,26.0,25.350000381469727,25.709999084472656,25.709999084472656,260400,DNB,0.9762738730173144,1.031505305411707,0.943212791269432,1.0508986066031938,-0.0746247335858794,-0.0666485583560689,-0.421580355788529,5631200000.0,2116900000.0,6503300000.0,1519900000.0,57800000.0,47000000.0,658800000.0,9112800000.0,4600000.0,-573500000.0,1523400000.0,2840100000.0,-23500000.0,82600000.0,98600000.0,1089800000.0,12600000.0,81900000.0,-23500000.0,117300000.0,417900000.0,23700000.0,-6951400000.0,279300000.0,3818900000.0,55000000.0,,46500000.0,-6154600000.0,3367300000.0,6321800000.0,-55700000.0,3176800000.0,-560000000.0,98600000.0,-5600000.0,-63000000.0,434000000.0,-7700000.0,-96100000.0,-15200000.0,-126200000.0,39000000.0,-12500000.0,
2020-07-20,25.709999084472656,26.31999969482422,25.5,26.11000061035156,26.11000061035156,404100,DNB,0.9881271020281742,1.0283416221302113,0.8873994459849984,1.0499296408975316,-0.0618025388693573,-0.0662786629075664,-0.5001915572395644,5631200000.0,2116900000.0,6503300000.0,1519900000.0,57800000.0,47000000.0,658800000.0,9112800000.0,4600000.0,-573500000.0,1523400000.0,2840100000.0,-23500000.0,82600000.0,98600000.0,1089800000.0,12600000.0,81900000.0,-23500000.0,117300000.0,417900000.0,23700000.0,-6951400000.0,279300000.0,3818900000.0,55000000.0,,46500000.0,-6154600000.0,3367300000.0,6321800000.0,-55700000.0,3176800000.0,-560000000.0,98600000.0,-5600000.0,-63000000.0,434000000.0,-7700000.0,-96100000.0,-15200000.0,-126200000.0,39000000.0,-12500000.0,
2020-07-21,26.200000762939453,26.459999084472656,25.57999992370605,25.670000076293945,25.670000076293945,524200,DNB,1.0144137451551896,1.038566410914522,0.9365017859009712,1.035121986103813,-0.0207082409486234,-0.059408076466785,-0.4110517981564645,5631200000.0,2116900000.0,6503300000.0,1519900000.0,57800000.0,47000000.0,658800000.0,9112800000.0,4600000.0,-573500000.0,1523400000.0,2840100000.0,-23500000.0,82600000.0,98600000.0,1089800000.0,12600000.0,81900000.0,-23500000.0,117300000.0,417900000.0,23700000.0,-6951400000.0,279300000.0,3818900000.0,55000000.0,,46500000.0,-6154600000.0,3367300000.0,6321800000.0,-55700000.0,3176800000.0,-560000000.0,98600000.0,-5600000.0,-63000000.0,434000000.0,-7700000.0,-96100000.0,-15200000.0,-126200000.0,39000000.0,-12500000.0,
2020-07-22,25.600000381469727,26.18899917602539,25.51000022888184,25.690000534057617,25.690000534057617,533500,DNB,0.9914363092203338,1.0424289657426382,0.9205916359237564,1.0249122036135947,-0.0334758943932609,-0.053367042451742,-0.4253228431519088,5631200000.0,2116900000.0,6503300000.0,1519900000.0,57800000.0,47000000.0,658800000.0,9112800000.0,4600000.0,-573500000.0,1523400000.0,2840100000.0,-23500000.0,82600000.0,98600000.0,1089800000.0,12600000.0,81900000.0,-23500000.0,117300000.0,417900000.0,23700000.0,-6951400000.0,279300000.0,3818900000.0,55000000.0,,46500000.0,-6154600000.0,3367300000.0,6321800000.0,-55700000.0,3176800000.0,-560000000.0,98600000.0,-5600000.0,-63000000.0,434000000.0,-7700000.0,-96100000.0,-15200000.0,-126200000.0,39000000.0,-12500000.0,
2020-07-23,25.57999992370605,26.09000015258789,24.96999931335449,25.459999084472656,25.459999084472656,545700,DNB,1.0102121067647798,1.0510605338239,0.9642576637810214,1.042919681119605,-0.0327075743548255,-0.0218480810172934,-0.3829593687836636,5631200000.0,2116900000.0,6503300000.0,1519900000.0,57800000.0,47000000.0,658800000.0,9112800000.0,4600000.0,-573500000.0,1523400000.0,2840100000.0,-23500000.0,82600000.0,98600000.0,1089800000.0,12600000.0,81900000.0,-23500000.0,117300000.0,417900000.0,23700000.0,-6951400000.0,279300000.0,3818900000.0,55000000.0,,46500000.0,-6154600000.0,3367300000.0,6321800000.0,-55700000.0,3176800000.0,-560000000.0,98600000.0,-5600000.0,-63000000.0,434000000.0,-7700000.0,-96100000.0,-15200000.0,-126200000.0,39000000.0,-12500000.0,
2020-07-24,25.25,25.420000076293945,24.90999984741211,25.13999938964844,25.13999938964844,658400,DNB,1.011933220035507,1.0481305099919578,0.9844868974098294,1.0525520783774,-0.0406188583418931,-0.0229927318345053,-0.3623104604979116,5631200000.0,2116900000.0,6503300000.0,1519900000.0,57800000.0,47000000.0,658800000.0,9112800000.0,4600000.0,-573500000.0,1523400000.0,2840100000.0,-23500000.0,82600000.0,98600000.0,1089800000.0,12600000.0,81900000.0,-23500000.0,117300000.0,417900000.0,23700000.0,-6951400000.0,279300000.0,3818900000.0,55000000.0,,46500000.0,-6154600000.0,3367300000.0,6321800000.0,-55700000.0,3176800000.0,-560000000.0,98600000.0,-5600000.0,-63000000.0,434000000.0,-7700000.0,-96100000.0,-15200000.0,-126200000.0,39000000.0,-12500000.0,
