Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Accounts Payable,Long Term Debt,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2017-09-29,34.52000045776367,35.15999984741211,34.400001525878906,35.150001525878906,35.150001525878906,499100,TEAM,1.376102328083051,1.4679942029627226,1.6688477183770292,1.0206479989635429,0.3554543291195082,0.3777338142402766,0.5795545193858263,120789000.0,450959000.0,389810000.0,894048000.0,259991000.0,1283858000.0,22726000.0,4388000.0,-23229000.0,62943000.0,311900000.0,443592000.0,197508000.0,244420000.0,326867000.0,188239000.0,,443592000.0,41173000.0,612488000.0,,461359000.0,305499000.0,45197000.0,12464000.0,,176535000.0,77090000.0,-224573000.0,990494000.0,9438000.0,-6438000.0,9438000.0,-37449000.0,-15289000.0,465000.0,199381000.0,46958000.0,-3371000.0,-10208000.0,-87700000.0,114840000.0,-15129000.0
2017-10-02,35.0,36.290000915527344,35.0,36.25,36.25,715700,TEAM,1.3431723759092131,1.43089652225889,1.672827569369612,1.012478214064533,0.3306941618446801,0.3421889664974904,0.5836966908926782,120789000.0,450959000.0,389810000.0,894048000.0,259991000.0,1283858000.0,22726000.0,4388000.0,-23229000.0,62943000.0,311900000.0,443592000.0,197508000.0,244420000.0,326867000.0,188239000.0,,443592000.0,41173000.0,612488000.0,,461359000.0,305499000.0,45197000.0,12464000.0,,176535000.0,77090000.0,-224573000.0,990494000.0,9438000.0,-6438000.0,9438000.0,-37449000.0,-15289000.0,465000.0,199381000.0,46958000.0,-3371000.0,-10208000.0,-87700000.0,114840000.0,-15129000.0
2017-10-03,36.40999984741211,36.93000030517578,36.09000015258789,36.650001525878906,36.650001525878906,868700,TEAM,1.3487039085188797,1.416371014630326,1.6439289902200118,1.0113391723313174,0.3373647361875622,0.3264076396254241,0.5621283479994397,120789000.0,450959000.0,389810000.0,894048000.0,259991000.0,1283858000.0,22726000.0,4388000.0,-23229000.0,62943000.0,311900000.0,443592000.0,197508000.0,244420000.0,326867000.0,188239000.0,,443592000.0,41173000.0,612488000.0,,461359000.0,305499000.0,45197000.0,12464000.0,,176535000.0,77090000.0,-224573000.0,990494000.0,9438000.0,-6438000.0,9438000.0,-37449000.0,-15289000.0,465000.0,199381000.0,46958000.0,-3371000.0,-10208000.0,-87700000.0,114840000.0,-15129000.0
2017-10-04,36.58000183105469,38.0,36.52000045776367,37.88999938964844,37.88999938964844,1288700,TEAM,1.345737727628396,1.3913962013709151,1.6014779963747792,1.0126829906128405,0.3330547370155554,0.3029125143493487,0.5115186297781151,120789000.0,450959000.0,389810000.0,894048000.0,259991000.0,1283858000.0,22726000.0,4388000.0,-23229000.0,62943000.0,311900000.0,443592000.0,197508000.0,244420000.0,326867000.0,188239000.0,,443592000.0,41173000.0,612488000.0,,461359000.0,305499000.0,45197000.0,12464000.0,,176535000.0,77090000.0,-224573000.0,990494000.0,9438000.0,-6438000.0,9438000.0,-37449000.0,-15289000.0,465000.0,199381000.0,46958000.0,-3371000.0,-10208000.0,-87700000.0,114840000.0,-15129000.0
2017-10-05,37.869998931884766,38.34000015258789,37.720001220703125,38.150001525878906,38.150001525878906,896300,TEAM,1.364613349700034,1.3381388517751691,1.6267365371189528,1.0121464877707815,0.3524668619292523,0.2553383760920564,0.5288147883476937,120789000.0,450959000.0,389810000.0,894048000.0,259991000.0,1283858000.0,22726000.0,4388000.0,-23229000.0,62943000.0,311900000.0,443592000.0,197508000.0,244420000.0,326867000.0,188239000.0,,443592000.0,41173000.0,612488000.0,,461359000.0,305499000.0,45197000.0,12464000.0,,176535000.0,77090000.0,-224573000.0,990494000.0,9438000.0,-6438000.0,9438000.0,-37449000.0,-15289000.0,465000.0,199381000.0,46958000.0,-3371000.0,-10208000.0,-87700000.0,114840000.0,-15129000.0
2017-10-06,38.119998931884766,38.869998931884766,37.470001220703125,38.66999816894531,38.66999816894531,990000,TEAM,1.3397983922041672,1.345746143771971,1.605120316366364,1.0081446760609294,0.3316537161432378,0.2508029209449349,0.5045472499306005,120789000.0,450959000.0,389810000.0,894048000.0,259991000.0,1283858000.0,22726000.0,4388000.0,-23229000.0,62943000.0,311900000.0,443592000.0,197508000.0,244420000.0,326867000.0,188239000.0,,443592000.0,41173000.0,612488000.0,,461359000.0,305499000.0,45197000.0,12464000.0,,176535000.0,77090000.0,-224573000.0,990494000.0,9438000.0,-6438000.0,9438000.0,-37449000.0,-15289000.0,465000.0,199381000.0,46958000.0,-3371000.0,-10208000.0,-87700000.0,114840000.0,-15129000.0
2017-10-09,38.79999923706055,40.0,38.630001068115234,39.59000015258789,39.59000015258789,1505400,TEAM,1.3372063254020583,1.3278605580249754,1.5728719428583595,1.0143616235707735,0.3228447018312848,0.2241451330723227,0.4743897966816626,120789000.0,450959000.0,389810000.0,894048000.0,259991000.0,1283858000.0,22726000.0,4388000.0,-23229000.0,62943000.0,311900000.0,443592000.0,197508000.0,244420000.0,326867000.0,188239000.0,,443592000.0,41173000.0,612488000.0,,461359000.0,305499000.0,45197000.0,12464000.0,,176535000.0,77090000.0,-224573000.0,990494000.0,9438000.0,-6438000.0,9438000.0,-37449000.0,-15289000.0,465000.0,199381000.0,46958000.0,-3371000.0,-10208000.0,-87700000.0,114840000.0,-15129000.0
2017-10-10,39.65999984741211,40.43000030517578,39.650001525878906,39.77000045776367,39.77000045776367,1857800,TEAM,1.31581597256027,1.328136763561767,1.4635403862484049,1.008797349947511,0.3070186226127591,0.2352860874178213,0.3742430735544493,120789000.0,450959000.0,389810000.0,894048000.0,259991000.0,1283858000.0,22726000.0,4388000.0,-23229000.0,62943000.0,311900000.0,443592000.0,197508000.0,244420000.0,326867000.0,188239000.0,,443592000.0,41173000.0,612488000.0,,461359000.0,305499000.0,45197000.0,12464000.0,,176535000.0,77090000.0,-224573000.0,990494000.0,9438000.0,-6438000.0,9438000.0,-37449000.0,-15289000.0,465000.0,199381000.0,46958000.0,-3371000.0,-10208000.0,-87700000.0,114840000.0,-15129000.0
2017-10-11,39.88999938964844,40.95000076293945,39.869998931884766,40.38999938964844,40.38999938964844,1326700,TEAM,1.2973508867967083,1.3585045744256043,1.4602624519314136,1.0091988628593096,0.2881520239373987,0.257272366682898,0.3721654017384199,120789000.0,450959000.0,389810000.0,894048000.0,259991000.0,1283858000.0,22726000.0,4388000.0,-23229000.0,62943000.0,311900000.0,443592000.0,197508000.0,244420000.0,326867000.0,188239000.0,,443592000.0,41173000.0,612488000.0,,461359000.0,305499000.0,45197000.0,12464000.0,,176535000.0,77090000.0,-224573000.0,990494000.0,9438000.0,-6438000.0,9438000.0,-37449000.0,-15289000.0,465000.0,199381000.0,46958000.0,-3371000.0,-10208000.0,-87700000.0,114840000.0,-15129000.0
2017-10-12,40.400001525878906,40.65999984741211,40.10100173950195,40.33000183105469,40.33000183105469,746300,TEAM,1.2960574779224288,1.378626232327822,1.4185469002488398,1.0112728774332036,0.2847846004892251,0.2799413065044693,0.3425117992837103,120789000.0,450959000.0,389810000.0,894048000.0,259991000.0,1283858000.0,22726000.0,4388000.0,-23229000.0,62943000.0,311900000.0,443592000.0,197508000.0,244420000.0,326867000.0,188239000.0,,443592000.0,41173000.0,612488000.0,,461359000.0,305499000.0,45197000.0,12464000.0,,176535000.0,77090000.0,-224573000.0,990494000.0,9438000.0,-6438000.0,9438000.0,-37449000.0,-15289000.0,465000.0,199381000.0,46958000.0,-3371000.0,-10208000.0,-87700000.0,114840000.0,-15129000.0
