Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Deferred Long Term Liab,Other Current Liab,Total Assets,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Accounts Payable,Long Term Debt,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Repurchase Of Stock
2018-04-03,165.89999389648438,169.0,148.25999450683594,149.00999450683594,149.00999450683594,30526500,SPOT,1.0763036762306233,1.179115518591485,1.08402123840013,15000000.0,2488000000.0,2869000000.0,238000000.0,12000000.0,646000000.0,3107000000.0,480000000.0,-2427000000.0,65000000.0,135000000.0,177000000.0,75000000.0,477000000.0,1860000000.0,9000000.0,177000000.0,73000000.0,1898000000.0,911000000.0,88000000.0,581000000.0,360000000.0,242000000.0,944000000.0,-306000000.0,524000000.0,-435000000.0,-4000000.0,34000000.0,8000000.0,29000000.0,-1235000000.0,-278000000.0,-56000000.0,179000000.0,54000000.0,-44000000.0,-112000000.0,5000000.0,940000000.0,-36000000.0,-72000000.0
2018-04-04,140.0,148.92999267578125,135.50999450683594,144.22000122070312,144.22000122070312,11702900,SPOT,1.0696158175090318,1.2303425387569218,1.0364720181827376,15000000.0,2488000000.0,2869000000.0,238000000.0,12000000.0,646000000.0,3107000000.0,480000000.0,-2427000000.0,65000000.0,135000000.0,177000000.0,75000000.0,477000000.0,1860000000.0,9000000.0,177000000.0,73000000.0,1898000000.0,911000000.0,88000000.0,581000000.0,360000000.0,242000000.0,944000000.0,-306000000.0,524000000.0,-435000000.0,-4000000.0,34000000.0,8000000.0,29000000.0,-1235000000.0,-278000000.0,-56000000.0,179000000.0,54000000.0,-44000000.0,-112000000.0,5000000.0,940000000.0,-36000000.0,-72000000.0
2018-04-05,149.22999572753906,152.41000366210938,141.25,143.99000549316406,143.99000549316406,7372800,SPOT,1.0417389699115005,1.2530730314080527,1.0575039826614214,15000000.0,2488000000.0,2869000000.0,238000000.0,12000000.0,646000000.0,3107000000.0,480000000.0,-2427000000.0,65000000.0,135000000.0,177000000.0,75000000.0,477000000.0,1860000000.0,9000000.0,177000000.0,73000000.0,1898000000.0,911000000.0,88000000.0,581000000.0,360000000.0,242000000.0,944000000.0,-306000000.0,524000000.0,-435000000.0,-4000000.0,34000000.0,8000000.0,29000000.0,-1235000000.0,-278000000.0,-56000000.0,179000000.0,54000000.0,-44000000.0,-112000000.0,5000000.0,940000000.0,-36000000.0,-72000000.0
2018-04-06,146.07000732421875,148.72999572753906,144.6699981689453,147.9199981689453,147.9199981689453,4228100,SPOT,1.018388326489813,1.2327610083881044,1.071457595017993,15000000.0,2488000000.0,2869000000.0,238000000.0,12000000.0,646000000.0,3107000000.0,480000000.0,-2427000000.0,65000000.0,135000000.0,177000000.0,75000000.0,477000000.0,1860000000.0,9000000.0,177000000.0,73000000.0,1898000000.0,911000000.0,88000000.0,581000000.0,360000000.0,242000000.0,944000000.0,-306000000.0,524000000.0,-435000000.0,-4000000.0,34000000.0,8000000.0,29000000.0,-1235000000.0,-278000000.0,-56000000.0,179000000.0,54000000.0,-44000000.0,-112000000.0,5000000.0,940000000.0,-36000000.0,-72000000.0
2018-04-09,149.5,151.0,148.58999633789062,150.0,150.0,2051400,SPOT,1.0004667154947915,1.2556667073567709,1.0616666666666668,15000000.0,2488000000.0,2869000000.0,238000000.0,12000000.0,646000000.0,3107000000.0,480000000.0,-2427000000.0,65000000.0,135000000.0,177000000.0,75000000.0,477000000.0,1860000000.0,9000000.0,177000000.0,73000000.0,1898000000.0,911000000.0,88000000.0,581000000.0,360000000.0,242000000.0,944000000.0,-306000000.0,524000000.0,-435000000.0,-4000000.0,34000000.0,8000000.0,29000000.0,-1235000000.0,-278000000.0,-56000000.0,179000000.0,54000000.0,-44000000.0,-112000000.0,5000000.0,940000000.0,-36000000.0,-72000000.0
2018-04-10,152.0,156.74000549316406,151.13299560546875,154.89999389648438,154.89999389648438,2980000,SPOT,1.0208522344325377,1.2085862756003385,1.0635894544327622,15000000.0,2488000000.0,2869000000.0,238000000.0,12000000.0,646000000.0,3107000000.0,480000000.0,-2427000000.0,65000000.0,135000000.0,177000000.0,75000000.0,477000000.0,1860000000.0,9000000.0,177000000.0,73000000.0,1898000000.0,911000000.0,88000000.0,581000000.0,360000000.0,242000000.0,944000000.0,-306000000.0,524000000.0,-435000000.0,-4000000.0,34000000.0,8000000.0,29000000.0,-1235000000.0,-278000000.0,-56000000.0,179000000.0,54000000.0,-44000000.0,-112000000.0,5000000.0,940000000.0,-36000000.0,-72000000.0
2018-04-11,154.0,154.14999389648438,147.5,149.57000732421875,149.57000732421875,1874000,SPOT,1.0481379728265638,1.231664051612798,1.0649193754067956,15000000.0,2488000000.0,2869000000.0,238000000.0,12000000.0,646000000.0,3107000000.0,480000000.0,-2427000000.0,65000000.0,135000000.0,177000000.0,75000000.0,477000000.0,1860000000.0,9000000.0,177000000.0,73000000.0,1898000000.0,911000000.0,88000000.0,581000000.0,360000000.0,242000000.0,944000000.0,-306000000.0,524000000.0,-435000000.0,-4000000.0,34000000.0,8000000.0,29000000.0,-1235000000.0,-278000000.0,-56000000.0,179000000.0,54000000.0,-44000000.0,-112000000.0,5000000.0,940000000.0,-36000000.0,-72000000.0
2018-04-12,150.25,151.0,148.64999389648438,149.10000610351562,149.10000610351562,1371900,SPOT,1.0729040554809957,1.254527132090757,1.0227364134867631,15000000.0,2488000000.0,2869000000.0,238000000.0,12000000.0,646000000.0,3107000000.0,480000000.0,-2427000000.0,65000000.0,135000000.0,177000000.0,75000000.0,477000000.0,1860000000.0,9000000.0,177000000.0,73000000.0,1898000000.0,911000000.0,88000000.0,581000000.0,360000000.0,242000000.0,944000000.0,-306000000.0,524000000.0,-435000000.0,-4000000.0,34000000.0,8000000.0,29000000.0,-1235000000.0,-278000000.0,-56000000.0,179000000.0,54000000.0,-44000000.0,-112000000.0,5000000.0,940000000.0,-36000000.0,-72000000.0
2018-04-13,149.8000030517578,150.4199981689453,148.0500030517578,149.0,149.0,1608100,SPOT,1.0651678302944108,1.2493288180972109,0.9995301521864514,15000000.0,2488000000.0,2869000000.0,238000000.0,12000000.0,646000000.0,3107000000.0,480000000.0,-2427000000.0,65000000.0,135000000.0,177000000.0,75000000.0,477000000.0,1860000000.0,9000000.0,177000000.0,73000000.0,1898000000.0,911000000.0,88000000.0,581000000.0,360000000.0,242000000.0,944000000.0,-306000000.0,524000000.0,-435000000.0,-4000000.0,34000000.0,8000000.0,29000000.0,-1235000000.0,-278000000.0,-56000000.0,179000000.0,54000000.0,-44000000.0,-112000000.0,5000000.0,940000000.0,-36000000.0,-72000000.0
2018-04-16,150.0,150.0,142.74000549316406,144.32000732421875,144.32000732421875,1454700,SPOT,1.118278763852066,1.2624029461979691,1.029240477742173,15000000.0,2488000000.0,2869000000.0,238000000.0,12000000.0,646000000.0,3107000000.0,480000000.0,-2427000000.0,65000000.0,135000000.0,177000000.0,75000000.0,477000000.0,1860000000.0,9000000.0,177000000.0,73000000.0,1898000000.0,911000000.0,88000000.0,581000000.0,360000000.0,242000000.0,944000000.0,-306000000.0,524000000.0,-435000000.0,-4000000.0,34000000.0,8000000.0,29000000.0,-1235000000.0,-278000000.0,-56000000.0,179000000.0,54000000.0,-44000000.0,-112000000.0,5000000.0,940000000.0,-36000000.0,-72000000.0
