Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Term Investments,Intangible Assets,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Net Borrowings
2019-09-16,9.649999618530272,9.760000228881836,9.649999618530272,9.760000228881836,9.760000228881836,600,CHPT,0.998975386409086,1.0327868532090068,1.0061474861204238,0.9826616262133095,0.0163137601957763,-0.0245883070269981,0.2367426584554403,14993000.0,116148000.0,-335375000.0,35935000.0,288101000.0,1000.0,460000.0,-350252000.0,21224000.0,1215000.0,-117000.0,593000.0,205238000.0,60882000.0,,-117000.0,18969000.0,266754000.0,-337160000.0,30086000.0,34042000.0,25373000.0,2640000.0,,570000.0,-47014000.0,11600000.0,-16297000.0,233798000.0,9042000.0,1370000.0,-108087000.0,116854000.0,-101000.0,-100546000.0,4086000.0,-19457000.0,-2735000.0,1454000.0,5005000.0,-14822000.0,15806000.0
2019-09-17,9.760000228881836,9.760000228881836,9.760000228881836,9.760000228881836,9.760000228881836,0,CHPT,0.996926159227258,1.0338114667999203,1.0071720997113378,0.9869791412258752,0.0099470180013828,-0.0269425617117426,0.1949647594021401,14993000.0,116148000.0,-335375000.0,35935000.0,288101000.0,1000.0,460000.0,-350252000.0,21224000.0,1215000.0,-117000.0,593000.0,205238000.0,60882000.0,,-117000.0,18969000.0,266754000.0,-337160000.0,30086000.0,34042000.0,25373000.0,2640000.0,,570000.0,-47014000.0,11600000.0,-16297000.0,233798000.0,9042000.0,1370000.0,-108087000.0,116854000.0,-101000.0,-100546000.0,4086000.0,-19457000.0,-2735000.0,1454000.0,5005000.0,-14822000.0,15806000.0
2019-09-18,9.6899995803833,9.720000267028809,9.6899995803833,9.720000267028809,9.720000267028809,200,CHPT,1.001028731988973,1.0267488958914397,1.0113168367958154,0.9867204398181848,0.0143082921707882,-0.0424482366014642,0.2228346123452449,14993000.0,116148000.0,-335375000.0,35935000.0,288101000.0,1000.0,460000.0,-350252000.0,21224000.0,1215000.0,-117000.0,593000.0,205238000.0,60882000.0,,-117000.0,18969000.0,266754000.0,-337160000.0,30086000.0,34042000.0,25373000.0,2640000.0,,570000.0,-47014000.0,11600000.0,-16297000.0,233798000.0,9042000.0,1370000.0,-108087000.0,116854000.0,-101000.0,-100546000.0,4086000.0,-19457000.0,-2735000.0,1454000.0,5005000.0,-14822000.0,15806000.0
2019-09-19,9.720000267028809,9.720000267028809,9.720000267028809,9.720000267028809,9.720000267028809,0,CHPT,1.001028731988973,1.0267488958914397,1.0236625036952427,0.995011450677082,0.006017281311891,-0.0443414404094644,0.2160068645675746,14993000.0,116148000.0,-335375000.0,35935000.0,288101000.0,1000.0,460000.0,-350252000.0,21224000.0,1215000.0,-117000.0,593000.0,205238000.0,60882000.0,,-117000.0,18969000.0,266754000.0,-337160000.0,30086000.0,34042000.0,25373000.0,2640000.0,,570000.0,-47014000.0,11600000.0,-16297000.0,233798000.0,9042000.0,1370000.0,-108087000.0,116854000.0,-101000.0,-100546000.0,4086000.0,-19457000.0,-2735000.0,1454000.0,5005000.0,-14822000.0,15806000.0
2019-09-20,9.84000015258789,9.850000381469728,9.84000015258789,9.850000381469728,9.850000381469728,900,CHPT,0.9888324257775154,1.0121827290265724,1.0152283870782846,0.9960398818346244,-0.0072074560571089,-0.0634152460349735,0.2179297873650684,14993000.0,116148000.0,-335375000.0,35935000.0,288101000.0,1000.0,460000.0,-350252000.0,21224000.0,1215000.0,-117000.0,593000.0,205238000.0,60882000.0,,-117000.0,18969000.0,266754000.0,-337160000.0,30086000.0,34042000.0,25373000.0,2640000.0,,570000.0,-47014000.0,11600000.0,-16297000.0,233798000.0,9042000.0,1370000.0,-108087000.0,116854000.0,-101000.0,-100546000.0,4086000.0,-19457000.0,-2735000.0,1454000.0,5005000.0,-14822000.0,15806000.0
2019-09-23,9.850000381469728,9.850000381469728,9.850000381469728,9.850000381469728,9.850000381469728,0,CHPT,0.9868020193496152,1.0111674774027604,1.0182740451299968,0.9976146190139424,-0.0108125996643273,-0.0659894229486104,0.2633732925334104,14993000.0,116148000.0,-335375000.0,35935000.0,288101000.0,1000.0,460000.0,-350252000.0,21224000.0,1215000.0,-117000.0,593000.0,205238000.0,60882000.0,,-117000.0,18969000.0,266754000.0,-337160000.0,30086000.0,34042000.0,25373000.0,2640000.0,,570000.0,-47014000.0,11600000.0,-16297000.0,233798000.0,9042000.0,1370000.0,-108087000.0,116854000.0,-101000.0,-100546000.0,4086000.0,-19457000.0,-2735000.0,1454000.0,5005000.0,-14822000.0,15806000.0
2019-09-26,9.850000381469728,9.850000381469728,9.850000381469728,9.850000381469728,9.850000381469728,800,CHPT,0.9888324257775154,1.0121827290265724,1.0172588903259083,1.0188342190622592,-0.0300017932847438,-0.0735635857987018,0.2019852525788886,14993000.0,116148000.0,-335375000.0,35935000.0,288101000.0,1000.0,460000.0,-350252000.0,21224000.0,1215000.0,-117000.0,593000.0,205238000.0,60882000.0,,-117000.0,18969000.0,266754000.0,-337160000.0,30086000.0,34042000.0,25373000.0,2640000.0,,570000.0,-47014000.0,11600000.0,-16297000.0,233798000.0,9042000.0,1370000.0,-108087000.0,116854000.0,-101000.0,-100546000.0,4086000.0,-19457000.0,-2735000.0,1454000.0,5005000.0,-14822000.0,15806000.0
2019-09-27,9.699999809265137,9.699999809265137,9.65999984741211,9.65999984741211,9.65999984741211,25000,CHPT,1.0082815657318551,1.033126262927421,1.0310559208564825,1.0279220586600373,-0.0196404929281821,-0.0648678428693889,0.2041347173914436,14993000.0,116148000.0,-335375000.0,35935000.0,288101000.0,1000.0,460000.0,-350252000.0,21224000.0,1215000.0,-117000.0,593000.0,205238000.0,60882000.0,,-117000.0,18969000.0,266754000.0,-337160000.0,30086000.0,34042000.0,25373000.0,2640000.0,,570000.0,-47014000.0,11600000.0,-16297000.0,233798000.0,9042000.0,1370000.0,-108087000.0,116854000.0,-101000.0,-100546000.0,4086000.0,-19457000.0,-2735000.0,1454000.0,5005000.0,-14822000.0,15806000.0
2019-09-30,9.6850004196167,9.710000038146973,9.6850004196167,9.710000038146973,9.710000038146973,800,CHPT,1.0061792398950546,1.0278063339885302,1.0257466528339694,1.0229391089257944,-0.0167598690307397,-0.0586581510623687,0.1663394245871495,14993000.0,116148000.0,-335375000.0,35935000.0,288101000.0,1000.0,460000.0,-350252000.0,21224000.0,1215000.0,-117000.0,593000.0,205238000.0,60882000.0,,-117000.0,18969000.0,266754000.0,-337160000.0,30086000.0,34042000.0,25373000.0,2640000.0,,570000.0,-47014000.0,11600000.0,-16297000.0,233798000.0,9042000.0,1370000.0,-108087000.0,116854000.0,-101000.0,-100546000.0,4086000.0,-19457000.0,-2735000.0,1454000.0,5005000.0,-14822000.0,15806000.0
2019-10-01,9.710000038146973,9.710000038146973,9.710000038146973,9.710000038146973,9.710000038146973,0,CHPT,1.0061792398950546,1.026776542519093,1.0339855738835848,1.0331074467465924,-0.0269282068515377,-0.0798201961175679,0.1371525178159757,14993000.0,116148000.0,-335375000.0,35935000.0,288101000.0,1000.0,460000.0,-350252000.0,21224000.0,1215000.0,-117000.0,593000.0,205238000.0,60882000.0,,-117000.0,18969000.0,266754000.0,-337160000.0,30086000.0,34042000.0,25373000.0,2640000.0,,570000.0,-47014000.0,11600000.0,-16297000.0,233798000.0,9042000.0,1370000.0,-108087000.0,116854000.0,-101000.0,-100546000.0,4086000.0,-19457000.0,-2735000.0,1454000.0,5005000.0,-14822000.0,15806000.0
