Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2017-09-29,44.40999984741211,45.709999084472656,44.380001068115234,45.040000915527344,45.040000915527344,3516500,LNG,1.03774424352539,1.221358730092049,1.248889850279911,1.0206479989635429,0.0170962445618472,0.1310983413696029,0.1595966512887081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-02,44.54999923706055,46.2599983215332,44.54999923706055,45.83000183105469,45.83000183105469,2156400,LNG,1.0375299440821837,1.2044512013424271,1.2262709691811096,1.012478214064533,0.0250517300176507,0.1157436455810274,0.1371400907041757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-03,46.15999984741211,46.88999938964844,45.93999862670898,46.880001068115234,46.880001068115234,2248500,LNG,1.00981226693669,1.1633958974591825,1.1934726853279245,1.0113391723313174,-0.0015269053946274,0.0734325224542804,0.1116720431073523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-04,47.0,47.36000061035156,45.290000915527344,45.84000015258789,45.84000015258789,3176700,LNG,1.0680628036976267,1.176701536805379,1.2412740256648238,1.0126829906128405,0.0553798130847862,0.0882178497838126,0.1513146590681597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-05,45.810001373291016,46.7400016784668,45.470001220703125,46.54999923706055,46.54999923706055,3446800,LNG,1.08163263800948,1.1574651332157049,1.2360902654906418,1.0121464877707815,0.0694861502386985,0.0746646575325922,0.1381685167193826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-06,46.41999816894531,46.7400016784668,46.25,46.43000030517578,46.43000030517578,1183400,LNG,1.0809820869442046,1.1725177313996331,1.2603919895137317,1.0081446760609294,0.0728374108832752,0.0775745085725969,0.159818923077968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-09,46.65999984741211,46.75,46.09999847412109,46.16999816894531,46.16999816894531,969300,LNG,1.0922677562308376,1.1854018131421242,1.2694390932372528,1.0143616235707735,0.077906132660064,0.0816863881894716,0.1709569470605558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-10,46.83000183105469,47.09999847412109,46.06999969482422,46.33000183105469,46.33000183105469,1813300,LNG,1.0712281266271952,1.2046190193733588,1.2464925041572212,1.008797349947511,0.0624307766796843,0.1117683432294132,0.1571951914632656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-11,46.720001220703125,46.720001220703125,45.869998931884766,46.5,46.5,3816400,LNG,1.0698924731182795,1.1974193614016295,1.253978524156796,1.0091988628593096,0.0606936102589699,0.0961871536589231,0.1658814739638023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-12,46.2599983215332,46.9900016784668,45.83000183105469,46.810001373291016,46.810001373291016,1813900,LNG,1.0527664459205763,1.1815851260549195,1.2080751458667336,1.0112728774332036,0.0414935684873727,0.0829002002315668,0.1320400449016041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-13,46.93000030517578,47.290000915527344,46.59999847412109,46.869998931884766,46.869998931884766,1810600,LNG,1.0347770664659943,1.1832728898729348,1.2331982196342726,1.0098252549340063,0.0249518115319877,0.0750233914856597,0.1563076157906555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-16,46.79999923706055,48.040000915527344,46.5,47.720001220703125,47.720001220703125,3727800,LNG,1.030804638901981,1.1607292114992176,1.232606835502456,1.0047827275420922,0.0260219113598887,0.0456674463575099,0.1470128381422495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-17,47.5099983215332,48.4900016784668,47.5099983215332,47.93999862670898,47.93999862670898,2049000,LNG,1.0273258533754146,1.1923237689782986,1.2129746180985828,1.016827126331923,0.0104987270434915,0.0713279988089823,0.1260363317837824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-18,47.93999862670898,48.380001068115234,47.25,47.34999847412109,47.34999847412109,1609000,LNG,1.028511136902279,1.2228089417473555,1.228299930763444,1.016900814218988,0.011610322683291,0.1062252176500491,0.1523045863387886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-19,46.95000076293945,47.310001373291016,46.34000015258789,46.810001373291016,46.810001373291016,1643300,LNG,1.0258491572094477,1.2559282031782188,1.2546463964802756,1.0195478153138224,0.0063013418956252,0.1393773008390173,0.1768128551624515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-20,46.65999984741211,46.900001525878906,46.06999969482422,46.18000030517578,46.18000030517578,1269800,LNG,1.037245587036307,1.2990472343445008,1.2932005375931062,1.0187296628598663,0.0185159241764407,0.1821217085669562,0.227726528368642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
