Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Other Current Assets,Retained Earnings,Other Liab,Good Will,Other Assets,Cash,Total Current Liabilities,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Long Term Debt,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Total Cash From Operating Activities,Depreciation,Change To Inventory,Change To Account Receivables,Change To Netincome,Capital Expenditures,Net Borrowings,Other Cashflows From Financing Activities,Issuance Of Stock
2020-06-05,33.099998474121094,35.0,31.5,33.540000915527344,33.540000915527344,12214900,FOUR,1.3342277512963032,1.459451384220984,1.8571854268104744,0.9555197936840854,0.3787079576122178,0.4301937517131182,0.6263487393569658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-08,33.0,37.33000183105469,32.650001525878906,35.150001525878906,35.150001525878906,1942600,FOUR,1.2753911773815705,1.423044047976409,1.8099572167883136,0.9235807988149242,0.3518103785666463,0.4277395713895449,0.6121786856054323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-09,35.599998474121094,37.290000915527344,33.72999954223633,35.5099983215332,35.5099983215332,1174800,FOUR,1.2638694224015234,1.303858108294652,1.7679527385735525,0.9543505613494414,0.309518861052082,0.2875515765144367,0.5262422378939782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-10,36.09999847412109,36.9900016784668,34.349998474121094,35.45000076293945,35.45000076293945,684600,FOUR,1.1012693956368258,1.2809590654476135,1.826234033017307,0.9608958633020044,0.1403735323348213,0.2242465890235991,0.5576058206751693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-11,32.45000076293945,33.29999923706055,30.0,31.75,31.75,1258900,FOUR,1.1892912857175812,1.4645669291338583,2.135118139071728,1.045260445726958,0.1440308399906233,0.3293930568466579,0.7577614655244129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-12,33.11000061035156,35.08000183105469,31.229999542236328,34.75,34.75,2241100,FOUR,1.1505035839492468,1.3522302641285409,2.0351079487972124,1.0498126718293574,0.1006909121198893,0.2349505473442072,0.6912556311734044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-15,34.0,36.5,33.38999938964844,35.52000045776367,35.52000045776367,357000,FOUR,1.1097972314448328,1.2547860112733324,1.963400815455968,1.031614340553077,0.0781828908917554,0.1604120967989366,0.64839943491801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-16,36.0,36.244998931884766,34.5,35.0,35.0,366300,FOUR,1.1114286150251116,1.268000030517578,2.077714320591518,1.0166643907242152,0.0947642243008963,0.2045341095812307,0.7810840637370606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,35.040000915527344,36.5,34.70000076293945,36.369998931884766,36.369998931884766,415100,FOUR,1.046191926162059,1.2471817966039438,1.9758043090662152,1.0230961122793614,0.0230958138826975,0.1974154946355903,0.6615659551787167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-18,36.380001068115234,39.9900016784668,35.70000076293945,39.52999877929688,39.52999877929688,824100,FOUR,0.9392866737846044,1.177333730146782,1.8160891255358715,1.0320780068346933,-0.0927913330500889,0.1195086920570551,0.5014296015091237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-19,40.0,42.33000183105469,38.03400039672852,41.75,41.75,1435700,FOUR,0.8574850116661209,1.117125733883795,1.7101796772665607,1.0472002394231807,-0.1897152277570598,0.0760139351634312,0.3878218078344424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-22,41.13999938964844,44.2599983215332,40.0099983215332,40.5099983215332,40.5099983215332,779100,FOUR,0.8886695011503888,1.098494244477564,1.752900643752555,1.0416111253467466,-0.1529416241963578,0.0611823644245015,0.4448104195413407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-23,41.20000076293945,42.9900016784668,40.27000045776367,40.5,40.5,435000,FOUR,0.8740741117500964,1.1204938535337094,1.829382625626929,1.0305967789015436,-0.1565226671514471,0.0693666690777272,0.5149185192226087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-24,39.560001373291016,40.18999862670898,37.0,37.52000045776367,37.52000045776367,638200,FOUR,0.9736140280813366,1.2150852770886458,2.009594898879514,1.0730616563589168,-0.0994476282775802,0.1062135789322267,0.6448992620121312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
