,2020-12-31,2019-12-31,2018-12-31
Change To Liabilities,-800000.0,13400000.0,11900000.0
Total Cashflows From Investing Activities,-102100000.0,-98800000.0,-41400000.0
Net Borrowings,475400000.0,85800000.0,14700000.0
Total Cash From Financing Activities,1002800000.0,71000000.0,11300000.0
Change To Operating Activities,-6500000.0,3300000.0,15400000.0
Issuance Of Stock,566300000.0,566300000.0,566300000.0
Net Income,-18400000.0,-56600000.0,-55400000.0
Change In Cash,924100000.0,-1100000.0,-4600000.0
Repurchase Of Stock,-4400000.0,-200000.0,-200000.0
Total Cash From Operating Activities,23400000.0,26700000.0,25500000.0
Depreciation,68500000.0,52600000.0,56500000.0
Dividends Paid,-900000.0,-8500000.0,-8500000.0
Change To Inventory,1200000.0,-1700000.0,-1800000.0
Change To Account Receivables,-19900000.0,-21000000.0,-16600000.0
Other Cashflows From Financing Activities,-33600000.0,-6100000.0,-3200000.0
Change To Netincome,-21800000.0,22700000.0,-2500000.0
Capital Expenditures,-19300000.0,-8200000.0,-1600000.0
