Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Other Current Assets,Retained Earnings,Other Liab,Good Will,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Common Stock,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Total Cash From Operating Activities,Depreciation,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-06-05,33.099998474121094,35.0,31.5,33.540000915527344,33.540000915527344,12214900,FOUR,1.3342277512963032,1.459451384220984,1.8571854268104744,209200000.0,,773900000.0,-32900000.0,,26400000.0,53500000.0,784000000.0,2200000.0,-182400000.0,8900000.0,421300000.0,31700000.0,3700000.0,129900000.0,5300000.0,15400000.0,106400000.0,-663400000.0,85900000.0,635100000.0,8500000.0,58100000.0,149500000.0,13400000.0,-98800000.0,85800000.0,71000000.0,3300000.0,566300000.0,-56600000.0,-1100000.0,-200000.0,26700000.0,52600000.0,-8500000.0,-1700000.0,-21000000.0,-6100000.0,22700000.0,-8200000.0
2020-06-08,33.0,37.33000183105469,32.650001525878906,35.150001525878906,35.150001525878906,1942600,FOUR,1.2753911773815705,1.423044047976409,1.8099572167883136,209200000.0,,773900000.0,-32900000.0,,26400000.0,53500000.0,784000000.0,2200000.0,-182400000.0,8900000.0,421300000.0,31700000.0,3700000.0,129900000.0,5300000.0,15400000.0,106400000.0,-663400000.0,85900000.0,635100000.0,8500000.0,58100000.0,149500000.0,13400000.0,-98800000.0,85800000.0,71000000.0,3300000.0,566300000.0,-56600000.0,-1100000.0,-200000.0,26700000.0,52600000.0,-8500000.0,-1700000.0,-21000000.0,-6100000.0,22700000.0,-8200000.0
2020-06-09,35.599998474121094,37.290000915527344,33.72999954223633,35.5099983215332,35.5099983215332,1174800,FOUR,1.2638694224015234,1.303858108294652,1.7679527385735525,209200000.0,,773900000.0,-32900000.0,,26400000.0,53500000.0,784000000.0,2200000.0,-182400000.0,8900000.0,421300000.0,31700000.0,3700000.0,129900000.0,5300000.0,15400000.0,106400000.0,-663400000.0,85900000.0,635100000.0,8500000.0,58100000.0,149500000.0,13400000.0,-98800000.0,85800000.0,71000000.0,3300000.0,566300000.0,-56600000.0,-1100000.0,-200000.0,26700000.0,52600000.0,-8500000.0,-1700000.0,-21000000.0,-6100000.0,22700000.0,-8200000.0
2020-06-10,36.09999847412109,36.9900016784668,34.349998474121094,35.45000076293945,35.45000076293945,684600,FOUR,1.1012693956368258,1.2809590654476135,1.826234033017307,209200000.0,,773900000.0,-32900000.0,,26400000.0,53500000.0,784000000.0,2200000.0,-182400000.0,8900000.0,421300000.0,31700000.0,3700000.0,129900000.0,5300000.0,15400000.0,106400000.0,-663400000.0,85900000.0,635100000.0,8500000.0,58100000.0,149500000.0,13400000.0,-98800000.0,85800000.0,71000000.0,3300000.0,566300000.0,-56600000.0,-1100000.0,-200000.0,26700000.0,52600000.0,-8500000.0,-1700000.0,-21000000.0,-6100000.0,22700000.0,-8200000.0
2020-06-11,32.45000076293945,33.29999923706055,30.0,31.75,31.75,1258900,FOUR,1.1892912857175812,1.4645669291338583,2.1351181390717278,209200000.0,,773900000.0,-32900000.0,,26400000.0,53500000.0,784000000.0,2200000.0,-182400000.0,8900000.0,421300000.0,31700000.0,3700000.0,129900000.0,5300000.0,15400000.0,106400000.0,-663400000.0,85900000.0,635100000.0,8500000.0,58100000.0,149500000.0,13400000.0,-98800000.0,85800000.0,71000000.0,3300000.0,566300000.0,-56600000.0,-1100000.0,-200000.0,26700000.0,52600000.0,-8500000.0,-1700000.0,-21000000.0,-6100000.0,22700000.0,-8200000.0
2020-06-12,33.11000061035156,35.08000183105469,31.229999542236328,34.75,34.75,2241100,FOUR,1.1505035839492468,1.3522302641285409,2.0351079487972124,209200000.0,,773900000.0,-32900000.0,,26400000.0,53500000.0,784000000.0,2200000.0,-182400000.0,8900000.0,421300000.0,31700000.0,3700000.0,129900000.0,5300000.0,15400000.0,106400000.0,-663400000.0,85900000.0,635100000.0,8500000.0,58100000.0,149500000.0,13400000.0,-98800000.0,85800000.0,71000000.0,3300000.0,566300000.0,-56600000.0,-1100000.0,-200000.0,26700000.0,52600000.0,-8500000.0,-1700000.0,-21000000.0,-6100000.0,22700000.0,-8200000.0
2020-06-15,34.0,36.5,33.38999938964844,35.52000045776367,35.52000045776367,357000,FOUR,1.1097972314448328,1.2547860112733324,1.9634008154559677,209200000.0,,773900000.0,-32900000.0,,26400000.0,53500000.0,784000000.0,2200000.0,-182400000.0,8900000.0,421300000.0,31700000.0,3700000.0,129900000.0,5300000.0,15400000.0,106400000.0,-663400000.0,85900000.0,635100000.0,8500000.0,58100000.0,149500000.0,13400000.0,-98800000.0,85800000.0,71000000.0,3300000.0,566300000.0,-56600000.0,-1100000.0,-200000.0,26700000.0,52600000.0,-8500000.0,-1700000.0,-21000000.0,-6100000.0,22700000.0,-8200000.0
2020-06-16,36.0,36.244998931884766,34.5,35.0,35.0,366300,FOUR,1.1114286150251116,1.268000030517578,2.077714320591518,209200000.0,,773900000.0,-32900000.0,,26400000.0,53500000.0,784000000.0,2200000.0,-182400000.0,8900000.0,421300000.0,31700000.0,3700000.0,129900000.0,5300000.0,15400000.0,106400000.0,-663400000.0,85900000.0,635100000.0,8500000.0,58100000.0,149500000.0,13400000.0,-98800000.0,85800000.0,71000000.0,3300000.0,566300000.0,-56600000.0,-1100000.0,-200000.0,26700000.0,52600000.0,-8500000.0,-1700000.0,-21000000.0,-6100000.0,22700000.0,-8200000.0
2020-06-17,35.040000915527344,36.5,34.70000076293945,36.369998931884766,36.369998931884766,415100,FOUR,1.046191926162059,1.2471817966039438,1.9758043090662152,209200000.0,,773900000.0,-32900000.0,,26400000.0,53500000.0,784000000.0,2200000.0,-182400000.0,8900000.0,421300000.0,31700000.0,3700000.0,129900000.0,5300000.0,15400000.0,106400000.0,-663400000.0,85900000.0,635100000.0,8500000.0,58100000.0,149500000.0,13400000.0,-98800000.0,85800000.0,71000000.0,3300000.0,566300000.0,-56600000.0,-1100000.0,-200000.0,26700000.0,52600000.0,-8500000.0,-1700000.0,-21000000.0,-6100000.0,22700000.0,-8200000.0
2020-06-18,36.380001068115234,39.9900016784668,35.70000076293945,39.52999877929688,39.52999877929688,824100,FOUR,0.9392866737846044,1.177333730146782,1.8160891255358715,209200000.0,,773900000.0,-32900000.0,,26400000.0,53500000.0,784000000.0,2200000.0,-182400000.0,8900000.0,421300000.0,31700000.0,3700000.0,129900000.0,5300000.0,15400000.0,106400000.0,-663400000.0,85900000.0,635100000.0,8500000.0,58100000.0,149500000.0,13400000.0,-98800000.0,85800000.0,71000000.0,3300000.0,566300000.0,-56600000.0,-1100000.0,-200000.0,26700000.0,52600000.0,-8500000.0,-1700000.0,-21000000.0,-6100000.0,22700000.0,-8200000.0
