Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Other Current Assets,Retained Earnings,Other Liab,Good Will,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Common Stock,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Total Cash From Operating Activities,Depreciation,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-06-19,40.0,42.33000183105469,38.03400039672852,41.75,41.75,1435700,FOUR,0.8574850116661209,1.117125733883795,1.7101796772665607,209200000.0,,773900000.0,-32900000.0,,26400000.0,53500000.0,784000000.0,2200000.0,-182400000.0,8900000.0,421300000.0,31700000.0,3700000.0,129900000.0,5300000.0,15400000.0,106400000.0,-663400000.0,85900000.0,635100000.0,8500000.0,58100000.0,149500000.0,13400000.0,-98800000.0,85800000.0,71000000.0,3300000.0,566300000.0,-56600000.0,-1100000.0,-200000.0,26700000.0,52600000.0,-8500000.0,-1700000.0,-21000000.0,-6100000.0,22700000.0,-8200000.0
2020-06-22,41.13999938964844,44.2599983215332,40.0099983215332,40.5099983215332,40.5099983215332,779100,FOUR,0.8886695011503888,1.098494244477564,1.752900643752555,209200000.0,,773900000.0,-32900000.0,,26400000.0,53500000.0,784000000.0,2200000.0,-182400000.0,8900000.0,421300000.0,31700000.0,3700000.0,129900000.0,5300000.0,15400000.0,106400000.0,-663400000.0,85900000.0,635100000.0,8500000.0,58100000.0,149500000.0,13400000.0,-98800000.0,85800000.0,71000000.0,3300000.0,566300000.0,-56600000.0,-1100000.0,-200000.0,26700000.0,52600000.0,-8500000.0,-1700000.0,-21000000.0,-6100000.0,22700000.0,-8200000.0
2020-06-23,41.20000076293945,42.9900016784668,40.27000045776367,40.5,40.5,435000,FOUR,0.8740741117500964,1.1204938535337094,1.829382625626929,209200000.0,,773900000.0,-32900000.0,,26400000.0,53500000.0,784000000.0,2200000.0,-182400000.0,8900000.0,421300000.0,31700000.0,3700000.0,129900000.0,5300000.0,15400000.0,106400000.0,-663400000.0,85900000.0,635100000.0,8500000.0,58100000.0,149500000.0,13400000.0,-98800000.0,85800000.0,71000000.0,3300000.0,566300000.0,-56600000.0,-1100000.0,-200000.0,26700000.0,52600000.0,-8500000.0,-1700000.0,-21000000.0,-6100000.0,22700000.0,-8200000.0
2020-06-24,39.560001373291016,40.18999862670898,37.0,37.52000045776367,37.52000045776367,638200,FOUR,0.9736140280813366,1.2150852770886458,2.009594898879514,209200000.0,,773900000.0,-32900000.0,,26400000.0,53500000.0,784000000.0,2200000.0,-182400000.0,8900000.0,421300000.0,31700000.0,3700000.0,129900000.0,5300000.0,15400000.0,106400000.0,-663400000.0,85900000.0,635100000.0,8500000.0,58100000.0,149500000.0,13400000.0,-98800000.0,85800000.0,71000000.0,3300000.0,566300000.0,-56600000.0,-1100000.0,-200000.0,26700000.0,52600000.0,-8500000.0,-1700000.0,-21000000.0,-6100000.0,22700000.0,-8200000.0
2020-06-25,37.150001525878906,37.61000061035156,35.349998474121094,36.02999877929688,36.02999877929688,533900,FOUR,1.019705881854703,1.3111297052169557,1.9911185205199589,209200000.0,,773900000.0,-32900000.0,,26400000.0,53500000.0,784000000.0,2200000.0,-182400000.0,8900000.0,421300000.0,31700000.0,3700000.0,129900000.0,5300000.0,15400000.0,106400000.0,-663400000.0,85900000.0,635100000.0,8500000.0,58100000.0,149500000.0,13400000.0,-98800000.0,85800000.0,71000000.0,3300000.0,566300000.0,-56600000.0,-1100000.0,-200000.0,26700000.0,52600000.0,-8500000.0,-1700000.0,-21000000.0,-6100000.0,22700000.0,-8200000.0
2020-06-26,36.20000076293945,37.720001220703125,36.20000076293945,37.20000076293945,37.20000076293945,437100,FOUR,1.0349462153332984,1.2999999897454375,1.981989296903112,209200000.0,,773900000.0,-32900000.0,,26400000.0,53500000.0,784000000.0,2200000.0,-182400000.0,8900000.0,421300000.0,31700000.0,3700000.0,129900000.0,5300000.0,15400000.0,106400000.0,-663400000.0,85900000.0,635100000.0,8500000.0,58100000.0,149500000.0,13400000.0,-98800000.0,85800000.0,71000000.0,3300000.0,566300000.0,-56600000.0,-1100000.0,-200000.0,26700000.0,52600000.0,-8500000.0,-1700000.0,-21000000.0,-6100000.0,22700000.0,-8200000.0
2020-06-29,36.84000015258789,37.209999084472656,34.77000045776367,35.93000030517578,35.93000030517578,442600,FOUR,1.0459226694089736,1.3829668300768436,1.9181741604109384,209200000.0,,773900000.0,-32900000.0,,26400000.0,53500000.0,784000000.0,2200000.0,-182400000.0,8900000.0,421300000.0,31700000.0,3700000.0,129900000.0,5300000.0,15400000.0,106400000.0,-663400000.0,85900000.0,635100000.0,8500000.0,58100000.0,149500000.0,13400000.0,-98800000.0,85800000.0,71000000.0,3300000.0,566300000.0,-56600000.0,-1100000.0,-200000.0,26700000.0,52600000.0,-8500000.0,-1700000.0,-21000000.0,-6100000.0,22700000.0,-8200000.0
2020-06-30,36.79999923706055,37.75,34.810001373291016,35.5,35.5,544000,FOUR,1.0788732179453675,1.4521126545650858,1.980563311509683,209200000.0,,773900000.0,-32900000.0,,26400000.0,53500000.0,784000000.0,2200000.0,-182400000.0,8900000.0,421300000.0,31700000.0,3700000.0,129900000.0,5300000.0,15400000.0,106400000.0,-663400000.0,85900000.0,635100000.0,8500000.0,58100000.0,149500000.0,13400000.0,-98800000.0,85800000.0,71000000.0,3300000.0,566300000.0,-56600000.0,-1100000.0,-200000.0,26700000.0,52600000.0,-8500000.0,-1700000.0,-21000000.0,-6100000.0,22700000.0,-8200000.0
2020-07-01,35.790000915527344,35.9900016784668,33.18000030517578,34.0,34.0,808100,FOUR,1.1647058374741497,1.5355882083668428,2.1097059810862824,209200000.0,,773900000.0,-32900000.0,,26400000.0,53500000.0,784000000.0,2200000.0,-182400000.0,8900000.0,421300000.0,31700000.0,3700000.0,129900000.0,5300000.0,15400000.0,106400000.0,-663400000.0,85900000.0,635100000.0,8500000.0,58100000.0,149500000.0,13400000.0,-98800000.0,85800000.0,71000000.0,3300000.0,566300000.0,-56600000.0,-1100000.0,-200000.0,26700000.0,52600000.0,-8500000.0,-1700000.0,-21000000.0,-6100000.0,22700000.0,-8200000.0
2020-07-02,34.779998779296875,36.75,34.650001525878906,36.16999816894531,36.16999816894531,545300,FOUR,1.086535837062955,1.4846558883446386,2.002488359741263,209200000.0,,773900000.0,-32900000.0,,26400000.0,53500000.0,784000000.0,2200000.0,-182400000.0,8900000.0,421300000.0,31700000.0,3700000.0,129900000.0,5300000.0,15400000.0,106400000.0,-663400000.0,85900000.0,635100000.0,8500000.0,58100000.0,149500000.0,13400000.0,-98800000.0,85800000.0,71000000.0,3300000.0,566300000.0,-56600000.0,-1100000.0,-200000.0,26700000.0,52600000.0,-8500000.0,-1700000.0,-21000000.0,-6100000.0,22700000.0,-8200000.0
2020-07-06,36.70000076293945,40.400001525878906,36.34999847412109,39.38999938964844,39.38999938964844,624900,FOUR,1.0005077547111851,1.3569434270411778,1.8857578047796928,209200000.0,,773900000.0,-32900000.0,,26400000.0,53500000.0,784000000.0,2200000.0,-182400000.0,8900000.0,421300000.0,31700000.0,3700000.0,129900000.0,5300000.0,15400000.0,106400000.0,-663400000.0,85900000.0,635100000.0,8500000.0,58100000.0,149500000.0,13400000.0,-98800000.0,85800000.0,71000000.0,3300000.0,566300000.0,-56600000.0,-1100000.0,-200000.0,26700000.0,52600000.0,-8500000.0,-1700000.0,-21000000.0,-6100000.0,22700000.0,-8200000.0
2020-07-07,38.560001373291016,45.970001220703125,38.0,42.4900016784668,42.4900016784668,1809700,FOUR,1.0270651368734691,1.258178323668207,1.7385267081318587,209200000.0,,773900000.0,-32900000.0,,26400000.0,53500000.0,784000000.0,2200000.0,-182400000.0,8900000.0,421300000.0,31700000.0,3700000.0,129900000.0,5300000.0,15400000.0,106400000.0,-663400000.0,85900000.0,635100000.0,8500000.0,58100000.0,149500000.0,13400000.0,-98800000.0,85800000.0,71000000.0,3300000.0,566300000.0,-56600000.0,-1100000.0,-200000.0,26700000.0,52600000.0,-8500000.0,-1700000.0,-21000000.0,-6100000.0,22700000.0,-8200000.0
2020-07-08,45.88999938964844,47.95000076293945,43.25,44.75,44.75,2269500,FOUR,0.9903910546329434,1.2449161806586069,1.6513966821425454,209200000.0,,773900000.0,-32900000.0,,26400000.0,53500000.0,784000000.0,2200000.0,-182400000.0,8900000.0,421300000.0,31700000.0,3700000.0,129900000.0,5300000.0,15400000.0,106400000.0,-663400000.0,85900000.0,635100000.0,8500000.0,58100000.0,149500000.0,13400000.0,-98800000.0,85800000.0,71000000.0,3300000.0,566300000.0,-56600000.0,-1100000.0,-200000.0,26700000.0,52600000.0,-8500000.0,-1700000.0,-21000000.0,-6100000.0,22700000.0,-8200000.0
2020-07-09,45.27000045776367,46.34999847412109,41.09999847412109,44.83000183105469,44.83000183105469,1070500,FOUR,1.0312290353334723,1.3395047241658296,1.563015766960894,209200000.0,,773900000.0,-32900000.0,,26400000.0,53500000.0,784000000.0,2200000.0,-182400000.0,8900000.0,421300000.0,31700000.0,3700000.0,129900000.0,5300000.0,15400000.0,106400000.0,-663400000.0,85900000.0,635100000.0,8500000.0,58100000.0,149500000.0,13400000.0,-98800000.0,85800000.0,71000000.0,3300000.0,566300000.0,-56600000.0,-1100000.0,-200000.0,26700000.0,52600000.0,-8500000.0,-1700000.0,-21000000.0,-6100000.0,22700000.0,-8200000.0
2020-07-10,42.15999984741211,45.75,41.68000030517578,44.880001068115234,44.880001068115234,884700,FOUR,1.011140819699205,1.2967914299870047,1.5701871556052207,209200000.0,,773900000.0,-32900000.0,,26400000.0,53500000.0,784000000.0,2200000.0,-182400000.0,8900000.0,421300000.0,31700000.0,3700000.0,129900000.0,5300000.0,15400000.0,106400000.0,-663400000.0,85900000.0,635100000.0,8500000.0,58100000.0,149500000.0,13400000.0,-98800000.0,85800000.0,71000000.0,3300000.0,566300000.0,-56600000.0,-1100000.0,-200000.0,26700000.0,52600000.0,-8500000.0,-1700000.0,-21000000.0,-6100000.0,22700000.0,-8200000.0
2020-07-13,45.33000183105469,45.375,37.36000061035156,39.040000915527344,39.040000915527344,1259500,FOUR,1.205430334776808,1.4600409493671258,1.79661879469249,209200000.0,,773900000.0,-32900000.0,,26400000.0,53500000.0,784000000.0,2200000.0,-182400000.0,8900000.0,421300000.0,31700000.0,3700000.0,129900000.0,5300000.0,15400000.0,106400000.0,-663400000.0,85900000.0,635100000.0,8500000.0,58100000.0,149500000.0,13400000.0,-98800000.0,85800000.0,71000000.0,3300000.0,566300000.0,-56600000.0,-1100000.0,-200000.0,26700000.0,52600000.0,-8500000.0,-1700000.0,-21000000.0,-6100000.0,22700000.0,-8200000.0
2020-07-14,36.81999969482422,37.970001220703125,35.52000045776367,37.7599983215332,37.7599983215332,985900,FOUR,1.294756397321347,1.5476695239518243,1.8622882102916616,209200000.0,,773900000.0,-32900000.0,,26400000.0,53500000.0,784000000.0,2200000.0,-182400000.0,8900000.0,421300000.0,31700000.0,3700000.0,129900000.0,5300000.0,15400000.0,106400000.0,-663400000.0,85900000.0,635100000.0,8500000.0,58100000.0,149500000.0,13400000.0,-98800000.0,85800000.0,71000000.0,3300000.0,566300000.0,-56600000.0,-1100000.0,-200000.0,26700000.0,52600000.0,-8500000.0,-1700000.0,-21000000.0,-6100000.0,22700000.0,-8200000.0
2020-07-15,39.459999084472656,41.45000076293945,37.70600128173828,39.97999954223633,39.97999954223633,874400,FOUR,1.2478739359899895,1.4857429266132578,1.7791395214568135,209200000.0,,773900000.0,-32900000.0,,26400000.0,53500000.0,784000000.0,2200000.0,-182400000.0,8900000.0,421300000.0,31700000.0,3700000.0,129900000.0,5300000.0,15400000.0,106400000.0,-663400000.0,85900000.0,635100000.0,8500000.0,58100000.0,149500000.0,13400000.0,-98800000.0,85800000.0,71000000.0,3300000.0,566300000.0,-56600000.0,-1100000.0,-200000.0,26700000.0,52600000.0,-8500000.0,-1700000.0,-21000000.0,-6100000.0,22700000.0,-8200000.0
2020-07-16,38.29999923706055,40.59999847412109,38.06999969482422,39.41999816894531,39.41999816894531,324900,FOUR,1.2567225575001286,1.4652460934672484,1.7828513963418386,209200000.0,,773900000.0,-32900000.0,,26400000.0,53500000.0,784000000.0,2200000.0,-182400000.0,8900000.0,421300000.0,31700000.0,3700000.0,129900000.0,5300000.0,15400000.0,106400000.0,-663400000.0,85900000.0,635100000.0,8500000.0,58100000.0,149500000.0,13400000.0,-98800000.0,85800000.0,71000000.0,3300000.0,566300000.0,-56600000.0,-1100000.0,-200000.0,26700000.0,52600000.0,-8500000.0,-1700000.0,-21000000.0,-6100000.0,22700000.0,-8200000.0
2020-07-17,39.869998931884766,39.869998931884766,38.27999877929688,38.900001525878906,38.900001525878906,254700,FOUR,1.2329048124218305,1.5223650102251534,1.7372750431923738,209200000.0,,773900000.0,-32900000.0,,26400000.0,53500000.0,784000000.0,2200000.0,-182400000.0,8900000.0,421300000.0,31700000.0,3700000.0,129900000.0,5300000.0,15400000.0,106400000.0,-663400000.0,85900000.0,635100000.0,8500000.0,58100000.0,149500000.0,13400000.0,-98800000.0,85800000.0,71000000.0,3300000.0,566300000.0,-56600000.0,-1100000.0,-200000.0,26700000.0,52600000.0,-8500000.0,-1700000.0,-21000000.0,-6100000.0,22700000.0,-8200000.0
2020-07-20,38.84999847412109,38.86299896240234,37.14099884033203,38.04999923706055,38.04999923706055,356400,FOUR,1.3114323922844262,1.493035545660624,1.6872535672934166,209200000.0,,773900000.0,-32900000.0,,26400000.0,53500000.0,784000000.0,2200000.0,-182400000.0,8900000.0,421300000.0,31700000.0,3700000.0,129900000.0,5300000.0,15400000.0,106400000.0,-663400000.0,85900000.0,635100000.0,8500000.0,58100000.0,149500000.0,13400000.0,-98800000.0,85800000.0,71000000.0,3300000.0,566300000.0,-56600000.0,-1100000.0,-200000.0,26700000.0,52600000.0,-8500000.0,-1700000.0,-21000000.0,-6100000.0,22700000.0,-8200000.0
2020-07-21,38.2400016784668,38.6879997253418,36.45000076293945,37.130001068115234,37.130001068115234,631300,FOUR,1.2992189682400006,1.5098303194349112,1.8346350871796484,209200000.0,,773900000.0,-32900000.0,,26400000.0,53500000.0,784000000.0,2200000.0,-182400000.0,8900000.0,421300000.0,31700000.0,3700000.0,129900000.0,5300000.0,15400000.0,106400000.0,-663400000.0,85900000.0,635100000.0,8500000.0,58100000.0,149500000.0,13400000.0,-98800000.0,85800000.0,71000000.0,3300000.0,566300000.0,-56600000.0,-1100000.0,-200000.0,26700000.0,52600000.0,-8500000.0,-1700000.0,-21000000.0,-6100000.0,22700000.0,-8200000.0
2020-07-22,37.0,37.11000061035156,35.029998779296875,35.79999923706055,35.79999923706055,647600,FOUR,1.4013966267632985,1.5636871713752782,1.8159218860801372,209200000.0,,773900000.0,-32900000.0,,26400000.0,53500000.0,784000000.0,2200000.0,-182400000.0,8900000.0,421300000.0,31700000.0,3700000.0,129900000.0,5300000.0,15400000.0,106400000.0,-663400000.0,85900000.0,635100000.0,8500000.0,58100000.0,149500000.0,13400000.0,-98800000.0,85800000.0,71000000.0,3300000.0,566300000.0,-56600000.0,-1100000.0,-200000.0,26700000.0,52600000.0,-8500000.0,-1700000.0,-21000000.0,-6100000.0,22700000.0,-8200000.0
2020-07-23,35.97999954223633,36.32500076293945,35.0,36.0,36.0,399700,FOUR,1.3983333375718858,1.4791666666666667,1.884444342719184,209200000.0,,773900000.0,-32900000.0,,26400000.0,53500000.0,784000000.0,2200000.0,-182400000.0,8900000.0,421300000.0,31700000.0,3700000.0,129900000.0,5300000.0,15400000.0,106400000.0,-663400000.0,85900000.0,635100000.0,8500000.0,58100000.0,149500000.0,13400000.0,-98800000.0,85800000.0,71000000.0,3300000.0,566300000.0,-56600000.0,-1100000.0,-200000.0,26700000.0,52600000.0,-8500000.0,-1700000.0,-21000000.0,-6100000.0,22700000.0,-8200000.0
2020-07-24,35.16999816894531,36.25,34.7400016784668,35.400001525878906,35.400001525878906,460900,FOUR,1.4892655070131158,1.5754236738377942,2.0141242931764984,209200000.0,,773900000.0,-32900000.0,,26400000.0,53500000.0,784000000.0,2200000.0,-182400000.0,8900000.0,421300000.0,31700000.0,3700000.0,129900000.0,5300000.0,15400000.0,106400000.0,-663400000.0,85900000.0,635100000.0,8500000.0,58100000.0,149500000.0,13400000.0,-98800000.0,85800000.0,71000000.0,3300000.0,566300000.0,-56600000.0,-1100000.0,-200000.0,26700000.0,52600000.0,-8500000.0,-1700000.0,-21000000.0,-6100000.0,22700000.0,-8200000.0
2020-07-27,35.849998474121094,37.150001525878906,34.2400016784668,36.52999877929688,36.52999877929688,271500,FOUR,1.4215713671090169,1.4297837746394153,1.9901450691929503,209200000.0,,773900000.0,-32900000.0,,26400000.0,53500000.0,784000000.0,2200000.0,-182400000.0,8900000.0,421300000.0,31700000.0,3700000.0,129900000.0,5300000.0,15400000.0,106400000.0,-663400000.0,85900000.0,635100000.0,8500000.0,58100000.0,149500000.0,13400000.0,-98800000.0,85800000.0,71000000.0,3300000.0,566300000.0,-56600000.0,-1100000.0,-200000.0,26700000.0,52600000.0,-8500000.0,-1700000.0,-21000000.0,-6100000.0,22700000.0,-8200000.0
2020-07-28,36.310001373291016,38.7599983215332,36.040000915527344,36.7400016784668,36.7400016784668,257700,FOUR,1.3952094714131853,1.436309146624019,2.0340228618098464,209200000.0,,773900000.0,-32900000.0,,26400000.0,53500000.0,784000000.0,2200000.0,-182400000.0,8900000.0,421300000.0,31700000.0,3700000.0,129900000.0,5300000.0,15400000.0,106400000.0,-663400000.0,85900000.0,635100000.0,8500000.0,58100000.0,149500000.0,13400000.0,-98800000.0,85800000.0,71000000.0,3300000.0,566300000.0,-56600000.0,-1100000.0,-200000.0,26700000.0,52600000.0,-8500000.0,-1700000.0,-21000000.0,-6100000.0,22700000.0,-8200000.0
2020-07-29,37.0,38.5,36.36000061035156,38.5,38.5,187000,FOUR,1.3335064974698154,1.3223376583743405,2.01948051948052,209200000.0,,773900000.0,-32900000.0,,26400000.0,53500000.0,784000000.0,2200000.0,-182400000.0,8900000.0,421300000.0,31700000.0,3700000.0,129900000.0,5300000.0,15400000.0,106400000.0,-663400000.0,85900000.0,635100000.0,8500000.0,58100000.0,149500000.0,13400000.0,-98800000.0,85800000.0,71000000.0,3300000.0,566300000.0,-56600000.0,-1100000.0,-200000.0,26700000.0,52600000.0,-8500000.0,-1700000.0,-21000000.0,-6100000.0,22700000.0,-8200000.0
2020-07-30,37.11000061035156,39.0,37.060001373291016,37.58000183105469,37.58000183105469,189000,FOUR,1.3403405129762636,1.2724852944341154,2.133847752373984,209200000.0,,773900000.0,-32900000.0,,26400000.0,53500000.0,784000000.0,2200000.0,-182400000.0,8900000.0,421300000.0,31700000.0,3700000.0,129900000.0,5300000.0,15400000.0,106400000.0,-663400000.0,85900000.0,635100000.0,8500000.0,58100000.0,149500000.0,13400000.0,-98800000.0,85800000.0,71000000.0,3300000.0,566300000.0,-56600000.0,-1100000.0,-200000.0,26700000.0,52600000.0,-8500000.0,-1700000.0,-21000000.0,-6100000.0,22700000.0,-8200000.0
2020-07-31,37.52000045776367,38.29999923706055,36.16999816894531,38.29999923706055,38.29999923706055,300100,FOUR,1.3321149209944307,1.313315933134232,2.103655386417387,209200000.0,,773900000.0,-32900000.0,,26400000.0,53500000.0,784000000.0,2200000.0,-182400000.0,8900000.0,421300000.0,31700000.0,3700000.0,129900000.0,5300000.0,15400000.0,106400000.0,-663400000.0,85900000.0,635100000.0,8500000.0,58100000.0,149500000.0,13400000.0,-98800000.0,85800000.0,71000000.0,3300000.0,566300000.0,-56600000.0,-1100000.0,-200000.0,26700000.0,52600000.0,-8500000.0,-1700000.0,-21000000.0,-6100000.0,22700000.0,-8200000.0
