Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Accounts Payable,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2018-04-26,28.89999961853028,31.75,28.64999961853028,31.209999084472656,31.209999084472656,13590200,CDAY,1.0970843538249766,1.049663546380291,1.2409484357051763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-27,30.950000762939453,31.5,29.68000030517578,30.520000457763672,30.520000457763672,1744900,CDAY,1.135976331878657,1.0999344427036104,1.245085171364523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-30,30.76000022888184,32.0,30.209999084472656,31.57999992370605,31.57999992370605,638900,CDAY,1.093096913906281,1.1022799701516246,1.2042431561486178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-01,31.420000076293945,32.400001525878906,31.26000022888184,31.479999542236328,31.479999542236328,858600,CDAY,1.0968868894984702,1.1277001434631562,1.207115646523942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-02,31.479999542236328,33.650001525878906,31.479999542236328,32.75,32.75,845500,CDAY,1.0980152392205391,1.1367938791522545,1.1984732824427482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-03,32.630001068115234,34.43000030517578,32.529998779296875,33.790000915527344,33.790000915527344,1807900,CDAY,1.075761985475927,1.1021012331891975,1.1651375514995406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-04,33.880001068115234,34.88999938964844,33.79999923706055,34.09000015258789,34.09000015258789,679600,CDAY,1.1193898409095564,1.104136087450004,1.1487239563546712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-07,34.09000015258789,34.70000076293945,33.900001525878906,33.9900016784668,33.9900016784668,325600,CDAY,1.0917916674850103,0.9858781014054,1.0741393503567511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-08,34.47999954223633,34.77000045776367,32.459999084472656,32.95000076293945,32.95000076293945,413900,CDAY,1.1350531308012777,1.067981724185238,1.0977237429878166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-09,33.130001068115234,34.25,33.04499816894531,33.470001220703125,33.470001220703125,466700,CDAY,1.090230067153258,1.0274872463517044,1.0839557052915676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-10,33.59000015258789,33.869998931884766,32.83000183105469,33.130001068115234,33.130001068115234,731600,CDAY,1.1355266440993497,1.0422577019633428,1.1258677342138264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
