Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Accounts Payable,Minority Interest,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Repurchase Of Stock,Other Cashflows From Investing Activities
2018-04-26,28.89999961853028,31.75,28.64999961853028,31.209999084472656,31.209999084472656,13590200,CDAY,1.0970843538249766,1.049663546380291,1.2409484357051763,1.0247521280151235,0.0723322258098531,-0.0219373976735026,0.1999232724629109,206500000.0,1565400000.0,5606900000.0,987800000.0,70200000.0,4141900000.0,6817900000.0,700000.0,4255900000.0,-267300000.0,201400000.0,1961000000.0,-311000000.0,82200000.0,94200000.0,4285700000.0,,-311000000.0,102000000.0,4466200000.0,-1179700000.0,62300000.0,1119800000.0,44400000.0,37800000.0,11700000.0,4600000.0,-39600000.0,-25900000.0,406800000.0,-54400000.0,3200000.0,3300000.0,343600000.0,11000000.0,-39800000.0,30200000.0,5700000.0,356100000.0,-49800000.0,-17500000.0,-1800000.0,-200000.0
2018-04-27,30.950000762939453,31.5,29.68000030517578,30.520000457763672,30.520000457763672,1744900,CDAY,1.135976331878657,1.0999344427036104,1.245085171364523,1.0380132315445008,0.0979631003341563,0.030979455770729,0.207313184470514,206500000.0,1565400000.0,5606900000.0,987800000.0,70200000.0,4141900000.0,6817900000.0,700000.0,4255900000.0,-267300000.0,201400000.0,1961000000.0,-311000000.0,82200000.0,94200000.0,4285700000.0,,-311000000.0,102000000.0,4466200000.0,-1179700000.0,62300000.0,1119800000.0,44400000.0,37800000.0,11700000.0,4600000.0,-39600000.0,-25900000.0,406800000.0,-54400000.0,3200000.0,3300000.0,343600000.0,11000000.0,-39800000.0,30200000.0,5700000.0,356100000.0,-49800000.0,-17500000.0,-1800000.0,-200000.0
2018-04-30,30.76000022888184,32.0,30.209999084472656,31.57999992370605,31.57999992370605,638900,CDAY,1.093096913906281,1.1022799701516246,1.2042431561486178,1.0376551498532594,0.0554417640530215,0.0157905153215545,0.1559152216928447,206500000.0,1565400000.0,5606900000.0,987800000.0,70200000.0,4141900000.0,6817900000.0,700000.0,4255900000.0,-267300000.0,201400000.0,1961000000.0,-311000000.0,82200000.0,94200000.0,4285700000.0,,-311000000.0,102000000.0,4466200000.0,-1179700000.0,62300000.0,1119800000.0,44400000.0,37800000.0,11700000.0,4600000.0,-39600000.0,-25900000.0,406800000.0,-54400000.0,3200000.0,3300000.0,343600000.0,11000000.0,-39800000.0,30200000.0,5700000.0,356100000.0,-49800000.0,-17500000.0,-1800000.0,-200000.0
2018-05-01,31.420000076293945,32.400001525878906,31.26000022888184,31.479999542236328,31.479999542236328,858600,CDAY,1.0968868894984702,1.1277001434631562,1.207115646523942,1.0446815749675655,0.0522053145309047,0.0411204726377527,0.1552813766202567,206500000.0,1565400000.0,5606900000.0,987800000.0,70200000.0,4141900000.0,6817900000.0,700000.0,4255900000.0,-267300000.0,201400000.0,1961000000.0,-311000000.0,82200000.0,94200000.0,4285700000.0,,-311000000.0,102000000.0,4466200000.0,-1179700000.0,62300000.0,1119800000.0,44400000.0,37800000.0,11700000.0,4600000.0,-39600000.0,-25900000.0,406800000.0,-54400000.0,3200000.0,3300000.0,343600000.0,11000000.0,-39800000.0,30200000.0,5700000.0,356100000.0,-49800000.0,-17500000.0,-1800000.0,-200000.0
2018-05-02,31.479999542236328,33.650001525878906,31.479999542236328,32.75,32.75,845500,CDAY,1.0980152392205391,1.1367938791522545,1.1984732824427482,1.0548014599130375,0.0432137793075015,0.0398615843415954,0.1220220396452176,206500000.0,1565400000.0,5606900000.0,987800000.0,70200000.0,4141900000.0,6817900000.0,700000.0,4255900000.0,-267300000.0,201400000.0,1961000000.0,-311000000.0,82200000.0,94200000.0,4285700000.0,,-311000000.0,102000000.0,4466200000.0,-1179700000.0,62300000.0,1119800000.0,44400000.0,37800000.0,11700000.0,4600000.0,-39600000.0,-25900000.0,406800000.0,-54400000.0,3200000.0,3300000.0,343600000.0,11000000.0,-39800000.0,30200000.0,5700000.0,356100000.0,-49800000.0,-17500000.0,-1800000.0,-200000.0
2018-05-03,32.630001068115234,34.43000030517578,32.529998779296875,33.790000915527344,33.790000915527344,1807900,CDAY,1.075761985475927,1.1021012331891975,1.1651375514995406,1.0605317444062077,0.0152302410697193,-0.0007445320802264,0.0894539877495033,206500000.0,1565400000.0,5606900000.0,987800000.0,70200000.0,4141900000.0,6817900000.0,700000.0,4255900000.0,-267300000.0,201400000.0,1961000000.0,-311000000.0,82200000.0,94200000.0,4285700000.0,,-311000000.0,102000000.0,4466200000.0,-1179700000.0,62300000.0,1119800000.0,44400000.0,37800000.0,11700000.0,4600000.0,-39600000.0,-25900000.0,406800000.0,-54400000.0,3200000.0,3300000.0,343600000.0,11000000.0,-39800000.0,30200000.0,5700000.0,356100000.0,-49800000.0,-17500000.0,-1800000.0,-200000.0
2018-05-04,33.880001068115234,34.88999938964844,33.79999923706055,34.09000015258789,34.09000015258789,679600,CDAY,1.1193898409095564,1.104136087450004,1.1487239563546712,1.056267554793551,0.0631222861160054,0.0164850639622016,0.0977272204306871,206500000.0,1565400000.0,5606900000.0,987800000.0,70200000.0,4141900000.0,6817900000.0,700000.0,4255900000.0,-267300000.0,201400000.0,1961000000.0,-311000000.0,82200000.0,94200000.0,4285700000.0,,-311000000.0,102000000.0,4466200000.0,-1179700000.0,62300000.0,1119800000.0,44400000.0,37800000.0,11700000.0,4600000.0,-39600000.0,-25900000.0,406800000.0,-54400000.0,3200000.0,3300000.0,343600000.0,11000000.0,-39800000.0,30200000.0,5700000.0,356100000.0,-49800000.0,-17500000.0,-1800000.0,-200000.0
2018-05-07,34.09000015258789,34.70000076293945,33.900001525878906,33.9900016784668,33.9900016784668,325600,CDAY,1.0917916674850103,0.9858781014054,1.0741393503567511,1.0491433491707594,0.0426483183142509,-0.0976423553918864,0.0488001715635766,206500000.0,1565400000.0,5606900000.0,987800000.0,70200000.0,4141900000.0,6817900000.0,700000.0,4255900000.0,-267300000.0,201400000.0,1961000000.0,-311000000.0,82200000.0,94200000.0,4285700000.0,,-311000000.0,102000000.0,4466200000.0,-1179700000.0,62300000.0,1119800000.0,44400000.0,37800000.0,11700000.0,4600000.0,-39600000.0,-25900000.0,406800000.0,-54400000.0,3200000.0,3300000.0,343600000.0,11000000.0,-39800000.0,30200000.0,5700000.0,356100000.0,-49800000.0,-17500000.0,-1800000.0,-200000.0
2018-05-08,34.47999954223633,34.77000045776367,32.459999084472656,32.95000076293945,32.95000076293945,413900,CDAY,1.1350531308012777,1.067981724185238,1.0977237429878166,1.0533582377542972,0.0816948930469805,-0.0094281677499838,0.0728390883253686,206500000.0,1565400000.0,5606900000.0,987800000.0,70200000.0,4141900000.0,6817900000.0,700000.0,4255900000.0,-267300000.0,201400000.0,1961000000.0,-311000000.0,82200000.0,94200000.0,4285700000.0,,-311000000.0,102000000.0,4466200000.0,-1179700000.0,62300000.0,1119800000.0,44400000.0,37800000.0,11700000.0,4600000.0,-39600000.0,-25900000.0,406800000.0,-54400000.0,3200000.0,3300000.0,343600000.0,11000000.0,-39800000.0,30200000.0,5700000.0,356100000.0,-49800000.0,-17500000.0,-1800000.0,-200000.0
2018-05-09,33.130001068115234,34.25,33.04499816894531,33.470001220703125,33.470001220703125,466700,CDAY,1.090230067153258,1.0274872463517044,1.0839557052915676,1.0460669201720088,0.0441631469812493,-0.035265969821336,0.0743443003668313,206500000.0,1565400000.0,5606900000.0,987800000.0,70200000.0,4141900000.0,6817900000.0,700000.0,4255900000.0,-267300000.0,201400000.0,1961000000.0,-311000000.0,82200000.0,94200000.0,4285700000.0,,-311000000.0,102000000.0,4466200000.0,-1179700000.0,62300000.0,1119800000.0,44400000.0,37800000.0,11700000.0,4600000.0,-39600000.0,-25900000.0,406800000.0,-54400000.0,3200000.0,3300000.0,343600000.0,11000000.0,-39800000.0,30200000.0,5700000.0,356100000.0,-49800000.0,-17500000.0,-1800000.0,-200000.0
