Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Accounts Payable,Capital Surplus,Other Current Assets,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2017-09-29,195.82000732421875,196.08999633789065,194.47999572753903,195.8500061035156,184.34033203125,2646300,UNH,1.0733722608064546,1.149899411700823,1.1405992155569509,1.0206479989635429,0.0527242618429117,0.0596390229783769,0.0513060165657479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-02,196.58999633789065,197.9100036621093,196.3300018310547,197.44000244140625,185.8368377685547,2893600,UNH,1.0612338300598163,1.162390057708336,1.1433454774582124,1.012478214064533,0.0487556159952833,0.0736825019469362,0.0542145989812785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-03,197.5,199.44000244140625,197.259994506836,198.6300048828125,186.9569091796875,2533800,UNH,1.0627801490123412,1.1353715938940327,1.136698353499165,1.0113391723313174,0.0514409766810237,0.0454082188891307,0.0548977112785928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-04,199.02999877929688,200.72999572753903,198.42999267578125,200.47999572753903,188.6981964111328,2286400,UNH,1.061801759184573,1.1305002011478569,1.1565383161397402,1.0126829906128405,0.0491187685717324,0.0420165141262904,0.0665789495430762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-05,199.92999267578125,199.92999267578125,196.5599975585937,197.8999938964844,186.26983642578125,4069000,UNH,1.0718542389931336,1.1367204101125712,1.213481107330156,1.0121464877707815,0.059707751222352,0.0539199344294585,0.1155593585588967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-06,197.8999938964844,199.9900054931641,197.509994506836,198.0599975585937,186.42041015625,3361900,UNH,1.073916891921978,1.141830877133705,1.201572972898643,1.0081446760609294,0.0657722158610485,0.0468876543066687,0.1009999064628794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-09,198.009994506836,198.32000732421875,195.77999877929688,196.3000030517578,184.763900756836,3365400,UNH,1.0737135248437752,1.1686801384823968,1.2090635425624594,1.0143616235707735,0.0593519012730017,0.0649647135297442,0.1105813963857624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-10,196.259994506836,196.42999267578125,193.6699981689453,194.67999267578125,183.23904418945312,2499100,UNH,1.0867062477922356,1.2003615862228505,1.2155052888917537,1.008797349947511,0.0779088978447246,0.1075109100789049,0.1262079761977981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-11,194.6300048828125,196.07000732421875,193.58999633789065,195.259994506836,183.7849578857422,2935600,UNH,1.0809691136998192,1.2252128372619904,1.2081826183186375,1.0091988628593096,0.0717702508405095,0.123980629519284,0.1200855681256438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-12,195.009994506836,195.3600006103516,192.72999572753903,192.9199981689453,181.5824737548828,2954700,UNH,1.1023224084928398,1.2646745358414058,1.2222110085814604,1.0112728774332036,0.0910495310596362,0.1659896100180531,0.1461759076163309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
