Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Short Term Investments,Net Receivables,Inventory,Accounts Payable,Long Term Debt,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Change To Inventory,Change To Account Receivables,Change To Netincome,Capital Expenditures,Net Borrowings,Other Cashflows From Financing Activities,Other Cashflows From Investing Activities
2017-09-29,50.810001373291016,52.0,50.810001373291016,51.880001068115234,51.880001068115234,381700,MRCY,0.9728219001853746,0.9653045643793018,0.9047802170450934,1.0206479989635429,-0.0478260987781682,-0.1249558243431442,-0.1845129819461095,129037000.0,584795000.0,90328000.0,725417000.0,9416000.0,815745000.0,463000.0,1434000.0,139085000.0,17483000.0,380846000.0,1074000.0,8023000.0,41637000.0,72845000.0,1074000.0,51643000.0,246196000.0,215534000.0,,113673000.0,81071000.0,27485000.0,,4310000.0,1899000.0,-111087000.0,11338000.0,3191000.0,220695000.0,24875000.0,-40054000.0,-8766000.0,549000.0,59146000.0,32269000.0,-9318000.0,-14054000.0,8684000.0,-32844000.0,-200000000.0,-591000.0,-486000.0
2017-10-02,51.93999862670898,52.77000045776367,51.68000030517578,52.77000045776367,52.77000045776367,237100,MRCY,0.9494030327746612,0.9683531936866434,0.8910365747561019,1.012478214064533,-0.0630751812898717,-0.1203543620747562,-0.1980943037208319,129037000.0,584795000.0,90328000.0,725417000.0,9416000.0,815745000.0,463000.0,1434000.0,139085000.0,17483000.0,380846000.0,1074000.0,8023000.0,41637000.0,72845000.0,1074000.0,51643000.0,246196000.0,215534000.0,,113673000.0,81071000.0,27485000.0,,4310000.0,1899000.0,-111087000.0,11338000.0,3191000.0,220695000.0,24875000.0,-40054000.0,-8766000.0,549000.0,59146000.0,32269000.0,-9318000.0,-14054000.0,8684000.0,-32844000.0,-200000000.0,-591000.0,-486000.0
2017-10-03,52.869998931884766,52.93999862670898,51.900001525878906,52.709999084472656,52.709999084472656,242400,MRCY,0.9918421492573608,0.9724909734751525,0.8783911978989131,1.0113391723313174,-0.0194970230739566,-0.1174724015297495,-0.203409444321659,129037000.0,584795000.0,90328000.0,725417000.0,9416000.0,815745000.0,463000.0,1434000.0,139085000.0,17483000.0,380846000.0,1074000.0,8023000.0,41637000.0,72845000.0,1074000.0,51643000.0,246196000.0,215534000.0,,113673000.0,81071000.0,27485000.0,,4310000.0,1899000.0,-111087000.0,11338000.0,3191000.0,220695000.0,24875000.0,-40054000.0,-8766000.0,549000.0,59146000.0,32269000.0,-9318000.0,-14054000.0,8684000.0,-32844000.0,-200000000.0,-591000.0,-486000.0
2017-10-04,52.47999954223633,52.959999084472656,52.13999938964844,52.959999084472656,52.959999084472656,138800,MRCY,0.9679002871539348,0.9665785406276068,0.866880676757271,1.0126829906128405,-0.0447827034589056,-0.1219051463939595,-0.223078689839393,129037000.0,584795000.0,90328000.0,725417000.0,9416000.0,815745000.0,463000.0,1434000.0,139085000.0,17483000.0,380846000.0,1074000.0,8023000.0,41637000.0,72845000.0,1074000.0,51643000.0,246196000.0,215534000.0,,113673000.0,81071000.0,27485000.0,,4310000.0,1899000.0,-111087000.0,11338000.0,3191000.0,220695000.0,24875000.0,-40054000.0,-8766000.0,549000.0,59146000.0,32269000.0,-9318000.0,-14054000.0,8684000.0,-32844000.0,-200000000.0,-591000.0,-486000.0
2017-10-05,53.13999938964844,53.540000915527344,52.66999816894531,53.52000045776367,53.52000045776367,329300,MRCY,0.9318011678875194,0.9626307925468286,0.8596785860987215,1.0121464877707815,-0.0803453198832621,-0.120169683136284,-0.2382431626725376,129037000.0,584795000.0,90328000.0,725417000.0,9416000.0,815745000.0,463000.0,1434000.0,139085000.0,17483000.0,380846000.0,1074000.0,8023000.0,41637000.0,72845000.0,1074000.0,51643000.0,246196000.0,215534000.0,,113673000.0,81071000.0,27485000.0,,4310000.0,1899000.0,-111087000.0,11338000.0,3191000.0,220695000.0,24875000.0,-40054000.0,-8766000.0,549000.0,59146000.0,32269000.0,-9318000.0,-14054000.0,8684000.0,-32844000.0,-200000000.0,-591000.0,-486000.0
2017-10-06,53.209999084472656,53.209999084472656,52.45000076293945,53.119998931884766,53.119998931884766,277300,MRCY,0.9260165590324052,0.966114471512534,0.840926187258121,1.0081446760609294,-0.0821281170285241,-0.1288287513145021,-0.2596468791776426,129037000.0,584795000.0,90328000.0,725417000.0,9416000.0,815745000.0,463000.0,1434000.0,139085000.0,17483000.0,380846000.0,1074000.0,8023000.0,41637000.0,72845000.0,1074000.0,51643000.0,246196000.0,215534000.0,,113673000.0,81071000.0,27485000.0,,4310000.0,1899000.0,-111087000.0,11338000.0,3191000.0,220695000.0,24875000.0,-40054000.0,-8766000.0,549000.0,59146000.0,32269000.0,-9318000.0,-14054000.0,8684000.0,-32844000.0,-200000000.0,-591000.0,-486000.0
2017-10-09,53.119998931884766,53.560001373291016,52.40999984741211,52.630001068115234,52.630001068115234,235600,MRCY,0.9334980062897928,0.9777692958408204,0.8546456133265501,1.0143616235707735,-0.0808636172809806,-0.1259461291118322,-0.2438365328501468,129037000.0,584795000.0,90328000.0,725417000.0,9416000.0,815745000.0,463000.0,1434000.0,139085000.0,17483000.0,380846000.0,1074000.0,8023000.0,41637000.0,72845000.0,1074000.0,51643000.0,246196000.0,215534000.0,,113673000.0,81071000.0,27485000.0,,4310000.0,1899000.0,-111087000.0,11338000.0,3191000.0,220695000.0,24875000.0,-40054000.0,-8766000.0,549000.0,59146000.0,32269000.0,-9318000.0,-14054000.0,8684000.0,-32844000.0,-200000000.0,-591000.0,-486000.0
2017-10-10,52.91999816894531,52.91999816894531,51.2599983215332,51.81999969482422,51.81999969482422,515200,MRCY,0.9554225899865888,0.988614431569616,0.8681976446047799,1.008797349947511,-0.0533747599609221,-0.1042362445743295,-0.2210996680891757,129037000.0,584795000.0,90328000.0,725417000.0,9416000.0,815745000.0,463000.0,1434000.0,139085000.0,17483000.0,380846000.0,1074000.0,8023000.0,41637000.0,72845000.0,1074000.0,51643000.0,246196000.0,215534000.0,,113673000.0,81071000.0,27485000.0,,4310000.0,1899000.0,-111087000.0,11338000.0,3191000.0,220695000.0,24875000.0,-40054000.0,-8766000.0,549000.0,59146000.0,32269000.0,-9318000.0,-14054000.0,8684000.0,-32844000.0,-200000000.0,-591000.0,-486000.0
2017-10-11,51.77000045776367,52.43000030517578,51.70000076293945,52.0099983215332,52.0099983215332,297800,MRCY,0.9413574440397976,0.99423189296785,0.8732935903622305,1.0091988628593096,-0.067841418819512,-0.1070003147748563,-0.2148034598307631,129037000.0,584795000.0,90328000.0,725417000.0,9416000.0,815745000.0,463000.0,1434000.0,139085000.0,17483000.0,380846000.0,1074000.0,8023000.0,41637000.0,72845000.0,1074000.0,51643000.0,246196000.0,215534000.0,,113673000.0,81071000.0,27485000.0,,4310000.0,1899000.0,-111087000.0,11338000.0,3191000.0,220695000.0,24875000.0,-40054000.0,-8766000.0,549000.0,59146000.0,32269000.0,-9318000.0,-14054000.0,8684000.0,-32844000.0,-200000000.0,-591000.0,-486000.0
2017-10-12,52.02000045776367,52.470001220703125,51.72999954223633,52.0,52.0,323000,MRCY,0.9419230681199294,0.9857691984910232,0.8255769289456881,1.0112728774332036,-0.0693498093132741,-0.1129157273323294,-0.2504581720194413,129037000.0,584795000.0,90328000.0,725417000.0,9416000.0,815745000.0,463000.0,1434000.0,139085000.0,17483000.0,380846000.0,1074000.0,8023000.0,41637000.0,72845000.0,1074000.0,51643000.0,246196000.0,215534000.0,,113673000.0,81071000.0,27485000.0,,4310000.0,1899000.0,-111087000.0,11338000.0,3191000.0,220695000.0,24875000.0,-40054000.0,-8766000.0,549000.0,59146000.0,32269000.0,-9318000.0,-14054000.0,8684000.0,-32844000.0,-200000000.0,-591000.0,-486000.0
