,2021-01-31,2020-01-31,2019-01-31,2018-01-31
Investments,-1980000000.0,-1968000000.0,402000000.0,-1452000000.0
Change To Liabilities,2972000000.0,2647000000.0,1790000000.0,1489000000.0
Total Cashflows From Investing Activities,-3971000000.0,-2980000000.0,-5308000000.0,-2011000000.0
Net Borrowings,-127000000.0,-676000000.0,1306000000.0,-429000000.0
Total Cash From Financing Activities,1194000000.0,164000000.0,2010000000.0,221000000.0
Change To Operating Activities,-2608000000.0,-1977000000.0,-1039000000.0,-746000000.0
Issuance Of Stock,1321000000.0,840000000.0,704000000.0,650000000.0
Net Income,4072000000.0,126000000.0,1110000000.0,360000000.0
Change In Cash,2050000000.0,1476000000.0,126000000.0,936000000.0
Effect Of Exchange Rate,26000000.0,-39000000.0,26000000.0,-12000000.0
Total Cash From Operating Activities,4801000000.0,4331000000.0,3398000000.0,2738000000.0
Depreciation,2668000000.0,2135000000.0,982000000.0,784000000.0
Change To Account Receivables,-1556000000.0,-1000000000.0,-923000000.0,-719000000.0
Change To Netincome,-1983000000.0,1524000000.0,741000000.0,978000000.0
Capital Expenditures,-710000000.0,-643000000.0,-595000000.0,-534000000.0
