Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Short Term Investments,Net Receivables,Accounts Payable,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2019-04-18,23.75,25.18000030517578,23.049999237060547,24.39999961853028,24.39999961853028,87109500,PINS,1.041393452650499,1.140163939744354,1.0598361071576616,0.9960603425316994,0.0453331101187997,0.0842739127729153,0.0089975336896424,7166000.0,252212000.0,276961000.0,-594563000.0,1152731000.0,1000.0,1057000.0,-845355000.0,17139000.0,6905000.0,-1421000.0,22593000.0,122509000.0,108427000.0,-1421000.0,226715000.0,889352000.0,-608634000.0,505304000.0,221932000.0,22169000.0,136757000.0,6533000.0,114063000.0,-2216000.0,45421000.0,671000.0,-62974000.0,51321000.0,-475015000.0,-157000.0,-60369000.0,20859000.0,-500000.0,-86094000.0,-2887000.0,15886000.0,-22194000.0
2019-04-22,24.6200008392334,25.68000030517578,23.56999969482422,24.989999771118164,24.989999771118164,19746800,PINS,0.9843937817838968,1.1040416328644644,1.0504201776879591,0.9930065863727758,-0.008612804588879,0.0528405541521663,-0.0073860238866054,7166000.0,252212000.0,276961000.0,-594563000.0,1152731000.0,1000.0,1057000.0,-845355000.0,17139000.0,6905000.0,-1421000.0,22593000.0,122509000.0,108427000.0,-1421000.0,226715000.0,889352000.0,-608634000.0,505304000.0,221932000.0,22169000.0,136757000.0,6533000.0,114063000.0,-2216000.0,45421000.0,671000.0,-62974000.0,51321000.0,-475015000.0,-157000.0,-60369000.0,20859000.0,-500000.0,-86094000.0,-2887000.0,15886000.0,-22194000.0
2019-04-23,25.3799991607666,27.75,25.229999542236328,25.850000381469727,25.850000381469727,19245400,PINS,0.9206962818507848,1.069245608578863,0.9891682521271364,0.967174065327414,-0.0464777834766292,0.0232567593554726,-0.0575355429657692,7166000.0,252212000.0,276961000.0,-594563000.0,1152731000.0,1000.0,1057000.0,-845355000.0,17139000.0,6905000.0,-1421000.0,22593000.0,122509000.0,108427000.0,-1421000.0,226715000.0,889352000.0,-608634000.0,505304000.0,221932000.0,22169000.0,136757000.0,6533000.0,114063000.0,-2216000.0,45421000.0,671000.0,-62974000.0,51321000.0,-475015000.0,-157000.0,-60369000.0,20859000.0,-500000.0,-86094000.0,-2887000.0,15886000.0,-22194000.0
2019-04-24,26.5,27.030000686645508,25.933000564575195,26.799999237060547,26.799999237060547,9477200,PINS,0.9514925644004184,1.0395522911741424,0.967164209484391,0.9699825032562136,-0.0184899388557951,-0.0010934569999478,-0.0789682639189387,7166000.0,252212000.0,276961000.0,-594563000.0,1152731000.0,1000.0,1057000.0,-845355000.0,17139000.0,6905000.0,-1421000.0,22593000.0,122509000.0,108427000.0,-1421000.0,226715000.0,889352000.0,-608634000.0,505304000.0,221932000.0,22169000.0,136757000.0,6533000.0,114063000.0,-2216000.0,45421000.0,671000.0,-62974000.0,51321000.0,-475015000.0,-157000.0,-60369000.0,20859000.0,-500000.0,-86094000.0,-2887000.0,15886000.0,-22194000.0
2019-04-25,27.450000762939453,29.39999961853028,26.670000076293945,28.799999237060547,28.799999237060547,16648300,PINS,0.8958333305738589,0.9937500554654348,0.8729166685982989,0.9664471965417172,-0.0706138659678582,-0.0538114765327166,-0.1722632377211223,7166000.0,252212000.0,276961000.0,-594563000.0,1152731000.0,1000.0,1057000.0,-845355000.0,17139000.0,6905000.0,-1421000.0,22593000.0,122509000.0,108427000.0,-1421000.0,226715000.0,889352000.0,-608634000.0,505304000.0,221932000.0,22169000.0,136757000.0,6533000.0,114063000.0,-2216000.0,45421000.0,671000.0,-62974000.0,51321000.0,-475015000.0,-157000.0,-60369000.0,20859000.0,-500000.0,-86094000.0,-2887000.0,15886000.0,-22194000.0
2019-04-26,29.84000015258789,30.68000030517578,28.3700008392334,29.850000381469727,29.850000381469727,16825600,PINS,0.8569514102782255,0.9711892596528932,0.6988274822033511,0.9508996027652468,-0.0939481924870211,-0.0583461547421303,-0.3508134281619925,7166000.0,252212000.0,276961000.0,-594563000.0,1152731000.0,1000.0,1057000.0,-845355000.0,17139000.0,6905000.0,-1421000.0,22593000.0,122509000.0,108427000.0,-1421000.0,226715000.0,889352000.0,-608634000.0,505304000.0,221932000.0,22169000.0,136757000.0,6533000.0,114063000.0,-2216000.0,45421000.0,671000.0,-62974000.0,51321000.0,-475015000.0,-157000.0,-60369000.0,20859000.0,-500000.0,-86094000.0,-2887000.0,15886000.0,-22194000.0
2019-04-29,30.770000457763672,34.40999984741211,29.86000061035156,34.2599983215332,34.2599983215332,25616700,PINS,0.7446001599144333,0.8260362120121104,0.600700552596672,0.950937124534164,-0.2063369646197308,-0.1905431213009457,-0.4509247673161023,7166000.0,252212000.0,276961000.0,-594563000.0,1152731000.0,1000.0,1057000.0,-845355000.0,17139000.0,6905000.0,-1421000.0,22593000.0,122509000.0,108427000.0,-1421000.0,226715000.0,889352000.0,-608634000.0,505304000.0,221932000.0,22169000.0,136757000.0,6533000.0,114063000.0,-2216000.0,45421000.0,671000.0,-62974000.0,51321000.0,-475015000.0,-157000.0,-60369000.0,20859000.0,-500000.0,-86094000.0,-2887000.0,15886000.0,-22194000.0
2019-04-30,35.20000076293945,35.290000915527344,30.530000686645508,30.979999542236328,30.979999542236328,35885700,PINS,0.8043899433348753,1.083602330240736,0.6607488578380023,0.9392273716208748,-0.1348374282859995,0.0774189989041749,-0.3894857385609127,7166000.0,252212000.0,276961000.0,-594563000.0,1152731000.0,1000.0,1057000.0,-845355000.0,17139000.0,6905000.0,-1421000.0,22593000.0,122509000.0,108427000.0,-1421000.0,226715000.0,889352000.0,-608634000.0,505304000.0,221932000.0,22169000.0,136757000.0,6533000.0,114063000.0,-2216000.0,45421000.0,671000.0,-62974000.0,51321000.0,-475015000.0,-157000.0,-60369000.0,20859000.0,-500000.0,-86094000.0,-2887000.0,15886000.0,-22194000.0
2019-05-01,31.5,32.88999938964844,30.5,31.229999542236328,31.229999542236328,13981300,PINS,0.7813000312577986,1.0797310827718474,0.6416907207579264,0.9512030495001949,-0.1699030182423961,0.0937872459383248,-0.4170877853139009,7166000.0,252212000.0,276961000.0,-594563000.0,1152731000.0,1000.0,1057000.0,-845355000.0,17139000.0,6905000.0,-1421000.0,22593000.0,122509000.0,108427000.0,-1421000.0,226715000.0,889352000.0,-608634000.0,505304000.0,221932000.0,22169000.0,136757000.0,6533000.0,114063000.0,-2216000.0,45421000.0,671000.0,-62974000.0,51321000.0,-475015000.0,-157000.0,-60369000.0,20859000.0,-500000.0,-86094000.0,-2887000.0,15886000.0,-22194000.0
2019-05-02,31.6200008392334,31.68000030517578,28.86000061035156,29.739999771118164,29.739999771118164,14052400,PINS,0.8137189290243758,1.0988567772926745,0.6721587062865865,0.9730573317075356,-0.1593384026831596,0.1005137036233793,-0.3866920572801623,7166000.0,252212000.0,276961000.0,-594563000.0,1152731000.0,1000.0,1057000.0,-845355000.0,17139000.0,6905000.0,-1421000.0,22593000.0,122509000.0,108427000.0,-1421000.0,226715000.0,889352000.0,-608634000.0,505304000.0,221932000.0,22169000.0,136757000.0,6533000.0,114063000.0,-2216000.0,45421000.0,671000.0,-62974000.0,51321000.0,-475015000.0,-157000.0,-60369000.0,20859000.0,-500000.0,-86094000.0,-2887000.0,15886000.0,-22194000.0
2019-05-03,29.549999237060547,30.549999237060547,28.1200008392334,28.36000061035156,28.36000061035156,10611000,PINS,0.8794076162662132,1.131875803359624,0.7073342395705158,0.9685577099237416,-0.0891500936575284,0.142601160228914,-0.3435382367273965,7166000.0,252212000.0,276961000.0,-594563000.0,1152731000.0,1000.0,1057000.0,-845355000.0,17139000.0,6905000.0,-1421000.0,22593000.0,122509000.0,108427000.0,-1421000.0,226715000.0,889352000.0,-608634000.0,505304000.0,221932000.0,22169000.0,136757000.0,6533000.0,114063000.0,-2216000.0,45421000.0,671000.0,-62974000.0,51321000.0,-475015000.0,-157000.0,-60369000.0,20859000.0,-500000.0,-86094000.0,-2887000.0,15886000.0,-22194000.0
2019-05-06,27.670000076293945,30.0,26.89999961853028,29.5,29.5,9930600,PINS,0.8749152361336401,1.1318643860897777,0.6915254107976365,0.9757631777316036,-0.1008479415979634,0.1196373196947087,-0.3626703694236921,7166000.0,252212000.0,276961000.0,-594563000.0,1152731000.0,1000.0,1057000.0,-845355000.0,17139000.0,6905000.0,-1421000.0,22593000.0,122509000.0,108427000.0,-1421000.0,226715000.0,889352000.0,-608634000.0,505304000.0,221932000.0,22169000.0,136757000.0,6533000.0,114063000.0,-2216000.0,45421000.0,671000.0,-62974000.0,51321000.0,-475015000.0,-157000.0,-60369000.0,20859000.0,-500000.0,-86094000.0,-2887000.0,15886000.0,-22194000.0
