Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Retained Earnings,Other Liab,Good Will,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Total Cash From Operating Activities,Depreciation,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2017-09-29,110.43000030517578,110.43000030517578,109.08999633789062,109.4499969482422,105.86847686767578,388500,CASY,1.0491620552977996,1.12361151777699,0.9857705817354696,1.0206479989635429,0.0285140563342567,0.033351129054544,-0.1035226172557333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-02,109.77999877929688,109.77999877929688,107.97000122070312,108.23999786376952,104.69807434082033,448800,CASY,1.060427519200267,1.1245050457677357,0.993264148196318,1.012478214064533,0.047949305135734,0.035797490006336,-0.0958667302806157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-03,109.02999877929688,109.6999969482422,108.37999725341795,109.16000366210938,105.58796691894533,421700,CASY,1.064619954325355,1.1292592733358544,0.9345625380339034,1.0113391723313174,0.0532807819940375,0.0392958983309523,-0.1472381041866687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-04,109.18000030517578,110.62999725341795,108.7699966430664,110.02999877929688,106.42950439453124,367400,CASY,1.0626695707676772,1.1152291251969186,0.9298201395734804,1.0126829906128405,0.0499865801548367,0.0267454381753522,-0.1601392270231836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-05,110.0999984741211,111.04000091552734,109.9800033569336,110.70999908447266,107.08724975585938,522400,CASY,1.051978107941357,1.087104503089881,0.924109049923982,1.0121464877707815,0.0398316201705755,0.0043040274067682,-0.1738126988472771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-06,110.04000091552734,112.5999984741211,110.04000091552734,111.05999755859376,107.42578125,400200,CASY,1.0251087460455983,1.1029011587078652,0.9211064199938184,1.0081446760609294,0.0169640699846689,0.007957935880829,-0.1794666464419452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-09,111.33000183105467,111.80999755859376,109.66999816894533,109.86000061035156,106.26505279541016,289800,CASY,1.0396815191551805,1.1335594616829978,0.9276021686093558,1.0143616235707735,0.0253198955844069,0.0298440367303451,-0.170879977567341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-10,110.1999969482422,111.13999938964844,109.72000122070312,109.9800033569336,106.38114166259766,294500,CASY,1.0372711071733396,1.1214775478537125,0.9202884565802965,1.008797349947511,0.0284737572258286,0.0286268717097668,-0.1690088561136591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-11,110.41000366210938,112.3000030517578,110.0199966430664,110.11000061035156,106.5068817138672,355700,CASY,1.0507925819856203,1.1190613657381374,0.8955765981116138,1.0091988628593096,0.0415937191263107,0.017829157995431,-0.1925204520813798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-12,110.48999786376952,113.4499969482422,110.48999786376952,112.72000122070312,109.0314712524414,406900,CASY,1.0280623299757126,1.0985739039602134,0.8640578216752631,1.0112728774332036,0.0167894525425089,-0.0001110218631392,-0.2119772792898663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
