,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Investments,11190000.0,7545000.0,10231000.0,4229000.0
Change To Liabilities,277539000.0,27566000.0,-42500000.0,38586000.0
Total Cashflows From Investing Activities,-3933000.0,-13284000.0,-8177000.0,-15193000.0
Net Borrowings,922916000.0,-306000.0,-306000.0,-306000.0
Total Cash From Financing Activities,727642000.0,-424695000.0,-672258000.0,-281641000.0
Change To Operating Activities,519000.0,-16994000.0,-30863000.0,8177000.0
Issuance Of Stock,180866000.0,274028000.0,174110000.0,140525000.0
Net Income,901248000.0,878539000.0,797197000.0,537521000.0
Change In Cash,1648978000.0,428556000.0,42691000.0,273520000.0
Repurchase Of Stock,-371078000.0,-698417000.0,-846134000.0,-422166000.0
Total Cash From Operating Activities,925269000.0,866535000.0,723126000.0,570354000.0
Depreciation,21992000.0,20818000.0,20168000.0,22667000.0
Change To Inventory,-362384000.0,-94178000.0,-6911000.0,-154099000.0
Change To Account Receivables,-1675000.0,2754000.0,-1008000.0,-348000.0
Other Cashflows From Financing Activities,-5062000.0,-5062000.0,-234000.0,-234000.0
Change To Netincome,88030000.0,48030000.0,-12957000.0,117850000.0
Capital Expenditures,-16119000.0,-22699000.0,-19665000.0,-20269000.0
