Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2018-10-04,27.75,35.5,27.040000915527344,32.20000076293945,32.20000076293945,10336300,GH,1.0909937961413982,1.2900621096673313,2.3795031345082363,8739000.0,4900000.0,34332000.0,-191368000.0,,7018000.0,342938000.0,,-195736000.0,14245000.0,,-532000.0,1974000.0,72280000.0,19627000.0,-532000.0,16036000.0,242935000.0,73254000.0,-200107000.0,149040000.0,12787000.0,,7287000.0,4998000.0,-161433000.0,2465000.0,-170416000.0,-26088000.0,281656000.0,6356000.0,765000.0,-83221000.0,39005000.0,-7222000.0,84000.0,-72235000.0,5206000.0,-4518000.0,-9292000.0,36614000.0,10769000.0,-6681000.0
2018-10-05,31.88999938964844,32.689998626708984,28.75,29.200000762939453,29.200000762939453,1703300,GH,1.2222601950067966,1.470547859752397,2.490068396736344,8739000.0,4900000.0,34332000.0,-191368000.0,,7018000.0,342938000.0,,-195736000.0,14245000.0,,-532000.0,1974000.0,72280000.0,19627000.0,-532000.0,16036000.0,242935000.0,73254000.0,-200107000.0,149040000.0,12787000.0,,7287000.0,4998000.0,-161433000.0,2465000.0,-170416000.0,-26088000.0,281656000.0,6356000.0,765000.0,-83221000.0,39005000.0,-7222000.0,84000.0,-72235000.0,5206000.0,-4518000.0,-9292000.0,36614000.0,10769000.0,-6681000.0
2018-10-08,29.780000686645508,30.40999984741211,28.520000457763672,29.549999237060547,29.549999237060547,1061800,GH,1.2473773794255492,1.3377326497430084,2.386125345404387,8739000.0,4900000.0,34332000.0,-191368000.0,,7018000.0,342938000.0,,-195736000.0,14245000.0,,-532000.0,1974000.0,72280000.0,19627000.0,-532000.0,16036000.0,242935000.0,73254000.0,-200107000.0,149040000.0,12787000.0,,7287000.0,4998000.0,-161433000.0,2465000.0,-170416000.0,-26088000.0,281656000.0,6356000.0,765000.0,-83221000.0,39005000.0,-7222000.0,84000.0,-72235000.0,5206000.0,-4518000.0,-9292000.0,36614000.0,10769000.0,-6681000.0
2018-10-09,29.6299991607666,32.560001373291016,28.729999542236328,31.51000022888184,31.51000022888184,719600,GH,1.2116788330004602,1.2719771989819806,2.029197021969617,8739000.0,4900000.0,34332000.0,-191368000.0,,7018000.0,342938000.0,,-195736000.0,14245000.0,,-532000.0,1974000.0,72280000.0,19627000.0,-532000.0,16036000.0,242935000.0,73254000.0,-200107000.0,149040000.0,12787000.0,,7287000.0,4998000.0,-161433000.0,2465000.0,-170416000.0,-26088000.0,281656000.0,6356000.0,765000.0,-83221000.0,39005000.0,-7222000.0,84000.0,-72235000.0,5206000.0,-4518000.0,-9292000.0,36614000.0,10769000.0,-6681000.0
2018-10-10,31.51000022888184,32.68000030517578,30.65999984741211,30.920000076293945,30.920000076293945,1297400,GH,1.232212108024281,1.30465718153462,2.1578266835728983,8739000.0,4900000.0,34332000.0,-191368000.0,,7018000.0,342938000.0,,-195736000.0,14245000.0,,-532000.0,1974000.0,72280000.0,19627000.0,-532000.0,16036000.0,242935000.0,73254000.0,-200107000.0,149040000.0,12787000.0,,7287000.0,4998000.0,-161433000.0,2465000.0,-170416000.0,-26088000.0,281656000.0,6356000.0,765000.0,-83221000.0,39005000.0,-7222000.0,84000.0,-72235000.0,5206000.0,-4518000.0,-9292000.0,36614000.0,10769000.0,-6681000.0
2018-10-11,31.57999992370605,32.400001525878906,30.850000381469727,31.600000381469727,31.600000381469727,478500,GH,1.2379746347985734,1.309810091455555,2.0727847851042838,8739000.0,4900000.0,34332000.0,-191368000.0,,7018000.0,342938000.0,,-195736000.0,14245000.0,,-532000.0,1974000.0,72280000.0,19627000.0,-532000.0,16036000.0,242935000.0,73254000.0,-200107000.0,149040000.0,12787000.0,,7287000.0,4998000.0,-161433000.0,2465000.0,-170416000.0,-26088000.0,281656000.0,6356000.0,765000.0,-83221000.0,39005000.0,-7222000.0,84000.0,-72235000.0,5206000.0,-4518000.0,-9292000.0,36614000.0,10769000.0,-6681000.0
2018-10-12,32.0,34.41999816894531,31.979999542236328,33.58000183105469,33.58000183105469,483800,GH,1.121798573998534,1.2284097007359935,1.9469920693379692,8739000.0,4900000.0,34332000.0,-191368000.0,,7018000.0,342938000.0,,-195736000.0,14245000.0,,-532000.0,1974000.0,72280000.0,19627000.0,-532000.0,16036000.0,242935000.0,73254000.0,-200107000.0,149040000.0,12787000.0,,7287000.0,4998000.0,-161433000.0,2465000.0,-170416000.0,-26088000.0,281656000.0,6356000.0,765000.0,-83221000.0,39005000.0,-7222000.0,84000.0,-72235000.0,5206000.0,-4518000.0,-9292000.0,36614000.0,10769000.0,-6681000.0
2018-10-15,33.880001068115234,34.34000015258789,32.720001220703125,33.369998931884766,33.369998931884766,471300,GH,1.1165717564926732,1.216961399766454,2.0197783543073102,8739000.0,4900000.0,34332000.0,-191368000.0,,7018000.0,342938000.0,,-195736000.0,14245000.0,,-532000.0,1974000.0,72280000.0,19627000.0,-532000.0,16036000.0,242935000.0,73254000.0,-200107000.0,149040000.0,12787000.0,,7287000.0,4998000.0,-161433000.0,2465000.0,-170416000.0,-26088000.0,281656000.0,6356000.0,765000.0,-83221000.0,39005000.0,-7222000.0,84000.0,-72235000.0,5206000.0,-4518000.0,-9292000.0,36614000.0,10769000.0,-6681000.0
2018-10-16,33.75,37.900001525878906,33.75,37.720001220703125,37.720001220703125,690400,GH,0.994167518197683,1.060180285904067,1.7529162409011585,8739000.0,4900000.0,34332000.0,-191368000.0,,7018000.0,342938000.0,,-195736000.0,14245000.0,,-532000.0,1974000.0,72280000.0,19627000.0,-532000.0,16036000.0,242935000.0,73254000.0,-200107000.0,149040000.0,12787000.0,,7287000.0,4998000.0,-161433000.0,2465000.0,-170416000.0,-26088000.0,281656000.0,6356000.0,765000.0,-83221000.0,39005000.0,-7222000.0,84000.0,-72235000.0,5206000.0,-4518000.0,-9292000.0,36614000.0,10769000.0,-6681000.0
2018-10-17,38.4900016784668,43.79999923706055,37.77000045776367,40.72999954223633,40.72999954223633,935900,GH,0.9145593031832072,0.9690646124307808,1.6083968296709086,8739000.0,4900000.0,34332000.0,-191368000.0,,7018000.0,342938000.0,,-195736000.0,14245000.0,,-532000.0,1974000.0,72280000.0,19627000.0,-532000.0,16036000.0,242935000.0,73254000.0,-200107000.0,149040000.0,12787000.0,,7287000.0,4998000.0,-161433000.0,2465000.0,-170416000.0,-26088000.0,281656000.0,6356000.0,765000.0,-83221000.0,39005000.0,-7222000.0,84000.0,-72235000.0,5206000.0,-4518000.0,-9292000.0,36614000.0,10769000.0,-6681000.0
