Date,Open,High,Low,Close,Adj Close,Volume,ticker
1993-04-07,4.515625,4.546875,4.5,4.546875,1.3312160968780518,285600,ELS
1993-04-08,4.5625,4.625,4.5625,4.625,1.354089617729187,347200,ELS
1993-04-12,4.65625,4.703125,4.625,4.65625,1.3632386922836304,48800,ELS
1993-04-13,4.640625,4.6875,4.578125,4.578125,1.3403652906417847,105600,ELS
1993-04-14,4.609375,4.65625,4.5,4.53125,1.3266421556472778,110400,ELS
1993-04-15,4.53125,4.5625,4.53125,4.546875,1.3312160968780518,125600,ELS
1993-04-16,4.59375,4.59375,4.5625,4.5625,1.3357911109924316,54400,ELS
1993-04-19,4.5625,4.5625,4.515625,4.546875,1.3312160968780518,64800,ELS
1993-04-20,4.53125,4.53125,4.515625,4.515625,1.322067141532898,100000,ELS
1993-04-21,4.546875,4.546875,4.484375,4.515625,1.322067141532898,52800,ELS
1993-04-22,4.515625,4.546875,4.515625,4.546875,1.3312160968780518,31200,ELS
1993-04-23,4.515625,4.515625,4.46875,4.46875,1.3083432912826538,248000,ELS
1993-04-26,4.484375,4.484375,4.1875,4.1875,1.226000189781189,175200,ELS
1993-04-27,4.1875,4.1875,4.09375,4.125,1.2077016830444336,195200,ELS
1993-04-28,4.109375,4.21875,4.09375,4.21875,1.2351493835449219,504800,ELS
1993-04-29,4.25,4.265625,4.234375,4.265625,1.2488731145858765,738400,ELS
1993-04-30,4.25,4.265625,4.21875,4.234375,1.2397236824035645,23200,ELS
1993-05-03,4.203125,4.21875,4.15625,4.21875,1.2351493835449219,58400,ELS
1993-05-04,4.234375,4.3125,4.203125,4.3125,1.2625970840454102,256800,ELS
1993-05-05,4.328125,4.359375,4.328125,4.359375,1.2763206958770752,56800,ELS
1993-05-06,4.375,4.4375,4.359375,4.4375,1.2991939783096313,324000,ELS
1993-05-07,4.453125,4.5,4.453125,4.5,1.3174923658370972,37600,ELS
1993-05-10,4.484375,4.53125,4.484375,4.484375,1.3129174709320068,64000,ELS
1993-05-11,4.5,4.5,4.4375,4.4375,1.2991939783096313,32800,ELS
1993-05-12,4.4375,4.4375,4.421875,4.421875,1.2946193218231201,17600,ELS
1993-05-13,4.421875,4.421875,4.375,4.375,1.280895709991455,24000,ELS
1993-05-14,4.375,4.390625,4.375,4.390625,1.2854695320129395,45600,ELS
1993-05-17,4.359375,4.359375,4.328125,4.328125,1.2671711444854736,16000,ELS
1993-05-18,4.296875,4.296875,4.296875,4.296875,1.258022665977478,12800,ELS
1993-05-19,4.265625,4.265625,4.25,4.25,1.2442982196807861,21600,ELS
1993-05-20,4.21875,4.21875,4.15625,4.15625,1.2168502807617188,44000,ELS
1993-05-21,4.125,4.140625,4.03125,4.046875,1.1848284006118774,35200,ELS
1993-05-24,4.03125,4.03125,3.890625,3.9375,1.1528059244155884,855200,ELS
1993-05-25,3.953125,4.0,3.9375,3.9375,1.1528059244155884,520800,ELS
1993-05-26,3.953125,3.953125,3.875,3.890625,1.1390820741653442,562400,ELS
1993-05-27,3.90625,4.0625,3.90625,4.046875,1.1848284006118774,603200,ELS
1993-05-28,4.03125,4.03125,4.0,4.03125,1.1802541017532349,36800,ELS
1993-06-01,4.046875,4.046875,4.0,4.0,1.1711050271987915,32800,ELS
1993-06-02,3.96875,4.328125,3.96875,4.328125,1.2671711444854736,676800,ELS
1993-06-03,4.328125,4.328125,4.203125,4.25,1.2442982196807861,117600,ELS
1993-06-04,4.234375,4.234375,4.203125,4.203125,1.2305748462677002,408800,ELS
1993-06-07,4.234375,4.25,4.21875,4.234375,1.2397236824035645,48000,ELS
1993-06-08,4.203125,4.203125,4.140625,4.1875,1.226000189781189,62400,ELS
1993-06-09,4.21875,4.234375,4.203125,4.203125,1.2305748462677002,33600,ELS
1993-06-10,4.234375,4.234375,4.15625,4.15625,1.2168502807617188,49600,ELS
1993-06-11,4.125,4.140625,4.078125,4.125,1.2077016830444336,40000,ELS
1993-06-14,4.109375,4.109375,4.078125,4.109375,1.2031264305114746,12000,ELS
1993-06-15,4.125,4.125,4.078125,4.109375,1.2031264305114746,29600,ELS
1993-06-16,4.109375,4.15625,4.09375,4.15625,1.2168502807617188,43200,ELS
1993-06-17,4.15625,4.15625,4.15625,4.15625,1.2168502807617188,1600,ELS
1993-06-18,4.15625,4.171875,4.109375,4.171875,1.2214254140853882,37600,ELS
1993-06-21,4.125,4.125,4.046875,4.09375,1.2171515226364136,563200,ELS
1993-06-22,4.09375,4.109375,4.046875,4.0625,1.2078601121902466,73600,ELS
1993-06-23,4.0625,4.109375,4.046875,4.09375,1.2171515226364136,115200,ELS
1993-06-24,4.109375,4.1875,4.078125,4.1875,1.245025634765625,250400,ELS
1993-06-25,4.1875,4.34375,4.1875,4.328125,1.2868356704711914,200800,ELS
1993-06-28,4.3125,4.59375,4.3125,4.59375,1.3658112287521362,142400,ELS
1993-06-29,4.609375,4.609375,4.453125,4.5,1.337937831878662,539200,ELS
1993-06-30,4.46875,4.6875,4.46875,4.671875,1.3890395164489746,200000,ELS
1993-07-01,4.65625,4.734375,4.65625,4.734375,1.4076223373413086,75200,ELS
1993-07-02,4.75,4.75,4.6875,4.6875,1.393684983253479,39200,ELS
1993-07-06,4.71875,4.71875,4.671875,4.6875,1.393684983253479,26400,ELS
1993-07-07,4.6875,4.6875,4.640625,4.65625,1.384393334388733,52000,ELS
1993-07-08,4.6875,4.703125,4.671875,4.703125,1.3983300924301147,24000,ELS
1993-07-09,4.703125,4.703125,4.671875,4.703125,1.3983300924301147,34400,ELS
1993-07-12,4.6875,4.71875,4.65625,4.671875,1.3890395164489746,44800,ELS
1993-07-13,4.65625,4.6875,4.65625,4.6875,1.393684983253479,79200,ELS
1993-07-14,4.671875,4.671875,4.5625,4.609375,1.3704572916030884,159200,ELS
1993-07-15,4.59375,4.609375,4.578125,4.609375,1.3704572916030884,20000,ELS
1993-07-16,4.609375,4.609375,4.59375,4.59375,1.3658112287521362,4800,ELS
1993-07-19,4.625,4.640625,4.59375,4.59375,1.3658112287521362,32000,ELS
1993-07-20,4.609375,4.625,4.609375,4.625,1.3751025199890137,39200,ELS
1993-07-21,4.625,4.625,4.59375,4.609375,1.3704572916030884,16800,ELS
1993-07-22,4.625,4.625,4.578125,4.578125,1.3611658811569214,56800,ELS
1993-07-23,4.578125,4.59375,4.546875,4.5625,1.3565198183059692,48000,ELS
1993-07-26,4.5625,4.5625,4.515625,4.515625,1.342583417892456,44800,ELS
1993-07-27,4.53125,4.53125,4.421875,4.421875,1.3147090673446655,65600,ELS
1993-07-28,4.421875,4.421875,4.390625,4.390625,1.3054187297821045,10400,ELS
1993-07-29,4.40625,4.46875,4.40625,4.46875,1.3286464214324951,208000,ELS
1993-07-30,4.46875,4.5,4.46875,4.5,1.337937831878662,9600,ELS
1993-08-02,4.484375,4.484375,4.453125,4.46875,1.3286464214324951,94400,ELS
1993-08-03,4.46875,4.484375,4.46875,4.484375,1.3332916498184204,122400,ELS
1993-08-04,4.484375,4.53125,4.453125,4.53125,1.3472285270690918,268000,ELS
1993-08-05,4.53125,4.53125,4.484375,4.515625,1.342583417892456,30400,ELS
1993-08-06,4.53125,4.53125,4.53125,4.53125,1.3472285270690918,15200,ELS
1993-08-09,4.53125,4.546875,4.53125,4.546875,1.3518736362457275,55200,ELS
1993-08-10,4.53125,4.546875,4.53125,4.53125,1.3472285270690918,18400,ELS
1993-08-11,4.515625,4.515625,4.5,4.515625,1.342583417892456,25600,ELS
1993-08-12,4.53125,4.53125,4.453125,4.453125,1.324000358581543,114400,ELS
1993-08-13,4.453125,4.453125,4.40625,4.421875,1.3147090673446655,244800,ELS
1993-08-16,4.4375,4.4375,4.4375,4.4375,1.3193554878234863,8000,ELS
1993-08-17,4.4375,4.4375,4.40625,4.40625,1.3100640773773193,80800,ELS
1993-08-18,4.40625,4.40625,4.390625,4.390625,1.3054187297821045,14400,ELS
1993-08-19,4.390625,4.390625,4.25,4.328125,1.2868356704711914,1106400,ELS
1993-08-20,4.34375,4.359375,4.328125,4.34375,1.2914808988571167,27200,ELS
1993-08-23,4.34375,4.34375,4.265625,4.328125,1.2868356704711914,191200,ELS
1993-08-24,4.34375,4.34375,4.296875,4.296875,1.2775450944900513,117600,ELS
1993-08-25,4.296875,4.296875,4.28125,4.28125,1.2728986740112305,96800,ELS
1993-08-26,4.296875,4.59375,4.28125,4.5625,1.3565198183059692,217600,ELS
1993-08-27,4.5625,4.59375,4.5625,4.59375,1.3658112287521362,146400,ELS
1993-08-30,4.578125,4.59375,4.5625,4.59375,1.3658112287521362,47200,ELS
1993-08-31,4.59375,4.59375,4.5625,4.578125,1.3611658811569214,672000,ELS
1993-09-01,4.578125,4.578125,4.578125,4.578125,1.3611658811569214,5600,ELS
1993-09-02,4.578125,4.609375,4.5625,4.609375,1.3704572916030884,182400,ELS
1993-09-03,4.578125,4.609375,4.5625,4.59375,1.3658112287521362,179200,ELS
1993-09-07,4.609375,4.609375,4.578125,4.578125,1.3611658811569214,200800,ELS
1993-09-08,4.5625,4.578125,4.5625,4.578125,1.3611658811569214,99200,ELS
1993-09-09,4.5625,4.71875,4.5625,4.71875,1.4029765129089355,89600,ELS
1993-09-10,4.71875,5.28125,4.71875,5.203125,1.5469896793365479,1130400,ELS
1993-09-13,5.1875,5.265625,5.15625,5.21875,1.5516362190246582,636800,ELS
1993-09-14,5.21875,5.40625,5.21875,5.40625,1.6073825359344482,448800,ELS
1993-09-15,5.40625,5.453125,5.390625,5.4375,1.6166743040084839,221600,ELS
1993-09-16,5.4375,5.453125,5.390625,5.390625,1.6027377843856812,217600,ELS
1993-09-17,5.375,5.390625,5.375,5.375,1.5980921983718872,238400,ELS
1993-09-20,5.28125,5.28125,5.234375,5.234375,1.5753321647644043,66400,ELS
1993-09-21,5.234375,5.234375,5.09375,5.09375,1.533009648323059,169600,ELS
1993-09-22,5.09375,5.125,5.09375,5.125,1.5424150228500366,16000,ELS
1993-09-23,5.140625,5.171875,5.140625,5.171875,1.5565217733383179,41600,ELS
1993-09-24,5.171875,5.3125,5.171875,5.3125,1.5988438129425049,190400,ELS
1993-09-27,5.34375,5.5625,5.34375,5.53125,1.6646791696548462,394400,ELS
1993-09-28,5.53125,5.65625,5.53125,5.65625,1.702298641204834,375200,ELS
1993-09-29,5.640625,5.734375,5.625,5.625,1.6928935050964355,208800,ELS
1993-09-30,5.59375,5.625,5.5625,5.578125,1.6787861585617065,9217600,ELS
1993-10-01,5.578125,5.640625,5.578125,5.625,1.6928935050964355,1516000,ELS
1993-10-04,5.59375,5.671875,5.59375,5.671875,1.7070010900497437,956800,ELS
1993-10-05,5.65625,5.703125,5.65625,5.6875,1.7117044925689697,1076800,ELS
1993-10-06,5.6875,5.78125,5.671875,5.78125,1.7399200201034546,896800,ELS
1993-10-07,5.765625,5.8125,5.71875,5.8125,1.7493234872817993,939200,ELS
1993-10-08,5.8125,5.84375,5.75,5.84375,1.7587287425994873,654400,ELS
1993-10-11,5.8125,5.859375,5.8125,5.84375,1.7587287425994873,95200,ELS
1993-10-12,5.84375,5.890625,5.84375,5.875,1.7681338787078857,569600,ELS
1993-10-13,5.90625,6.0,5.90625,5.96875,1.7963488101959229,304000,ELS
1993-10-14,5.984375,6.03125,5.96875,5.984375,1.8010501861572266,680000,ELS
1993-10-15,5.984375,5.984375,5.9375,5.984375,1.8010501861572266,188000,ELS
1993-10-18,5.96875,5.96875,5.890625,5.890625,1.7728360891342163,64800,ELS
1993-10-19,5.890625,5.890625,5.671875,5.671875,1.7070010900497437,91200,ELS
1993-10-20,5.671875,5.671875,5.640625,5.640625,1.6975960731506348,12000,ELS
1993-10-21,5.609375,5.609375,5.5625,5.578125,1.6787861585617065,100800,ELS
1993-10-22,5.5625,5.5625,5.3125,5.3125,1.5988438129425049,128800,ELS
