Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Accounts Payable,Common Stock,Long Term Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-10-22,18.600000381469727,19.5,18.290000915527344,18.700000762939453,15.698005676269531,25260400,MCFE,0.82887694167243,1.0824266403702625,1.3019265696557445,1.094738791139384,-0.265861849466954,-0.1214483675040902,-0.0621681795741251,2539000000.0,6840000000.0,-471000000.0,,1470000000.0,6369000000.0,238000000.0,-1148000000.0,830000000.0,2426000000.0,2000000.0,170000000.0,468000000.0,1937000000.0,54000000.0,36000000.0,2000000.0,178000000.0,1055000000.0,-5436000000.0,347000000.0,4073000000.0,140000000.0,675000000.0,1000000.0,309000000.0,-677000000.0,469000000.0,459000000.0,-75000000.0,1000000.0,-512000000.0,97000000.0,-10000000.0,-4000000.0,319000000.0,436000000.0,-1000000.0,-1334000000.0,29000000.0,-11000000.0,25000000.0,-61000000.0
2020-10-23,18.68000030517578,19.780000686645508,18.5,18.790000915527344,15.773555755615234,4834200,MCFE,0.8419372407310088,1.008243221248757,1.1973044126605856,1.1082827557993673,-0.2663455150683584,-0.1769536268585037,-0.1592702587284613,980000000.0,7882000000.0,-2094000000.0,,1684000000.0,5788000000.0,592000000.0,-1385000000.0,973000000.0,1018000000.0,-62000000.0,2844000000.0,167000000.0,2160000000.0,21000000.0,62000000.0,-62000000.0,115000000.0,831000000.0,-4092000000.0,72000000.0,4711000000.0,126000000.0,-647000000.0,,186000000.0,-63000000.0,618000000.0,-734000000.0,-6000000.0,1000000.0,-236000000.0,-301000000.0,-8000000.0,6000000.0,496000000.0,429000000.0,-5000000.0,-1334000000.0,-60000000.0,-11000000.0,76000000.0,-56000000.0
2020-10-26,18.790000915527344,18.989999771118164,18.3700008392334,18.700000762939453,15.698005676269531,2552500,MCFE,0.873262026692665,1.0335185600094092,1.247364486926076,1.131753622338089,-0.2584915956454241,-0.1961986446724348,-0.1460558793271376,980000000.0,7882000000.0,-2094000000.0,,1684000000.0,5788000000.0,592000000.0,-1385000000.0,973000000.0,1018000000.0,-62000000.0,2844000000.0,167000000.0,2160000000.0,21000000.0,62000000.0,-62000000.0,115000000.0,831000000.0,-4092000000.0,72000000.0,4711000000.0,126000000.0,-647000000.0,,186000000.0,-63000000.0,618000000.0,-734000000.0,-6000000.0,1000000.0,-236000000.0,-301000000.0,-8000000.0,6000000.0,496000000.0,429000000.0,-5000000.0,-1334000000.0,-60000000.0,-11000000.0,76000000.0,-56000000.0
2020-10-27,18.670000076293945,18.90999984741211,18.489999771118164,18.68000030517578,15.6812162399292,2515100,MCFE,0.9036400834959816,1.1379264313142894,1.2389656185110856,1.148785200454681,-0.2451451169586994,-0.1129641450612011,-0.1901438641366184,980000000.0,7882000000.0,-2094000000.0,,1684000000.0,5788000000.0,592000000.0,-1385000000.0,973000000.0,1018000000.0,-62000000.0,2844000000.0,167000000.0,2160000000.0,21000000.0,62000000.0,-62000000.0,115000000.0,831000000.0,-4092000000.0,72000000.0,4711000000.0,126000000.0,-647000000.0,,186000000.0,-63000000.0,618000000.0,-734000000.0,-6000000.0,1000000.0,-236000000.0,-301000000.0,-8000000.0,6000000.0,496000000.0,429000000.0,-5000000.0,-1334000000.0,-60000000.0,-11000000.0,76000000.0,-56000000.0
2020-10-28,18.38999938964844,18.440000534057617,16.860000610351562,17.149999618530273,14.396832466125488,5134400,MCFE,0.9358600355202604,1.199594360769448,1.3176891918236493,1.1717206663972943,-0.2358606308770339,-0.0989674717521822,-0.1415788357608971,980000000.0,7882000000.0,-2094000000.0,,1684000000.0,5788000000.0,592000000.0,-1385000000.0,973000000.0,1018000000.0,-62000000.0,2844000000.0,167000000.0,2160000000.0,21000000.0,62000000.0,-62000000.0,115000000.0,831000000.0,-4092000000.0,72000000.0,4711000000.0,126000000.0,-647000000.0,,186000000.0,-63000000.0,618000000.0,-734000000.0,-6000000.0,1000000.0,-236000000.0,-301000000.0,-8000000.0,6000000.0,496000000.0,429000000.0,-5000000.0,-1334000000.0,-60000000.0,-11000000.0,76000000.0,-56000000.0
2020-10-29,17.149999618530273,17.5,15.420000076293944,16.649999618530273,13.977099418640137,5064000,MCFE,0.9597597606613132,1.2464835172857955,1.395483544646508,1.1675292886158797,-0.2077695279545662,-0.0525428789439035,-0.0331705047123023,980000000.0,7882000000.0,-2094000000.0,,1684000000.0,5788000000.0,592000000.0,-1385000000.0,973000000.0,1018000000.0,-62000000.0,2844000000.0,167000000.0,2160000000.0,21000000.0,62000000.0,-62000000.0,115000000.0,831000000.0,-4092000000.0,72000000.0,4711000000.0,126000000.0,-647000000.0,,186000000.0,-63000000.0,618000000.0,-734000000.0,-6000000.0,1000000.0,-236000000.0,-301000000.0,-8000000.0,6000000.0,496000000.0,429000000.0,-5000000.0,-1334000000.0,-60000000.0,-11000000.0,76000000.0,-56000000.0
2020-10-30,16.610000610351562,16.8700008392334,15.949999809265137,16.760000228881836,14.069440841674805,1556100,MCFE,0.9445107591888172,1.2335050828726437,1.382105376320471,1.1783167979264215,-0.2338060387376045,-0.0873628575568208,-0.0165464746234207,980000000.0,7882000000.0,-2094000000.0,,1684000000.0,5788000000.0,592000000.0,-1385000000.0,973000000.0,1018000000.0,-62000000.0,2844000000.0,167000000.0,2160000000.0,21000000.0,62000000.0,-62000000.0,115000000.0,831000000.0,-4092000000.0,72000000.0,4711000000.0,126000000.0,-647000000.0,,186000000.0,-63000000.0,618000000.0,-734000000.0,-6000000.0,1000000.0,-236000000.0,-301000000.0,-8000000.0,6000000.0,496000000.0,429000000.0,-5000000.0,-1334000000.0,-60000000.0,-11000000.0,76000000.0,-56000000.0
2020-11-02,16.8700008392334,17.110000610351562,16.200000762939453,16.459999084472656,13.81760025024414,1045100,MCFE,0.952004941194594,1.2376695826653463,1.399930870760623,1.166155805005939,-0.214150863811345,-0.0767695074231324,0.0101383800116279,980000000.0,7882000000.0,-2094000000.0,,1684000000.0,5788000000.0,592000000.0,-1385000000.0,973000000.0,1018000000.0,-62000000.0,2844000000.0,167000000.0,2160000000.0,21000000.0,62000000.0,-62000000.0,115000000.0,831000000.0,-4092000000.0,72000000.0,4711000000.0,126000000.0,-647000000.0,,186000000.0,-63000000.0,618000000.0,-734000000.0,-6000000.0,1000000.0,-236000000.0,-301000000.0,-8000000.0,6000000.0,496000000.0,429000000.0,-5000000.0,-1334000000.0,-60000000.0,-11000000.0,76000000.0,-56000000.0
2020-11-03,16.469999313354492,16.6299991607666,15.960000038146973,16.09000015258789,13.507000923156738,748200,MCFE,0.9620881476866991,1.2673794899809132,1.491140686050959,1.1598423641651217,-0.1977542164784225,-0.0179344595985009,0.1062188505704921,980000000.0,7882000000.0,-2094000000.0,,1684000000.0,5788000000.0,592000000.0,-1385000000.0,973000000.0,1018000000.0,-62000000.0,2844000000.0,167000000.0,2160000000.0,21000000.0,62000000.0,-62000000.0,115000000.0,831000000.0,-4092000000.0,72000000.0,4711000000.0,126000000.0,-647000000.0,,186000000.0,-63000000.0,618000000.0,-734000000.0,-6000000.0,1000000.0,-236000000.0,-301000000.0,-8000000.0,6000000.0,496000000.0,429000000.0,-5000000.0,-1334000000.0,-60000000.0,-11000000.0,76000000.0,-56000000.0
2020-11-04,16.149999618530273,16.40999984741211,15.68000030517578,15.859999656677246,13.313922882080078,1090000,MCFE,0.9514502179696376,1.3180770823155925,1.5070324755419873,1.152631411002053,-0.2011811930324154,0.0354972228183934,0.1198249161260955,980000000.0,7882000000.0,-2094000000.0,,1684000000.0,5788000000.0,592000000.0,-1385000000.0,973000000.0,1018000000.0,-62000000.0,2844000000.0,167000000.0,2160000000.0,21000000.0,62000000.0,-62000000.0,115000000.0,831000000.0,-4092000000.0,72000000.0,4711000000.0,126000000.0,-647000000.0,,186000000.0,-63000000.0,618000000.0,-734000000.0,-6000000.0,1000000.0,-236000000.0,-301000000.0,-8000000.0,6000000.0,496000000.0,429000000.0,-5000000.0,-1334000000.0,-60000000.0,-11000000.0,76000000.0,-56000000.0
