Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2017-09-29,125.0,125.9000015258789,122.98999786376952,124.52999877929688,118.97599792480467,193000,VAC,1.0569339472793542,1.0924381807802817,1.0567474062199933,1.0206479989635429,0.0362859483158113,0.0021777920578356,-0.0325457927712096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-02,124.04000091552734,125.87999725341795,123.87999725341795,125.37999725341795,119.78807830810548,185200,VAC,1.046977354047354,1.0742322890149414,1.051348260283527,1.012478214064533,0.0344991399828209,-0.0144752667464582,-0.0377826181934068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-03,125.37000274658205,128.75,123.66000366210938,126.75,121.0969696044922,665000,VAC,1.0784221840875954,1.077498821540909,1.022841945608553,1.0113391723313174,0.0670830117562779,-0.0124645534639931,-0.0589586966120192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-04,126.75,128.35000610351562,126.1999969482422,126.8499984741211,121.19252014160156,287400,VAC,1.118249945577404,1.070165173995555,1.078022550407159,1.0126829906128405,0.1055669549645634,-0.0183185130260112,-0.011936816189505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-05,127.04000091552734,127.66000366210938,125.23999786376952,125.37000274658205,119.7785186767578,218500,VAC,1.1336044653338524,1.0799985477346254,1.095001213405938,1.0121464877707815,0.1214579775630708,-0.0028019279484872,-0.0029205353653212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-06,125.16999816894533,127.68000030517578,125.16999816894533,127.04000091552734,121.37405395507812,352900,VAC,1.107918414657603,1.076381033318792,1.0829029828886512,1.0081446760609294,0.0997737385966737,-0.0185621895082441,-0.0176700835471124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-09,126.26000213623048,127.48999786376952,126.26000213623048,126.8499984741211,121.19252014160156,315800,VAC,1.0882144641851474,1.0817098150664155,1.084763020283481,1.0143616235707735,0.0738528406143739,-0.0220056098862371,-0.0137191258932158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-10,127.16000366210938,127.76000213623048,124.8499984741211,125.69000244140624,120.0842514038086,284300,VAC,1.0629329701239854,1.0837927294977925,1.088291676522329,1.008797349947511,0.0541356201764744,-0.0090579466461531,-0.0010056361716266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-11,125.93000030517578,126.45999908447266,124.37000274658205,124.77999877929688,119.21482849121094,188300,VAC,1.0608271897254566,1.1020661695974958,1.0956641630603277,1.0091988628593096,0.051628326866147,0.0008339618547894,0.007567112867334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-12,124.08000183105467,125.6999969482422,122.06999969482422,124.72000122070312,119.15752410888672,204300,VAC,1.067831695235339,1.0928650937383049,1.1089346637884034,1.0112728774332036,0.0565588178021354,-0.0058198320850477,0.032899562823274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
