,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Investments,29640000.0,7231000.0,-6473000.0,-44263000.0
Change To Liabilities,-1961000.0,1272000.0,-79000.0,-223000.0
Total Cashflows From Investing Activities,26345000.0,3090000.0,-10226000.0,-49416000.0
Net Borrowings,-355000.0,-337000.0,-347000.0,-95000.0
Total Cash From Financing Activities,3173000.0,-2614000.0,2457000.0,-1651000.0
Change To Operating Activities,-5842000.0,5019000.0,-5686000.0,29435000.0
Issuance Of Stock,7666000.0,666000.0,6199000.0,3208000.0
Net Income,9231000.0,11836000.0,3648000.0,-8815000.0
Change In Cash,26645000.0,-14038000.0,-10445000.0,-54266000.0
Repurchase Of Stock,-3952000.0,-3036000.0,-1429000.0,-4764000.0
Effect Of Exchange Rate,437000.0,-146000.0,-593000.0,351000.0
Total Cash From Operating Activities,-3310000.0,-14368000.0,-2083000.0,-3550000.0
Depreciation,3551000.0,3471000.0,2458000.0,3343000.0
Change To Inventory,-9935000.0,-31608000.0,-17041000.0,-8005000.0
Change To Account Receivables,-9955000.0,-12943000.0,-852000.0,-14200000.0
Other Cashflows From Financing Activities,-186000.0,93000.0,-1966000.0,-1966000.0
Change To Netincome,11601000.0,8585000.0,14469000.0,-5085000.0
Capital Expenditures,-3295000.0,-3991000.0,-3753000.0,-4153000.0
Other Cashflows From Investing Activities,,-150000.0,-150000.0,-1000000.0
