,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Investments,-2124022000.0,50512000.0,-297913000.0,-368579000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-11878559000.0,-2634356000.0,-4289134000.0,-4341332000.0
Net Borrowings,-927898000.0,-1297856000.0,805000000.0,2041100000.0
Total Cash From Financing Activities,22532698000.0,2328509000.0,3619360000.0,3591835000.0
Change To Operating Activities,147090000.0,-111755000.0,32362000.0,-121791000.0
Net Income,528359000.0,586486000.0,506434000.0,387209000.0
Change In Cash,11558499000.0,472577000.0,-18211000.0,-203485000.0
Repurchase Of Stock,-59440000.0,-255049000.0,-62569000.0,-27828000.0
Total Cash From Operating Activities,904363000.0,778224000.0,651563000.0,546012000.0
Depreciation,45584000.0,42447000.0,14007000.0,12193000.0
Other Cashflows From Investing Activities,59661000.0,33538000.0,-36957000.0,-94671000.0
Dividends Paid,-120078000.0,-122777000.0,-62005000.0,-62005000.0
Other Cashflows From Financing Activities,22932096000.0,4004191000.0,2938934000.0,1578563000.0
Change To Netincome,313604000.0,266744000.0,123519000.0,282508000.0
Capital Expenditures,-35042000.0,-32937000.0,-11487000.0,-23066000.0
