Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Accounts Payable,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Total Cash From Operating Activities,Depreciation,Dividends Paid,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome
1997-08-15,25.74665260314941,26.13285255432129,25.36045265197754,25.74665260314941,10.177823066711426,6064769,SLG,0.9899995511712136,1.0364716960040463,1.0963726294648508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-08-18,25.617919921875,26.004119873046875,24.45932006835937,25.617919921875,10.126931190490724,667757,SLG,1.0100505167364056,1.0442083361702672,1.0865077098222526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-08-19,25.48918533325196,25.55355262756348,25.038619995117188,25.10298728942871,9.923377990722656,199541,SLG,1.0282053115416048,1.073368714907698,1.1114093852662883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-08-20,24.974252700805664,24.974252700805664,24.33058738708496,24.45932006835937,9.668931007385254,257024,SLG,1.0631582695417094,1.101615418840987,1.1218700711310594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-08-21,24.588054656982425,24.71678733825684,23.686920166015625,23.75128746032715,9.389047622680664,293630,SLG,1.0813003992837067,1.1126374156562688,1.1387288943873772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-08-22,23.30072021484375,24.201854705810547,23.171987533569336,24.201854705810547,9.56715202331543,353153,SLG,1.0558513125049465,1.0999531892607233,1.1229548461774783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-08-25,24.201854705810547,24.201854705810547,23.686920166015625,24.201854705810547,9.56715202331543,171284,SLG,1.0744685495828004,1.1026296550818062,1.0849806307607563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-08-26,24.26622009277344,24.652420043945312,24.201854705810547,24.33058738708496,9.618042945861816,284891,SLG,1.0793648228219257,1.107443951061595,1.0900323829386862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-08-27,24.45932006835937,24.45932006835937,24.201854705810547,24.201854705810547,9.56715202331543,30295,SLG,1.093085587296347,1.1133348205910634,1.1121052412278207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-08-28,24.201854705810547,24.394954681396484,24.201854705810547,24.394954681396484,9.643487930297852,84477,SLG,1.0923483449746982,1.109832148758941,1.1033020402633322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-08-29,24.394954681396484,24.71678733825684,24.26622009277344,24.588054656982425,9.719822883605955,134969,SLG,1.0837695508023817,1.0826760431959546,1.067938661140488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-09-02,24.5236873626709,25.10298728942871,24.5236873626709,25.10298728942871,9.923377990722656,130794,SLG,1.0820516930798345,1.0630478397019398,1.0538775191688636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-09-03,25.038619995117188,25.10298728942871,24.84552001953125,25.038619995117188,9.897934913635254,140407,SLG,1.1079693030086415,1.0761278564048786,1.0172597108877508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-09-04,24.84552001953125,25.231719970703125,24.84552001953125,25.231719970703125,9.974262237548828,74282,SLG,1.0765315469158327,1.0576246427400846,1.004271725208275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-09-05,25.1673526763916,25.231719970703125,24.84552001953125,25.10298728942871,9.923377990722656,63212,SLG,1.0717948230037126,1.073368714907698,1.0198813771597408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-09-08,24.909887313842773,24.974252700805664,24.909887313842773,24.974252700805664,9.87248706817627,105645,SLG,1.0824748482257578,1.0737146535088258,1.009367803661747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
