Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Long Term Debt,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Total Cash From Operating Activities,Depreciation,Dividends Paid,Change To Inventory,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2017-09-29,80.16999816894531,81.30000305175781,80.02999877929688,81.05000305175781,77.88125610351562,2485500,DG,1.0006019757736344,1.1769824448386432,1.1984931111244337,1.0206479989635429,-0.0200460231899084,0.0867220561161972,0.1091999121332307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-02,80.98999786376953,81.91999816894531,80.68000030517578,81.9000015258789,78.69805145263672,1920400,DG,0.9949944309857645,1.1724837473876917,1.1936925351554626,1.012478214064533,-0.0174837830787685,0.083776191626292,0.1045616566785287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-03,81.9000015258789,82.0999984741211,81.0199966430664,81.4000015258789,78.21761322021484,2056400,DG,1.0168809650356867,1.1634966127556403,1.1934634323627489,1.0113391723313174,0.0055417927043692,0.0735332377507382,0.1116627901421767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-04,81.54000091552734,82.37999725341797,81.13999938964844,81.29000091552734,78.11190795898438,1563600,DG,1.0103587671527767,1.166308436062137,1.204884236459938,1.0126829906128405,-0.0023242234600637,0.0778247490405705,0.1149248698632738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-05,81.29000091552734,81.98999786376953,81.29000091552734,81.4800033569336,78.29447174072266,1478700,DG,0.9933513365976716,1.1701323096684897,1.2367489351468344,1.0121464877707815,-0.0187951511731099,0.087331833985377,0.1388271863755752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-06,80.88999938964844,81.16000366210938,80.06999969482422,80.33000183105469,77.43653106689453,1968300,DG,1.0041078799786518,1.2256621609119662,1.254332392654369,1.0081446760609294,-0.0040367960822775,0.13071893808493,0.1537593262186054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-09,80.55000305175781,80.66000366210938,78.83000183105469,79.18000030517578,76.32795715332031,2392000,DG,1.019196742092375,1.2549875265606592,1.2575608793599815,1.0143616235707735,0.0048351185216015,0.1512721016080065,0.1590787331832845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-10,80.05000305175781,81.22000122070312,79.80000305175781,80.94000244140625,78.02455139160156,1907000,DG,1.0119842563201866,1.2195219947835274,1.1971618978072782,1.008797349947511,0.0031869063726757,0.1266713186395818,0.1078645851133226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-11,80.94000244140625,82.7699966430664,80.91000366210938,82.54000091552734,79.5669174194336,2988800,DG,1.0195057145966606,1.2209078631258334,1.182120041288734,1.0091988628593096,0.010306851737351,0.119675655383127,0.0940229910957404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-12,82.20999908447266,82.6500015258789,81.62999725341797,82.18000030517578,79.21988677978516,1888400,DG,1.0166709539135566,1.2327227722343188,1.184972825660381,1.0112728774332036,0.0053980764803529,0.1340378464109661,0.1089377246952516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
