Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Accounts Payable,Long Term Debt,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Total Cash From Operating Activities,Depreciation,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-08-14,42.0,44.5,37.5,40.0,40.0,13133500,DCT,1.0172499656677243,1.0109999656677244,1.2417499542236328,1.005359460743004,0.0118905049247204,-0.1175623466637476,-0.1203990056777728,112155000.0,,47370000.0,401867000.0,5027000.0,18730000.0,449237000.0,401867000.0,4745000.0,,5988000.0,252898000.0,,24424000.0,13879000.0,41382000.0,927000.0,10660000.0,49100000.0,36814000.0,30476000.0,1612000.0,,-2288000.0,-8594000.0,4000000.0,-901000.0,-2957000.0,872497000.0,-7802000.0,2338000.0,-462688000.0,11833000.0,19592000.0,2980000.0,-901000.0,2172000.0,-7138000.0
2020-08-17,39.060001373291016,42.40999984741211,38.5,38.84000015258789,38.84000015258789,1423600,DCT,1.049691047826816,1.0195674129389147,1.2229660096135475,0.999910744389532,0.0497803034372839,-0.0968778917834074,-0.1070578227674312,98756000.0,,78211000.0,389066000.0,9409000.0,28034000.0,467277000.0,389066000.0,4053000.0,,14321000.0,272455000.0,,20494000.0,11999000.0,59890000.0,860000.0,17058000.0,58514000.0,17855000.0,42462000.0,1362000.0,4000000.0,5189000.0,-19911000.0,4000000.0,3198000.0,7498000.0,872497000.0,-16896000.0,-1880000.0,-462688000.0,14833000.0,19992000.0,-1804000.0,-802000.0,718000.0,-5314000.0
2020-08-18,39.0,40.63999938964844,37.470001220703125,39.59000015258789,39.59000015258789,866900,DCT,1.0207122932978978,0.993937820723875,1.194746124141368,0.9949555639278014,0.0257567293700964,-0.1382549319238578,-0.1383034259909545,98756000.0,,78211000.0,389066000.0,9409000.0,28034000.0,467277000.0,389066000.0,4053000.0,,14321000.0,272455000.0,,20494000.0,11999000.0,59890000.0,860000.0,17058000.0,58514000.0,17855000.0,42462000.0,1362000.0,4000000.0,5189000.0,-19911000.0,4000000.0,3198000.0,7498000.0,872497000.0,-16896000.0,-1880000.0,-462688000.0,14833000.0,19992000.0,-1804000.0,-802000.0,718000.0,-5314000.0
2020-08-19,39.59999847412109,42.0,39.560001373291016,41.25,41.25,660400,DCT,0.9927272912227746,1.003151541045218,1.1990302808357007,0.9768858377185572,0.0158414535042172,-0.131230442013748,-0.1781040357027177,98756000.0,,78211000.0,389066000.0,9409000.0,28034000.0,467277000.0,389066000.0,4053000.0,,14321000.0,272455000.0,,20494000.0,11999000.0,59890000.0,860000.0,17058000.0,58514000.0,17855000.0,42462000.0,1362000.0,4000000.0,5189000.0,-19911000.0,4000000.0,3198000.0,7498000.0,872497000.0,-16896000.0,-1880000.0,-462688000.0,14833000.0,19992000.0,-1804000.0,-802000.0,718000.0,-5314000.0
2020-08-20,40.34999847412109,43.33000183105469,40.14500045776367,41.93000030517578,41.93000030517578,1436400,DCT,0.9780586220618508,1.0150250671006429,1.1810159813342762,0.9875636487882484,-0.0095050267263976,-0.1438482220740946,-0.1906684595358354,98756000.0,,78211000.0,389066000.0,9409000.0,28034000.0,467277000.0,389066000.0,4053000.0,,14321000.0,272455000.0,,20494000.0,11999000.0,59890000.0,860000.0,17058000.0,58514000.0,17855000.0,42462000.0,1362000.0,4000000.0,5189000.0,-19911000.0,4000000.0,3198000.0,7498000.0,872497000.0,-16896000.0,-1880000.0,-462688000.0,14833000.0,19992000.0,-1804000.0,-802000.0,718000.0,-5314000.0
2020-08-21,41.54999923706055,41.97999954223633,39.58000183105469,41.0,41.0,849400,DCT,1.0170731893399867,1.009999996278344,1.1400000409382145,0.9669804572148069,0.0500927321251798,-0.1725963463929762,-0.221517418515216,98756000.0,,78211000.0,389066000.0,9409000.0,28034000.0,467277000.0,389066000.0,4053000.0,,14321000.0,272455000.0,,20494000.0,11999000.0,59890000.0,860000.0,17058000.0,58514000.0,17855000.0,42462000.0,1362000.0,4000000.0,5189000.0,-19911000.0,4000000.0,3198000.0,7498000.0,872497000.0,-16896000.0,-1880000.0,-462688000.0,14833000.0,19992000.0,-1804000.0,-802000.0,718000.0,-5314000.0
2020-08-24,41.27000045776367,42.0,39.744998931884766,40.18000030517578,40.18000030517578,286500,DCT,1.0174216216431755,0.9895469890380146,1.1072673305265213,0.9519424952921356,0.0654791263510399,-0.1690711433792617,-0.2053621738462234,98756000.0,,78211000.0,389066000.0,9409000.0,28034000.0,467277000.0,389066000.0,4053000.0,,14321000.0,272455000.0,,20494000.0,11999000.0,59890000.0,860000.0,17058000.0,58514000.0,17855000.0,42462000.0,1362000.0,4000000.0,5189000.0,-19911000.0,4000000.0,3198000.0,7498000.0,872497000.0,-16896000.0,-1880000.0,-462688000.0,14833000.0,19992000.0,-1804000.0,-802000.0,718000.0,-5314000.0
2020-08-25,39.7599983215332,40.5,39.560001373291016,40.16999816894531,40.16999816894531,285900,DCT,1.0510331875828325,1.0074683362069392,1.0823998387893858,0.9667641278619096,0.0842690597209228,-0.1550528622497187,-0.2567360930402378,98756000.0,,78211000.0,389066000.0,9409000.0,28034000.0,467277000.0,389066000.0,4053000.0,,14321000.0,272455000.0,,20494000.0,11999000.0,59890000.0,860000.0,17058000.0,58514000.0,17855000.0,42462000.0,1362000.0,4000000.0,5189000.0,-19911000.0,4000000.0,3198000.0,7498000.0,872497000.0,-16896000.0,-1880000.0,-462688000.0,14833000.0,19992000.0,-1804000.0,-802000.0,718000.0,-5314000.0
2020-08-26,40.18000030517578,41.91999816894531,39.77999877929688,41.36000061035156,41.36000061035156,316200,DCT,1.0662475295777378,0.9613152256961546,1.021518360167183,0.9868389913626016,0.0794085382151362,-0.1904509011780168,-0.336726697551263,98756000.0,,78211000.0,389066000.0,9409000.0,28034000.0,467277000.0,389066000.0,4053000.0,,14321000.0,272455000.0,,20494000.0,11999000.0,59890000.0,860000.0,17058000.0,58514000.0,17855000.0,42462000.0,1362000.0,4000000.0,5189000.0,-19911000.0,4000000.0,3198000.0,7498000.0,872497000.0,-16896000.0,-1880000.0,-462688000.0,14833000.0,19992000.0,-1804000.0,-802000.0,718000.0,-5314000.0
2020-08-27,40.90999984741211,41.540000915527344,40.130001068115234,40.27000045776367,40.27000045776367,197500,DCT,1.080705238715075,0.987087150438226,1.1241619057155,0.97477619582067,0.1059290428944051,-0.166149951280338,-0.2444622617423826,98756000.0,,78211000.0,389066000.0,9409000.0,28034000.0,467277000.0,389066000.0,4053000.0,,14321000.0,272455000.0,,20494000.0,11999000.0,59890000.0,860000.0,17058000.0,58514000.0,17855000.0,42462000.0,1362000.0,4000000.0,5189000.0,-19911000.0,4000000.0,3198000.0,7498000.0,872497000.0,-16896000.0,-1880000.0,-462688000.0,14833000.0,19992000.0,-1804000.0,-802000.0,718000.0,-5314000.0
