Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2017-09-29,42.52999877929688,42.77000045776367,42.18000030517578,42.59000015258789,39.23474884033203,1026800,FLS,1.0347497956763705,1.0240802422598632,1.096002354461586,1.0206479989635429,0.0141017967128276,-0.0661801464625828,0.006709155470383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-02,42.52000045776367,42.630001068115234,41.77999877929688,42.08000183105469,38.764923095703125,2008700,FLS,1.0453895259905734,1.0360146908204613,1.1008927186716932,1.012478214064533,0.0329113119260404,-0.0526928649409383,0.0117618401947594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-03,42.119998931884766,42.68999862670898,41.91999816894531,42.68000030517578,39.317649841308594,1548800,FLS,0.91705719845936,1.0289819835011274,1.079742513888288,1.0113391723313174,-0.0942819738719574,-0.0609813915037746,-0.0020581283322842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-04,42.79999923706055,43.59000015258789,42.7400016784668,43.060001373291016,39.66772079467773,1855600,FLS,0.9115188454660726,1.010103229696533,1.0770092862971223,1.0126829906128405,-0.1011641451467678,-0.0783804573250332,-0.0129500802995417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-05,43.09000015258789,43.41999816894531,42.93999862670898,43.209999084472656,39.8058967590332,1547200,FLS,0.9259431615724842,0.9873018148656664,1.0800429176117743,1.0121464877707815,-0.0862033261982972,-0.0954986608174462,-0.0178788311594848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-06,43.060001373291016,43.34000015258789,42.970001220703125,43.31999969482422,39.90723419189453,1324000,FLS,0.912742430728001,1.0079828383123477,1.0896455765849489,1.0081446760609294,-0.0954022453329284,-0.0869603845146884,-0.0109274898508147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-09,43.25,43.31999969482422,43.04999923706055,43.209999084472656,39.8058967590332,838500,FLS,0.9004860335200885,1.0228695556258114,1.1125026198200516,1.0143616235707735,-0.113875590050685,-0.0808458693268412,0.0140204736433546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-10,43.40999984741211,43.630001068115234,43.29999923706055,43.540000915527344,40.10990905761719,990400,FLS,0.8957279478422897,1.0393414016281404,1.0964227550108554,1.008797349947511,-0.1130694021052212,-0.0535092745158052,0.0071254423168998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-11,43.5099983215332,43.72999954223633,43.08000183105469,43.720001220703125,40.275726318359375,847800,FLS,0.8950137525525571,0.9966925679387462,1.0824460790070884,1.0091988628593096,-0.1141851103067524,-0.1045396398039602,-0.0056509711859051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-12,43.45000076293945,44.150001525878906,43.41999816894531,44.06999969482422,40.59814834594727,1774300,FLS,0.8933515156737178,1.010430854002152,1.0443126424175533,1.0112728774332036,-0.1179213617594857,-0.0882540718212006,-0.0317224585475761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
