Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Other Current Assets,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2019-09-18,25.64999961853028,28.920000076293945,25.64999961853028,27.950000762939453,27.950000762939453,10112600,NVST,1.029338092037246,1.0125223064245914,0.5313059025443826,0.9867204398181848,0.0426176522190611,-0.0566748260683125,-0.2571763219061879,1390300000.0,,1015200000.0,4823100000.0,3300000.0,238000000.0,5841600000.0,4901300000.0,,374200000.0,3325500000.0,-78200000.0,77400000.0,,641000000.0,,-78200000.0,261600000.0,786800000.0,107300000.0,459800000.0,,278700000.0,217400000.0,,-2100000.0,-75500000.0,1318000000.0,-324600000.0,40500000.0,643400000.0,230700000.0,211200000.0,-200000.0,400100000.0,130000000.0,-3300000.0,-8900000.0,-8500000.0,-324600000.0,18400000.0,-72200000.0
2019-09-19,27.799999237060547,28.795000076293945,27.049999237060547,28.0,28.0,1981300,NVST,1.0282143184116908,1.056785719735282,0.538928576878139,0.995011450677082,0.0332028677346087,-0.0143046165656222,-0.268727062249529,1390300000.0,,1015200000.0,4823100000.0,3300000.0,238000000.0,5841600000.0,4901300000.0,,374200000.0,3325500000.0,-78200000.0,77400000.0,,641000000.0,,-78200000.0,261600000.0,786800000.0,107300000.0,459800000.0,,278700000.0,217400000.0,,-2100000.0,-75500000.0,1318000000.0,-324600000.0,40500000.0,643400000.0,230700000.0,211200000.0,-200000.0,400100000.0,130000000.0,-3300000.0,-8900000.0,-8500000.0,-324600000.0,18400000.0,-72200000.0
2019-09-20,28.86000061035156,29.209999084472656,28.136999130249023,28.770000457763672,28.770000457763672,1164000,NVST,0.9815780090993192,1.0448383381179476,0.5192909052023215,0.9960398818346244,-0.014461872735305,-0.0307596369435982,-0.2780076945108947,1390300000.0,,1015200000.0,4823100000.0,3300000.0,238000000.0,5841600000.0,4901300000.0,,374200000.0,3325500000.0,-78200000.0,77400000.0,,641000000.0,,-78200000.0,261600000.0,786800000.0,107300000.0,459800000.0,,278700000.0,217400000.0,,-2100000.0,-75500000.0,1318000000.0,-324600000.0,40500000.0,643400000.0,230700000.0,211200000.0,-200000.0,400100000.0,130000000.0,-3300000.0,-8900000.0,-8500000.0,-324600000.0,18400000.0,-72200000.0
2019-09-23,29.07999992370605,29.07999992370605,27.51000022888184,28.5,28.5,1313900,NVST,1.022456118935033,1.0382456193890488,0.5028070148668792,0.9976146190139424,0.0248414999210904,-0.0389112809623219,-0.2520937377297071,1390300000.0,,1015200000.0,4823100000.0,3300000.0,238000000.0,5841600000.0,4901300000.0,,374200000.0,3325500000.0,-78200000.0,77400000.0,,641000000.0,,-78200000.0,261600000.0,786800000.0,107300000.0,459800000.0,,278700000.0,217400000.0,,-2100000.0,-75500000.0,1318000000.0,-324600000.0,40500000.0,643400000.0,230700000.0,211200000.0,-200000.0,400100000.0,130000000.0,-3300000.0,-8900000.0,-8500000.0,-324600000.0,18400000.0,-72200000.0
2019-09-24,28.43400001525879,29.0,28.06999969482422,28.21999931335449,28.21999931335449,2590900,NVST,0.998228233937735,1.0634302253395262,0.5046066661092865,1.0119348901247942,-0.0137066561870592,-0.0248931917326704,-0.26762469814474,1390300000.0,,1015200000.0,4823100000.0,3300000.0,238000000.0,5841600000.0,4901300000.0,,374200000.0,3325500000.0,-78200000.0,77400000.0,,641000000.0,,-78200000.0,261600000.0,786800000.0,107300000.0,459800000.0,,278700000.0,217400000.0,,-2100000.0,-75500000.0,1318000000.0,-324600000.0,40500000.0,643400000.0,230700000.0,211200000.0,-200000.0,400100000.0,130000000.0,-3300000.0,-8900000.0,-8500000.0,-324600000.0,18400000.0,-72200000.0
2019-09-25,28.6299991607666,28.6299991607666,27.270000457763672,27.739999771118164,27.739999771118164,868400,NVST,1.0169430179247456,1.0555155345433973,0.4679163536169388,1.0097773436008184,0.0071656743239272,-0.0208774731628189,-0.2832728987682829,1390300000.0,,1015200000.0,4823100000.0,3300000.0,238000000.0,5841600000.0,4901300000.0,,374200000.0,3325500000.0,-78200000.0,77400000.0,,641000000.0,,-78200000.0,261600000.0,786800000.0,107300000.0,459800000.0,,278700000.0,217400000.0,,-2100000.0,-75500000.0,1318000000.0,-324600000.0,40500000.0,643400000.0,230700000.0,211200000.0,-200000.0,400100000.0,130000000.0,-3300000.0,-8900000.0,-8500000.0,-324600000.0,18400000.0,-72200000.0
2019-09-26,27.86000061035156,28.1299991607666,27.26000022888184,27.68000030517578,27.68000030517578,717100,NVST,1.0455202389808584,1.0708092146988224,0.5173410237335357,1.0188342190622592,0.0266860199185992,-0.0149371001264517,-0.2979326140134839,1390300000.0,,1015200000.0,4823100000.0,3300000.0,238000000.0,5841600000.0,4901300000.0,,374200000.0,3325500000.0,-78200000.0,77400000.0,,641000000.0,,-78200000.0,261600000.0,786800000.0,107300000.0,459800000.0,,278700000.0,217400000.0,,-2100000.0,-75500000.0,1318000000.0,-324600000.0,40500000.0,643400000.0,230700000.0,211200000.0,-200000.0,400100000.0,130000000.0,-3300000.0,-8900000.0,-8500000.0,-324600000.0,18400000.0,-72200000.0
2019-09-27,27.850000381469727,27.92099952697754,26.5,26.59000015258789,26.59000015258789,974800,NVST,1.153441139537149,1.1346370779677348,0.5660022604125525,1.0279220586600373,0.1255190808771118,0.0366429721709249,-0.2609189430524863,1390300000.0,,1015200000.0,4823100000.0,3300000.0,238000000.0,5841600000.0,4901300000.0,,374200000.0,3325500000.0,-78200000.0,77400000.0,,641000000.0,,-78200000.0,261600000.0,786800000.0,107300000.0,459800000.0,,278700000.0,217400000.0,,-2100000.0,-75500000.0,1318000000.0,-324600000.0,40500000.0,643400000.0,230700000.0,211200000.0,-200000.0,400100000.0,130000000.0,-3300000.0,-8900000.0,-8500000.0,-324600000.0,18400000.0,-72200000.0
2019-09-30,26.43000030517578,28.0,26.43000030517578,27.8799991607666,27.8799991607666,340300,NVST,1.081779080174937,1.0928981431331102,0.5882352981419291,1.0229391089257944,0.0588399712491425,0.0064336580822113,-0.2711719301048907,1390300000.0,,1015200000.0,4823100000.0,3300000.0,238000000.0,5841600000.0,4901300000.0,,374200000.0,3325500000.0,-78200000.0,77400000.0,,641000000.0,,-78200000.0,261600000.0,786800000.0,107300000.0,459800000.0,,278700000.0,217400000.0,,-2100000.0,-75500000.0,1318000000.0,-324600000.0,40500000.0,643400000.0,230700000.0,211200000.0,-200000.0,400100000.0,130000000.0,-3300000.0,-8900000.0,-8500000.0,-324600000.0,18400000.0,-72200000.0
2019-10-01,27.93000030517578,27.93000030517578,26.34000015258789,26.90999984741211,26.90999984741211,1662900,NVST,1.0899293976222997,1.150501644742671,0.6518023416939609,1.0331074467465924,0.0568219508757072,0.0439049061060101,-0.2450307143736482,1390300000.0,,1015200000.0,4823100000.0,3300000.0,238000000.0,5841600000.0,4901300000.0,,374200000.0,3325500000.0,-78200000.0,77400000.0,,641000000.0,,-78200000.0,261600000.0,786800000.0,107300000.0,459800000.0,,278700000.0,217400000.0,,-2100000.0,-75500000.0,1318000000.0,-324600000.0,40500000.0,643400000.0,230700000.0,211200000.0,-200000.0,400100000.0,130000000.0,-3300000.0,-8900000.0,-8500000.0,-324600000.0,18400000.0,-72200000.0
