,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Change To Liabilities,2423000000.0,1447000000.0,2203000000.0,857000000.0
Total Cashflows From Investing Activities,-3132000000.0,-1436000000.0,-2337000000.0,-4196000000.0
Net Borrowings,-2488000000.0,798000000.0,89000000.0,3385000000.0
Total Cash From Financing Activities,9973000000.0,1529000000.0,574000000.0,4415000000.0
Change To Operating Activities,-1165000000.0,-1000000000.0,-625000000.0,-1150000000.0
Issuance Of Stock,12686000000.0,1111000000.0,296000000.0,659000000.0
Net Income,721000000.0,-862000000.0,-976000000.0,-1962000000.0
Change In Cash,13118000000.0,2506000000.0,312000000.0,198000000.0
Effect Of Exchange Rate,334000000.0,8000000.0,-23000000.0,40000000.0
Total Cash From Operating Activities,5943000000.0,2405000000.0,2098000000.0,-61000000.0
Depreciation,2322000000.0,2092000000.0,1888000000.0,1636000000.0
Other Cashflows From Investing Activities,123000000.0,46000000.0,46000000.0,46000000.0
Change To Inventory,-422000000.0,-429000000.0,-1023000000.0,-179000000.0
Change To Account Receivables,-652000000.0,-367000000.0,-497000000.0,-25000000.0
Other Cashflows From Financing Activities,-225000000.0,-380000000.0,189000000.0,371000000.0
Change To Netincome,2536000000.0,1336000000.0,969000000.0,671000000.0
Capital Expenditures,-3232000000.0,-1432000000.0,-2319000000.0,-4081000000.0
