,2020-12-31,2019-12-31,2018-12-31
Change To Liabilities,69158000.0,38136000.0,32163000.0
Total Cashflows From Investing Activities,-6876000.0,-47363000.0,-5802000.0
Net Borrowings,-205000000.0,30000000.0,30000000.0
Total Cash From Financing Activities,115964000.0,28652000.0,1770000.0
Change To Operating Activities,-21309000.0,-15303000.0,-9851000.0
Issuance Of Stock,331534000.0,923000.0,1770000.0
Net Income,-22771000.0,-32600000.0,-36256000.0
Change In Cash,162435000.0,-6807000.0,5328000.0
Effect Of Exchange Rate,604000.0,604000.0,604000.0
Total Cash From Operating Activities,52743000.0,11904000.0,9360000.0
Depreciation,38168000.0,36807000.0,33914000.0
Change To Account Receivables,-23170000.0,-14741000.0,-3353000.0
Other Cashflows From Financing Activities,-10570000.0,-2271000.0,-2271000.0
Change To Netincome,3013000.0,-8324000.0,-10184000.0
Capital Expenditures,-4368000.0,-7190000.0,-2909000.0
