Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Other Assets,Cash,Total Current Liabilities,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Accounts Payable,Long Term Debt,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-07-22,46.0,51.0,35.849998474121094,39.20000076293945,39.20000076293945,22417500,JAMF,1.0237244971192712,0.8423469340587746,0.942091826184101,1.0249122036135947,-0.0011877064943235,-0.2534490741356057,-0.4038226528915641,235099000.0,568756000.0,400930000.0,503878000.0,16234000.0,120908000.0,904808000.0,103000.0,8686000.0,-64981000.0,48092000.0,539818000.0,18833000.0,32433000.0,151519000.0,12477000.0,98581000.0,-271039000.0,46527000.0,3684000.0,201319000.0,38136000.0,-47363000.0,30000000.0,28652000.0,-15303000.0,923000.0,-32600000.0,-6807000.0,604000.0,11904000.0,36807000.0,-14741000.0,-2271000.0,-8324000.0,-7190000.0
2020-07-23,41.47999954223633,43.25,39.25,39.880001068115234,39.880001068115234,5533000,JAMF,0.9816950972245592,0.8011534580545446,0.9591273564579104,1.042919681119605,-0.0612245838950461,-0.2717551567866488,-0.3880896761067747,235099000.0,568756000.0,400930000.0,503878000.0,16234000.0,120908000.0,904808000.0,103000.0,8686000.0,-64981000.0,48092000.0,539818000.0,18833000.0,32433000.0,151519000.0,12477000.0,98581000.0,-271039000.0,46527000.0,3684000.0,201319000.0,38136000.0,-47363000.0,30000000.0,28652000.0,-15303000.0,923000.0,-32600000.0,-6807000.0,604000.0,11904000.0,36807000.0,-14741000.0,-2271000.0,-8324000.0,-7190000.0
2020-07-24,38.5,40.400001525878906,36.75,39.70000076293945,39.70000076293945,1272900,JAMF,0.9707808608282198,0.8488665016449801,0.9478589507545654,1.0525520783774,-0.0817712175491802,-0.222256740181483,-0.3989384071531756,235099000.0,568756000.0,400930000.0,503878000.0,16234000.0,120908000.0,904808000.0,103000.0,8686000.0,-64981000.0,48092000.0,539818000.0,18833000.0,32433000.0,151519000.0,12477000.0,98581000.0,-271039000.0,46527000.0,3684000.0,201319000.0,38136000.0,-47363000.0,30000000.0,28652000.0,-15303000.0,923000.0,-32600000.0,-6807000.0,604000.0,11904000.0,36807000.0,-14741000.0,-2271000.0,-8324000.0,-7190000.0
2020-07-27,39.81999969482422,42.5,39.5,40.290000915527344,40.290000915527344,1255900,JAMF,0.97617277084492,0.8314718103441257,0.9466368459413383,1.045546571033957,-0.0693738001890372,-0.2015994456339511,-0.3997279301431029,235099000.0,568756000.0,400930000.0,503878000.0,16234000.0,120908000.0,904808000.0,103000.0,8686000.0,-64981000.0,48092000.0,539818000.0,18833000.0,32433000.0,151519000.0,12477000.0,98581000.0,-271039000.0,46527000.0,3684000.0,201319000.0,38136000.0,-47363000.0,30000000.0,28652000.0,-15303000.0,923000.0,-32600000.0,-6807000.0,604000.0,11904000.0,36807000.0,-14741000.0,-2271000.0,-8324000.0,-7190000.0
2020-07-28,40.68000030517578,42.400001525878906,39.5,40.5,40.5,2372500,JAMF,0.9333333144953222,0.8254321063006366,0.9533333484037424,1.059971727560168,-0.1266384130648457,-0.2269073044164847,-0.4140912884930311,235099000.0,568756000.0,400930000.0,503878000.0,16234000.0,120908000.0,904808000.0,103000.0,8686000.0,-64981000.0,48092000.0,539818000.0,18833000.0,32433000.0,151519000.0,12477000.0,98581000.0,-271039000.0,46527000.0,3684000.0,201319000.0,38136000.0,-47363000.0,30000000.0,28652000.0,-15303000.0,923000.0,-32600000.0,-6807000.0,604000.0,11904000.0,36807000.0,-14741000.0,-2271000.0,-8324000.0,-7190000.0
2020-07-29,40.0,41.0,40.0,40.29999923706055,40.29999923706055,545800,JAMF,0.9317617853086444,0.8089329799327042,0.9789082260493092,1.0491737417135036,-0.1174119564048592,-0.2151285870354163,-0.3761998765941106,235099000.0,568756000.0,400930000.0,503878000.0,16234000.0,120908000.0,904808000.0,103000.0,8686000.0,-64981000.0,48092000.0,539818000.0,18833000.0,32433000.0,151519000.0,12477000.0,98581000.0,-271039000.0,46527000.0,3684000.0,201319000.0,38136000.0,-47363000.0,30000000.0,28652000.0,-15303000.0,923000.0,-32600000.0,-6807000.0,604000.0,11904000.0,36807000.0,-14741000.0,-2271000.0,-8324000.0,-7190000.0
2020-07-30,39.79999923706055,41.470001220703125,38.9900016784668,41.27999877929688,41.27999877929688,586900,JAMF,0.9350775100671782,0.7960271701081495,0.949127942436512,1.0469317050835845,-0.1118541950164062,-0.253608565688726,-0.4328319667623721,235099000.0,568756000.0,400930000.0,503878000.0,16234000.0,120908000.0,904808000.0,103000.0,8686000.0,-64981000.0,48092000.0,539818000.0,18833000.0,32433000.0,151519000.0,12477000.0,98581000.0,-271039000.0,46527000.0,3684000.0,201319000.0,38136000.0,-47363000.0,30000000.0,28652000.0,-15303000.0,923000.0,-32600000.0,-6807000.0,604000.0,11904000.0,36807000.0,-14741000.0,-2271000.0,-8324000.0,-7190000.0
2020-07-31,42.400001525878906,42.87300109863281,40.02000045776367,40.59999847412109,40.59999847412109,522800,JAMF,1.0142857599224886,0.8394089436426377,0.9682266711992038,1.0584584032817186,-0.0441726433592299,-0.2372497026360223,-0.4189668645220163,235099000.0,568756000.0,400930000.0,503878000.0,16234000.0,120908000.0,904808000.0,103000.0,8686000.0,-64981000.0,48092000.0,539818000.0,18833000.0,32433000.0,151519000.0,12477000.0,98581000.0,-271039000.0,46527000.0,3684000.0,201319000.0,38136000.0,-47363000.0,30000000.0,28652000.0,-15303000.0,923000.0,-32600000.0,-6807000.0,604000.0,11904000.0,36807000.0,-14741000.0,-2271000.0,-8324000.0,-7190000.0
2020-08-03,40.290000915527344,40.66299819946289,37.650001525878906,38.130001068115234,38.130001068115234,1013000,JAMF,1.0097036171392653,0.927878313061481,1.022816651128087,1.0645312650354448,-0.0548276478961795,-0.1443265548401603,-0.3531701698168266,235099000.0,568756000.0,400930000.0,503878000.0,16234000.0,120908000.0,904808000.0,103000.0,8686000.0,-64981000.0,48092000.0,539818000.0,18833000.0,32433000.0,151519000.0,12477000.0,98581000.0,-271039000.0,46527000.0,3684000.0,201319000.0,38136000.0,-47363000.0,30000000.0,28652000.0,-15303000.0,923000.0,-32600000.0,-6807000.0,604000.0,11904000.0,36807000.0,-14741000.0,-2271000.0,-8324000.0,-7190000.0
2020-08-04,37.900001525878906,38.9900016784668,37.845001220703125,38.88999938964844,38.88999938964844,666300,JAMF,0.9922859541843964,0.9346875557883544,1.0141424336768423,1.02982774469698,-0.0375417905125835,-0.1585557417272382,-0.3584048144442644,235099000.0,568756000.0,400930000.0,503878000.0,16234000.0,120908000.0,904808000.0,103000.0,8686000.0,-64981000.0,48092000.0,539818000.0,18833000.0,32433000.0,151519000.0,12477000.0,98581000.0,-271039000.0,46527000.0,3684000.0,201319000.0,38136000.0,-47363000.0,30000000.0,28652000.0,-15303000.0,923000.0,-32600000.0,-6807000.0,604000.0,11904000.0,36807000.0,-14741000.0,-2271000.0,-8324000.0,-7190000.0
