Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Long Term Debt,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Total Cash From Operating Activities,Depreciation,Dividends Paid,Other Cashflows From Financing Activities,Change To Netincome,Other Cashflows From Investing Activities
2017-09-29,105.75,106.87999725341795,105.62999725341795,106.87999725341795,92.89716339111328,537800,MAA,0.9653351283079136,0.9109141205351384,0.8789018789661847,1.0206479989635429,-0.0553128706556292,-0.1793462681873076,-0.2103913200250182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-02,107.08999633789062,107.4000015258789,106.62000274658205,107.1999969482422,93.17530059814452,647200,MAA,0.9696001849881678,0.9041516955379058,0.867481590639494,1.012478214064533,-0.0428780290763651,-0.1845558602234939,-0.2216492878374397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-03,107.2699966430664,107.4800033569336,106.43000030517578,107.18000030517578,93.15792083740234,541500,MAA,0.9609400023504564,0.9074240432025336,0.8779097645899252,1.0113391723313174,-0.050399169980861,-0.1825393318023684,-0.2038908776306469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-04,107.16000366210938,107.98999786376952,106.83999633789062,107.87999725341795,93.7663345336914,422500,MAA,0.9661050267852908,0.8877999853703875,0.8740245535018679,1.0126829906128405,-0.0465779638275497,-0.2006837016511788,-0.2159348130947961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-05,108.18000030517578,109.05999755859376,107.88999938964844,108.26000213623048,94.0966339111328,516900,MAA,0.971000939397738,0.8744410518595228,0.8800754923567923,1.0121464877707815,-0.0411455483730435,-0.2083594238235898,-0.2178462564144668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-06,107.8499984741211,108.16999816894533,106.80999755859376,107.93000030517578,93.80979919433594,356800,MAA,0.9809747005450136,0.8684649228462509,0.8765731949298616,1.0081446760609294,-0.0271699755159158,-0.2264782999807852,-0.2239998715059019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-09,107.81999969482422,108.66000366210938,107.81999969482422,108.33999633789062,94.16615295410156,525600,MAA,0.982659331389164,0.8581307292676892,0.8574994170570642,1.0143616235707735,-0.0317022921816095,-0.2455846956849634,-0.2409827291196327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-10,108.66000366210938,109.3000030517578,107.7699966430664,108.5199966430664,94.3226089477539,899400,MAA,0.9810293622457172,0.8649628048994047,0.8491595077688334,1.008797349947511,-0.0277679877017936,-0.2278878712445409,-0.2401378049251221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-11,108.5,109.19000244140624,108.4000015258789,108.8000030517578,94.56598663330078,505600,MAA,0.9772074165993208,0.8690061995394416,0.8489587657169817,1.0091988628593096,-0.0319914462599888,-0.2322260082032647,-0.2391382844760119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-12,108.0,108.66999816894533,107.51000213623048,108.66000366210938,95.2055892944336,566300,MAA,0.975796044920071,0.8508064926502873,0.8437250351336232,1.0112728774332036,-0.0354768325131326,-0.2478784331730653,-0.2323100658315062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
