Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Accounts Payable,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Dividends Paid,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2019-04-04,34.2599983215332,36.25,33.68000030517578,35.810001373291016,35.33981704711914,32661800,TW,1.0960623247472696,1.3395479182536585,1.128706004595579,1.0063768150467909,0.0896855097004787,0.2952405076342539,0.0919188560590971,1551430000.0,,424805000.0,4572334000.0,,500000.0,4997139000.0,4573200000.0,12627000.0,,61689000.0,2694797000.0,-866000.0,25027000.0,410104000.0,363116000.0,,-866000.0,38128000.0,687757000.0,,326107000.0,265026000.0,213262000.0,-20000000.0,7640000.0,-42096000.0,-175350000.0,27501000.0,1971224000.0,159467000.0,57506000.0,-175350000.0,-2432000.0,277384000.0,56792000.0,-35936000.0,-23724000.0,-53289000.0,24672000.0,-15417000.0
2019-04-05,35.400001525878906,36.79999923706055,34.91999816894531,36.58000183105469,36.099708557128906,4490500,TW,1.0904864063592046,1.3510640343845428,1.0950691522490728,0.9978526240736147,0.0926337822855897,0.3131848464722042,0.0672618451291569,1551430000.0,,424805000.0,4572334000.0,,500000.0,4997139000.0,4573200000.0,12627000.0,,61689000.0,2694797000.0,-866000.0,25027000.0,410104000.0,363116000.0,,-866000.0,38128000.0,687757000.0,,326107000.0,265026000.0,213262000.0,-20000000.0,7640000.0,-42096000.0,-175350000.0,27501000.0,1971224000.0,159467000.0,57506000.0,-175350000.0,-2432000.0,277384000.0,56792000.0,-35936000.0,-23724000.0,-53289000.0,24672000.0,-15417000.0
2019-04-08,37.0,39.40999984741211,36.59000015258789,39.220001220703125,38.705039978027344,3526100,TW,1.0474248035785283,1.2325321935280014,1.0213573547149333,0.9970067760311296,0.0504180275473985,0.1871201115790528,-0.0152792506970558,1551430000.0,,424805000.0,4572334000.0,,500000.0,4997139000.0,4573200000.0,12627000.0,,61689000.0,2694797000.0,-866000.0,25027000.0,410104000.0,363116000.0,,-866000.0,38128000.0,687757000.0,,326107000.0,265026000.0,213262000.0,-20000000.0,7640000.0,-42096000.0,-175350000.0,27501000.0,1971224000.0,159467000.0,57506000.0,-175350000.0,-2432000.0,277384000.0,56792000.0,-35936000.0,-23724000.0,-53289000.0,24672000.0,-15417000.0
2019-04-09,39.31999969482422,40.0,37.65999984741211,38.59999847412109,38.09317779541016,2905600,TW,1.1139895480606752,1.230008057362492,1.0991286912804434,1.0096366937147183,0.1043528543459568,0.1772615290194741,0.0571794356421355,1551430000.0,,424805000.0,4572334000.0,,500000.0,4997139000.0,4573200000.0,12627000.0,,61689000.0,2694797000.0,-866000.0,25027000.0,410104000.0,363116000.0,,-866000.0,38128000.0,687757000.0,,326107000.0,265026000.0,213262000.0,-20000000.0,7640000.0,-42096000.0,-175350000.0,27501000.0,1971224000.0,159467000.0,57506000.0,-175350000.0,-2432000.0,277384000.0,56792000.0,-35936000.0,-23724000.0,-53289000.0,24672000.0,-15417000.0
2019-04-10,38.959999084472656,40.97999954223633,38.61000061035156,40.2599983215332,39.73138427734375,4579900,TW,1.0675607065882795,1.1902417241331635,1.0782412947666442,0.9747325358921805,0.0928281706960991,0.1464787401558385,0.0381784471695307,1551430000.0,,424805000.0,4572334000.0,,500000.0,4997139000.0,4573200000.0,12627000.0,,61689000.0,2694797000.0,-866000.0,25027000.0,410104000.0,363116000.0,,-866000.0,38128000.0,687757000.0,,326107000.0,265026000.0,213262000.0,-20000000.0,7640000.0,-42096000.0,-175350000.0,27501000.0,1971224000.0,159467000.0,57506000.0,-175350000.0,-2432000.0,277384000.0,56792000.0,-35936000.0,-23724000.0,-53289000.0,24672000.0,-15417000.0
2019-04-11,41.16999816894531,42.97999954223633,40.380001068115234,42.060001373291016,41.50774765014648,2523800,TW,1.0325725367146628,1.1528815301745512,0.990335729036844,0.9836252853453008,0.048947251369362,0.1179527683890364,-0.0455249928798,1551430000.0,,424805000.0,4572334000.0,,500000.0,4997139000.0,4573200000.0,12627000.0,,61689000.0,2694797000.0,-866000.0,25027000.0,410104000.0,363116000.0,,-866000.0,38128000.0,687757000.0,,326107000.0,265026000.0,213262000.0,-20000000.0,7640000.0,-42096000.0,-175350000.0,27501000.0,1971224000.0,159467000.0,57506000.0,-175350000.0,-2432000.0,277384000.0,56792000.0,-35936000.0,-23724000.0,-53289000.0,24672000.0,-15417000.0
2019-04-12,43.130001068115234,43.31399917602539,41.0099983215332,41.869998931884766,41.32024383544922,1700300,TW,1.0143300491310168,1.1894587020836875,1.0226369373147015,0.9813274551009966,0.0330025940300201,0.1570871392778352,-0.013129196104038,1551430000.0,,424805000.0,4572334000.0,,500000.0,4997139000.0,4573200000.0,12627000.0,,61689000.0,2694797000.0,-866000.0,25027000.0,410104000.0,363116000.0,,-866000.0,38128000.0,687757000.0,,326107000.0,265026000.0,213262000.0,-20000000.0,7640000.0,-42096000.0,-175350000.0,27501000.0,1971224000.0,159467000.0,57506000.0,-175350000.0,-2432000.0,277384000.0,56792000.0,-35936000.0,-23724000.0,-53289000.0,24672000.0,-15417000.0
2019-04-15,41.84999847412109,44.25,41.5099983215332,42.33000183105469,41.774200439453125,1609900,TW,1.0396882216330852,1.1715625700858454,0.9942148814668004,0.9921070743335896,0.0475811472994956,0.1423318716226558,-0.0400873529595564,1551430000.0,,424805000.0,4572334000.0,,500000.0,4997139000.0,4573200000.0,12627000.0,,61689000.0,2694797000.0,-866000.0,25027000.0,410104000.0,363116000.0,,-866000.0,38128000.0,687757000.0,,326107000.0,265026000.0,213262000.0,-20000000.0,7640000.0,-42096000.0,-175350000.0,27501000.0,1971224000.0,159467000.0,57506000.0,-175350000.0,-2432000.0,277384000.0,56792000.0,-35936000.0,-23724000.0,-53289000.0,24672000.0,-15417000.0
2019-04-16,43.13999938964844,43.22999954223633,40.06999969482422,40.81999969482422,40.28403091430664,1636300,TW,1.060509552029092,1.2271724151123031,0.9941097801304652,0.984238240605008,0.0762713114240839,0.1970895838939796,-0.042561059736119,1551430000.0,,424805000.0,4572334000.0,,500000.0,4997139000.0,4573200000.0,12627000.0,,61689000.0,2694797000.0,-866000.0,25027000.0,410104000.0,363116000.0,,-866000.0,38128000.0,687757000.0,,326107000.0,265026000.0,213262000.0,-20000000.0,7640000.0,-42096000.0,-175350000.0,27501000.0,1971224000.0,159467000.0,57506000.0,-175350000.0,-2432000.0,277384000.0,56792000.0,-35936000.0,-23724000.0,-53289000.0,24672000.0,-15417000.0
2019-04-17,41.09999847412109,41.27000045776367,38.630001068115234,39.400001525878906,38.88267517089844,1460300,TW,1.1307107131855043,1.2724175550336214,1.0477703019564677,0.9851225042245522,0.1455882089609521,0.2257085900116737,-0.0002429168441979,1551430000.0,,424805000.0,4572334000.0,,500000.0,4997139000.0,4573200000.0,12627000.0,,61689000.0,2694797000.0,-866000.0,25027000.0,410104000.0,363116000.0,,-866000.0,38128000.0,687757000.0,,326107000.0,265026000.0,213262000.0,-20000000.0,7640000.0,-42096000.0,-175350000.0,27501000.0,1971224000.0,159467000.0,57506000.0,-175350000.0,-2432000.0,277384000.0,56792000.0,-35936000.0,-23724000.0,-53289000.0,24672000.0,-15417000.0
