,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Change To Liabilities,0.0,250000000.0,6330000.0,-40672000.0
Total Cashflows From Investing Activities,-85000000.0,115000000.0,-68737000.0,-41124000.0
Net Borrowings,-9000000.0,-116000000.0,-11691000.0,-111337000.0
Total Cash From Financing Activities,-212000000.0,-215000000.0,-93561000.0,-203420000.0
Change To Operating Activities,-73000000.0,47000000.0,75445000.0,40582000.0
Issuance Of Stock,2000000.0,3000000.0,3000000.0,3000000.0
Net Income,28000000.0,-42000000.0,67589000.0,84828000.0
Change In Cash,62000000.0,221000000.0,176346000.0,-28408000.0
Repurchase Of Stock,-13000000.0,-6000000.0,-437000.0,-70000.0
Effect Of Exchange Rate,19000000.0,-37000000.0,39574000.0,9504000.0
Total Cash From Operating Activities,340000000.0,358000000.0,299070000.0,206632000.0
Depreciation,322000000.0,242000000.0,81784000.0,83332000.0
Dividends Paid,-192000000.0,-82000000.0,-82311000.0,-80173000.0
Change To Inventory,-248000000.0,118000000.0,60695000.0,24477000.0
Change To Account Receivables,-30000000.0,-175000000.0,33313000.0,38146000.0
Change To Netincome,341000000.0,-82000000.0,-26086000.0,-24061000.0
Capital Expenditures,-72000000.0,-93000000.0,-67724000.0,-44037000.0
Other Cashflows From Financing Activities,,-14000000.0,878000.0,-11840000.0
Other Cashflows From Investing Activities,,,,-14597000.0
