Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Other Stockholder Equity,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Accounts Payable,Short Long Term Debt,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Total Cash From Operating Activities,Depreciation,Dividends Paid,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Repurchase Of Stock,Other Cashflows From Investing Activities
2020-06-16,44.0,46.27000045776367,42.0,44.5,43.632598876953125,27619300,RPRX,0.993033849203324,0.9470550157964346,1.094113633613638,1.0166643907242152,-0.0236305415208911,-0.1164109051399127,-0.2025166232408195,75648000.0,,6818068000.0,4488214000.0,63865000.0,,11370147000.0,3282516000.0,4699000.0,1215953000.0,-10255000.0,8377231000.0,1924211000.0,580172000.0,-10255000.0,2608554000.0,308714000.0,4412566000.0,,660448000.0,6237896000.0,4477000.0,281436000.0,573017000.0,1350000.0,303424000.0,-294000000.0,-1379101000.0,-11541000.0,1150390000.0,1377729000.0,542640000.0,1618317000.0,33267000.0,-814359000.0,500404000.0,-270742000.0,-296019000.0,-4266000.0,-258840000.0
2020-06-17,45.900001525878906,51.95000076293945,45.0,48.61000061035156,47.6624870300293,9318700,RPRX,0.9436330654407342,0.8382743997627744,1.0076170711200627,1.0230961122793614,-0.0794630468386271,-0.211491902205579,-0.3066212827674357,51724000.0,,6308457000.0,6105555000.0,35883000.0,31041000.0,12449895000.0,3282516000.0,92000.0,2825212000.0,-2173000.0,10930002000.0,246199000.0,333417000.0,2093000.0,832072000.0,636097000.0,6053831000.0,94455000.0,491326000.0,5975040000.0,11177000.0,291199000.0,-173494000.0,6496000.0,-2153625000.0,-294000000.0,-1191626000.0,-33638000.0,1150390000.0,2348535000.0,-1678012000.0,1667239000.0,23924000.0,-739276000.0,287726000.0,-154084000.0,-978594000.0,-4266000.0,-258840000.0
2020-06-18,56.38999938964844,56.5,49.4900016784668,50.900001525878906,49.907859802246094,11027900,RPRX,0.8461688508929801,0.8228472941240136,0.9680249538219158,1.0320780068346933,-0.1859091559417132,-0.2349777439657133,-0.346634570204832,51724000.0,,6308457000.0,6105555000.0,35883000.0,31041000.0,12449895000.0,3282516000.0,92000.0,2825212000.0,-2173000.0,10930002000.0,246199000.0,333417000.0,2093000.0,832072000.0,636097000.0,6053831000.0,94455000.0,491326000.0,5975040000.0,11177000.0,291199000.0,-173494000.0,6496000.0,-2153625000.0,-294000000.0,-1191626000.0,-33638000.0,1150390000.0,2348535000.0,-1678012000.0,1667239000.0,23924000.0,-739276000.0,287726000.0,-154084000.0,-978594000.0,-4266000.0,-258840000.0
2020-06-19,52.93999862670898,52.959999084472656,46.560001373291016,49.0,48.04489135742188,5586500,RPRX,0.8789795373919781,0.8559827641512129,1.0125522045816169,1.0472002394231807,-0.1682207020312026,-0.1851290345691508,-0.3098056648505014,51724000.0,,6308457000.0,6105555000.0,35883000.0,31041000.0,12449895000.0,3282516000.0,92000.0,2825212000.0,-2173000.0,10930002000.0,246199000.0,333417000.0,2093000.0,832072000.0,636097000.0,6053831000.0,94455000.0,491326000.0,5975040000.0,11177000.0,291199000.0,-173494000.0,6496000.0,-2153625000.0,-294000000.0,-1191626000.0,-33638000.0,1150390000.0,2348535000.0,-1678012000.0,1667239000.0,23924000.0,-739276000.0,287726000.0,-154084000.0,-978594000.0,-4266000.0,-258840000.0
2020-06-22,49.83000183105469,51.4900016784668,49.25,51.290000915527344,50.29024887084961,2315100,RPRX,0.8362253662534996,0.787426610677595,0.9742197829721828,1.0416111253467466,-0.2053857590932469,-0.2498852693754675,-0.3338704412390314,51724000.0,,6308457000.0,6105555000.0,35883000.0,31041000.0,12449895000.0,3282516000.0,92000.0,2825212000.0,-2173000.0,10930002000.0,246199000.0,333417000.0,2093000.0,832072000.0,636097000.0,6053831000.0,94455000.0,491326000.0,5975040000.0,11177000.0,291199000.0,-173494000.0,6496000.0,-2153625000.0,-294000000.0,-1191626000.0,-33638000.0,1150390000.0,2348535000.0,-1678012000.0,1667239000.0,23924000.0,-739276000.0,287726000.0,-154084000.0,-978594000.0,-4266000.0,-258840000.0
2020-06-23,53.0,54.43999862670898,50.869998931884766,50.95000076293945,49.95688247680664,2297800,RPRX,0.8225710693967737,0.7895285065238372,0.9775564820034855,1.0305967789015436,-0.2080257095047698,-0.261598677932145,-0.3369076244008347,51724000.0,,6308457000.0,6105555000.0,35883000.0,31041000.0,12449895000.0,3282516000.0,92000.0,2825212000.0,-2173000.0,10930002000.0,246199000.0,333417000.0,2093000.0,832072000.0,636097000.0,6053831000.0,94455000.0,491326000.0,5975040000.0,11177000.0,291199000.0,-173494000.0,6496000.0,-2153625000.0,-294000000.0,-1191626000.0,-33638000.0,1150390000.0,2348535000.0,-1678012000.0,1667239000.0,23924000.0,-739276000.0,287726000.0,-154084000.0,-978594000.0,-4266000.0,-258840000.0
2020-06-24,51.34999847412109,51.4900016784668,47.68600082397461,50.25,49.27052307128906,4700300,RPRX,0.8600995728389624,0.8233021874002204,1.003606542349271,1.0730616563589168,-0.2129620835199543,-0.2855695107561986,-0.3610890945181115,51724000.0,,6308457000.0,6105555000.0,35883000.0,31041000.0,12449895000.0,3282516000.0,92000.0,2825212000.0,-2173000.0,10930002000.0,246199000.0,333417000.0,2093000.0,832072000.0,636097000.0,6053831000.0,94455000.0,491326000.0,5975040000.0,11177000.0,291199000.0,-173494000.0,6496000.0,-2153625000.0,-294000000.0,-1191626000.0,-33638000.0,1150390000.0,2348535000.0,-1678012000.0,1667239000.0,23924000.0,-739276000.0,287726000.0,-154084000.0,-978594000.0,-4266000.0,-258840000.0
2020-06-25,49.18999862670898,52.5,48.83000183105469,52.11000061035156,51.09427261352539,1993100,RPRX,0.8046440298111319,0.8093275248865971,0.9055210829698574,1.0527413251046664,-0.2480972952935345,-0.2811521065835168,-0.421630528410106,51724000.0,,6308457000.0,6105555000.0,35883000.0,31041000.0,12449895000.0,3282516000.0,92000.0,2825212000.0,-2173000.0,10930002000.0,246199000.0,333417000.0,2093000.0,832072000.0,636097000.0,6053831000.0,94455000.0,491326000.0,5975040000.0,11177000.0,291199000.0,-173494000.0,6496000.0,-2153625000.0,-294000000.0,-1191626000.0,-33638000.0,1150390000.0,2348535000.0,-1678012000.0,1667239000.0,23924000.0,-739276000.0,287726000.0,-154084000.0,-978594000.0,-4266000.0,-258840000.0
2020-06-26,52.0,52.2400016784668,48.70000076293945,49.59000015258789,48.62339019775391,1452100,RPRX,0.8681184309522818,0.8516695393889848,0.9946128807272366,1.09603731200819,-0.2279188810559083,-0.2691594992881554,-0.3809238017967341,51724000.0,,6308457000.0,6105555000.0,35883000.0,31041000.0,12449895000.0,3282516000.0,92000.0,2825212000.0,-2173000.0,10930002000.0,246199000.0,333417000.0,2093000.0,832072000.0,636097000.0,6053831000.0,94455000.0,491326000.0,5975040000.0,11177000.0,291199000.0,-173494000.0,6496000.0,-2153625000.0,-294000000.0,-1191626000.0,-33638000.0,1150390000.0,2348535000.0,-1678012000.0,1667239000.0,23924000.0,-739276000.0,287726000.0,-154084000.0,-978594000.0,-4266000.0,-258840000.0
2020-06-29,49.880001068115234,50.04999923706055,48.0099983215332,48.72999954223633,47.7801513671875,1607500,RPRX,0.8778985379967553,0.8774128003525671,0.9885937080847692,1.0675591621777658,-0.1896606241810104,-0.230902505680551,-0.3926904269264538,51724000.0,,6308457000.0,6105555000.0,35883000.0,31041000.0,12449895000.0,3282516000.0,92000.0,2825212000.0,-2173000.0,10930002000.0,246199000.0,333417000.0,2093000.0,832072000.0,636097000.0,6053831000.0,94455000.0,491326000.0,5975040000.0,11177000.0,291199000.0,-173494000.0,6496000.0,-2153625000.0,-294000000.0,-1191626000.0,-33638000.0,1150390000.0,2348535000.0,-1678012000.0,1667239000.0,23924000.0,-739276000.0,287726000.0,-154084000.0,-978594000.0,-4266000.0,-258840000.0
