Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Other Stockholder Equity,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Accounts Payable,Short Long Term Debt,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Total Cash From Operating Activities,Depreciation,Dividends Paid,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Repurchase Of Stock,Other Cashflows From Investing Activities
2020-06-30,48.20000076293945,49.36000061035156,48.18000030517578,48.54999923706055,47.603660583496094,1227400,RPRX,0.8867146074201054,0.8781845264377458,1.024012794600599,1.0503414786147147,-0.1636268711946092,-0.2203298433126678,-0.3590883715847308,51724000.0,,6308457000.0,6105555000.0,35883000.0,31041000.0,12449895000.0,3282516000.0,92000.0,2825212000.0,-2173000.0,10930002000.0,246199000.0,333417000.0,2093000.0,832072000.0,636097000.0,6053831000.0,94455000.0,491326000.0,5975040000.0,11177000.0,291199000.0,-173494000.0,6496000.0,-2153625000.0,-294000000.0,-1191626000.0,-33638000.0,1150390000.0,2348535000.0,-1678012000.0,1667239000.0,23924000.0,-739276000.0,287726000.0,-154084000.0,-978594000.0,-4266000.0,-258840000.0
2020-07-01,48.540000915527344,48.68000030517578,46.150001525878906,46.470001220703125,45.56420135498047,2094400,RPRX,0.9494297821352332,0.9375832085745416,1.1116962769610017,1.0614698745417157,-0.1120400924064825,-0.1833590023070413,-0.2765594593239415,51724000.0,,6308457000.0,6105555000.0,35883000.0,31041000.0,12449895000.0,3282516000.0,92000.0,2825212000.0,-2173000.0,10930002000.0,246199000.0,333417000.0,2093000.0,832072000.0,636097000.0,6053831000.0,94455000.0,491326000.0,5975040000.0,11177000.0,291199000.0,-173494000.0,6496000.0,-2153625000.0,-294000000.0,-1191626000.0,-33638000.0,1150390000.0,2348535000.0,-1678012000.0,1667239000.0,23924000.0,-739276000.0,287726000.0,-154084000.0,-978594000.0,-4266000.0,-258840000.0
2020-07-02,46.93999862670898,47.54999923706055,45.59999847412109,45.72999954223633,44.83863067626953,1231400,RPRX,0.9446752465378694,0.9615360597738096,1.1307872826155942,1.0609433180919134,-0.116268071554044,-0.1451034714397248,-0.2531947504345602,51724000.0,,6308457000.0,6105555000.0,35883000.0,31041000.0,12449895000.0,3282516000.0,92000.0,2825212000.0,-2173000.0,10930002000.0,246199000.0,333417000.0,2093000.0,832072000.0,636097000.0,6053831000.0,94455000.0,491326000.0,5975040000.0,11177000.0,291199000.0,-173494000.0,6496000.0,-2153625000.0,-294000000.0,-1191626000.0,-33638000.0,1150390000.0,2348535000.0,-1678012000.0,1667239000.0,23924000.0,-739276000.0,287726000.0,-154084000.0,-978594000.0,-4266000.0,-258840000.0
2020-07-06,46.65999984741211,46.95000076293945,45.58000183105469,46.11000061035156,45.21122360229492,1424800,RPRX,0.9093472403593328,0.9708117322770932,1.080385587027714,1.060100399776527,-0.1507531594171942,-0.1437594128973781,-0.3016116464488227,51724000.0,,6308457000.0,6105555000.0,35883000.0,31041000.0,12449895000.0,3282516000.0,92000.0,2825212000.0,-2173000.0,10930002000.0,246199000.0,333417000.0,2093000.0,832072000.0,636097000.0,6053831000.0,94455000.0,491326000.0,5975040000.0,11177000.0,291199000.0,-173494000.0,6496000.0,-2153625000.0,-294000000.0,-1191626000.0,-33638000.0,1150390000.0,2348535000.0,-1678012000.0,1667239000.0,23924000.0,-739276000.0,287726000.0,-154084000.0,-978594000.0,-4266000.0,-258840000.0
2020-07-07,45.56999969482422,47.380001068115234,45.52000045776367,47.04999923706055,46.13290023803711,1176900,RPRX,0.9330499460741724,0.94096099686252,1.070151287517893,1.0770138498901505,-0.1439639038159781,-0.2065538587091971,-0.3318962883691503,51724000.0,,6308457000.0,6105555000.0,35883000.0,31041000.0,12449895000.0,3282516000.0,92000.0,2825212000.0,-2173000.0,10930002000.0,246199000.0,333417000.0,2093000.0,832072000.0,636097000.0,6053831000.0,94455000.0,491326000.0,5975040000.0,11177000.0,291199000.0,-173494000.0,6496000.0,-2153625000.0,-294000000.0,-1191626000.0,-33638000.0,1150390000.0,2348535000.0,-1678012000.0,1667239000.0,23924000.0,-739276000.0,287726000.0,-154084000.0,-978594000.0,-4266000.0,-258840000.0
2020-07-08,47.0,48.880001068115234,47.0,48.02000045776367,47.0839958190918,1045300,RPRX,0.9112868916882386,0.9215356304860484,1.0753928590034003,1.077606770930481,-0.1663198792422424,-0.220603419891921,-0.3236548499276226,51724000.0,,6308457000.0,6105555000.0,35883000.0,31041000.0,12449895000.0,3282516000.0,92000.0,2825212000.0,-2173000.0,10930002000.0,246199000.0,333417000.0,2093000.0,832072000.0,636097000.0,6053831000.0,94455000.0,491326000.0,5975040000.0,11177000.0,291199000.0,-173494000.0,6496000.0,-2153625000.0,-294000000.0,-1191626000.0,-33638000.0,1150390000.0,2348535000.0,-1678012000.0,1667239000.0,23924000.0,-739276000.0,287726000.0,-154084000.0,-978594000.0,-4266000.0,-258840000.0
2020-07-09,48.02000045776367,48.5,47.59999847412109,48.36000061035156,47.417362213134766,828400,RPRX,0.9462365660601616,0.9219072262607364,1.082417330018712,1.1044879116126745,-0.1582513455525128,-0.2454733993998146,-0.3263952170946542,51724000.0,,6308457000.0,6105555000.0,35883000.0,31041000.0,12449895000.0,3282516000.0,92000.0,2825212000.0,-2173000.0,10930002000.0,246199000.0,333417000.0,2093000.0,832072000.0,636097000.0,6053831000.0,94455000.0,491326000.0,5975040000.0,11177000.0,291199000.0,-173494000.0,6496000.0,-2153625000.0,-294000000.0,-1191626000.0,-33638000.0,1150390000.0,2348535000.0,-1678012000.0,1667239000.0,23924000.0,-739276000.0,287726000.0,-154084000.0,-978594000.0,-4266000.0,-258840000.0
2020-07-10,48.59000015258789,48.619998931884766,47.470001220703125,47.63999938964844,46.71139526367188,692600,RPRX,0.9607472761376132,0.944269435836928,1.0966611820292047,1.085711270031918,-0.1249639938943047,-0.1978468313579234,-0.3002845610061615,51724000.0,,6308457000.0,6105555000.0,35883000.0,31041000.0,12449895000.0,3282516000.0,92000.0,2825212000.0,-2173000.0,10930002000.0,246199000.0,333417000.0,2093000.0,832072000.0,636097000.0,6053831000.0,94455000.0,491326000.0,5975040000.0,11177000.0,291199000.0,-173494000.0,6496000.0,-2153625000.0,-294000000.0,-1191626000.0,-33638000.0,1150390000.0,2348535000.0,-1678012000.0,1667239000.0,23924000.0,-739276000.0,287726000.0,-154084000.0,-978594000.0,-4266000.0,-258840000.0
2020-07-13,47.20000076293945,47.59999847412109,43.7599983215332,44.060001373291016,43.2011833190918,2099800,RPRX,1.0211075016704296,0.9749683243103204,1.1514641457859656,1.102834219482497,-0.0817267178120673,-0.1765839485448934,-0.2706938097704456,51724000.0,,6308457000.0,6105555000.0,35883000.0,31041000.0,12449895000.0,3282516000.0,92000.0,2825212000.0,-2173000.0,10930002000.0,246199000.0,333417000.0,2093000.0,832072000.0,636097000.0,6053831000.0,94455000.0,491326000.0,5975040000.0,11177000.0,291199000.0,-173494000.0,6496000.0,-2153625000.0,-294000000.0,-1191626000.0,-33638000.0,1150390000.0,2348535000.0,-1678012000.0,1667239000.0,23924000.0,-739276000.0,287726000.0,-154084000.0,-978594000.0,-4266000.0,-258840000.0
2020-07-14,44.0,44.9900016784668,41.52999877929688,43.52000045776367,42.67170715332031,2659000,RPRX,1.0450366578903234,0.979914773042192,1.1673723320983518,1.0836330203006346,-0.0385963624103111,-0.1596250479788736,-0.2262078116880159,51724000.0,,6308457000.0,6105555000.0,35883000.0,31041000.0,12449895000.0,3282516000.0,92000.0,2825212000.0,-2173000.0,10930002000.0,246199000.0,333417000.0,2093000.0,832072000.0,636097000.0,6053831000.0,94455000.0,491326000.0,5975040000.0,11177000.0,291199000.0,-173494000.0,6496000.0,-2153625000.0,-294000000.0,-1191626000.0,-33638000.0,1150390000.0,2348535000.0,-1678012000.0,1667239000.0,23924000.0,-739276000.0,287726000.0,-154084000.0,-978594000.0,-4266000.0,-258840000.0
2020-07-15,43.81999969482422,44.52000045776367,41.61000061035156,43.0,42.161842346191406,1316300,RPRX,1.0560465466826705,0.9761227214829912,1.1988297823636591,1.0561175899815567,-7.104329888618643e-05,-0.1312977816773858,-0.1585102320329643,51724000.0,,6308457000.0,6105555000.0,35883000.0,31041000.0,12449895000.0,3282516000.0,92000.0,2825212000.0,-2173000.0,10930002000.0,246199000.0,333417000.0,2093000.0,832072000.0,636097000.0,6053831000.0,94455000.0,491326000.0,5975040000.0,11177000.0,291199000.0,-173494000.0,6496000.0,-2153625000.0,-294000000.0,-1191626000.0,-33638000.0,1150390000.0,2348535000.0,-1678012000.0,1667239000.0,23924000.0,-739276000.0,287726000.0,-154084000.0,-978594000.0,-4266000.0,-258840000.0
2020-07-16,43.34000015258789,43.875,41.95000076293945,42.20000076293945,41.37743377685547,1096800,RPRX,1.0888626057749875,0.9579920282817695,1.229674782881586,1.0603047606893516,0.0285578450856358,-0.1393699246437891,-0.1300126769891152,51724000.0,,6308457000.0,6105555000.0,35883000.0,31041000.0,12449895000.0,3282516000.0,92000.0,2825212000.0,-2173000.0,10930002000.0,246199000.0,333417000.0,2093000.0,832072000.0,636097000.0,6053831000.0,94455000.0,491326000.0,5975040000.0,11177000.0,291199000.0,-173494000.0,6496000.0,-2153625000.0,-294000000.0,-1191626000.0,-33638000.0,1150390000.0,2348535000.0,-1678012000.0,1667239000.0,23924000.0,-739276000.0,287726000.0,-154084000.0,-978594000.0,-4266000.0,-258840000.0
2020-07-17,42.79999923706055,44.41999816894531,41.209999084472656,44.18999862670898,43.32864761352539,1763800,RPRX,1.0097305549356002,0.910761647053334,1.2043975596796892,1.0508986066031938,-0.0411680516675936,-0.1873922167144419,-0.1603955873782718,51724000.0,,6308457000.0,6105555000.0,35883000.0,31041000.0,12449895000.0,3282516000.0,92000.0,2825212000.0,-2173000.0,10930002000.0,246199000.0,333417000.0,2093000.0,832072000.0,636097000.0,6053831000.0,94455000.0,491326000.0,5975040000.0,11177000.0,291199000.0,-173494000.0,6496000.0,-2153625000.0,-294000000.0,-1191626000.0,-33638000.0,1150390000.0,2348535000.0,-1678012000.0,1667239000.0,23924000.0,-739276000.0,287726000.0,-154084000.0,-978594000.0,-4266000.0,-258840000.0
2020-07-20,44.41999816894531,46.290000915527344,44.02999877929688,45.869998931884766,44.97589874267578,1160300,RPRX,0.9570525833317642,0.8535492557269357,1.10514961541665,1.0499296408975316,-0.0928770575657673,-0.241071029310842,-0.2824413878079128,51724000.0,,6308457000.0,6105555000.0,35883000.0,31041000.0,12449895000.0,3282516000.0,92000.0,2825212000.0,-2173000.0,10930002000.0,246199000.0,333417000.0,2093000.0,832072000.0,636097000.0,6053831000.0,94455000.0,491326000.0,5975040000.0,11177000.0,291199000.0,-173494000.0,6496000.0,-2153625000.0,-294000000.0,-1191626000.0,-33638000.0,1150390000.0,2348535000.0,-1678012000.0,1667239000.0,23924000.0,-739276000.0,287726000.0,-154084000.0,-978594000.0,-4266000.0,-258840000.0
2020-07-21,46.61000061035156,46.630001068115234,42.59999847412109,43.06999969482422,42.23047637939453,1547500,RPRX,1.0044113770820489,0.9139337946568824,1.138394264523282,1.035121986103813,-0.0307106090217641,-0.1840406927244247,-0.2091593195341536,51724000.0,,6308457000.0,6105555000.0,35883000.0,31041000.0,12449895000.0,3282516000.0,92000.0,2825212000.0,-2173000.0,10930002000.0,246199000.0,333417000.0,2093000.0,832072000.0,636097000.0,6053831000.0,94455000.0,491326000.0,5975040000.0,11177000.0,291199000.0,-173494000.0,6496000.0,-2153625000.0,-294000000.0,-1191626000.0,-33638000.0,1150390000.0,2348535000.0,-1678012000.0,1667239000.0,23924000.0,-739276000.0,287726000.0,-154084000.0,-978594000.0,-4266000.0,-258840000.0
2020-07-22,43.27999877929688,43.7599983215332,42.0,43.06999969482422,42.23047637939453,594500,RPRX,0.9744600633794456,0.9092719312809416,1.09979263745537,1.0249122036135947,-0.0504521402341491,-0.1865240769134386,-0.2461218416202952,51724000.0,,6308457000.0,6105555000.0,35883000.0,31041000.0,12449895000.0,3282516000.0,92000.0,2825212000.0,-2173000.0,10930002000.0,246199000.0,333417000.0,2093000.0,832072000.0,636097000.0,6053831000.0,94455000.0,491326000.0,5975040000.0,11177000.0,291199000.0,-173494000.0,6496000.0,-2153625000.0,-294000000.0,-1191626000.0,-33638000.0,1150390000.0,2348535000.0,-1678012000.0,1667239000.0,23924000.0,-739276000.0,287726000.0,-154084000.0,-978594000.0,-4266000.0,-258840000.0
2020-07-23,42.61000061035156,44.255001068115234,42.59999847412109,42.88999938964844,42.05398178100586,1042700,RPRX,0.996269660952238,0.9074704656546928,1.0978304183369694,1.042919681119605,-0.0466500201673673,-0.1654381491865006,-0.2493866142277156,51724000.0,,6308457000.0,6105555000.0,35883000.0,31041000.0,12449895000.0,3282516000.0,92000.0,2825212000.0,-2173000.0,10930002000.0,246199000.0,333417000.0,2093000.0,832072000.0,636097000.0,6053831000.0,94455000.0,491326000.0,5975040000.0,11177000.0,291199000.0,-173494000.0,6496000.0,-2153625000.0,-294000000.0,-1191626000.0,-33638000.0,1150390000.0,2348535000.0,-1678012000.0,1667239000.0,23924000.0,-739276000.0,287726000.0,-154084000.0,-978594000.0,-4266000.0,-258840000.0
2020-07-24,42.31999969482422,42.400001525878906,39.900001525878906,41.90999984741211,41.09308624267578,1749900,RPRX,0.9968980643513098,0.9071317691866532,1.1215779611162178,1.0525520783774,-0.0556540140260902,-0.1639914726398099,-0.2252193967915232,51724000.0,,6308457000.0,6105555000.0,35883000.0,31041000.0,12449895000.0,3282516000.0,92000.0,2825212000.0,-2173000.0,10930002000.0,246199000.0,333417000.0,2093000.0,832072000.0,636097000.0,6053831000.0,94455000.0,491326000.0,5975040000.0,11177000.0,291199000.0,-173494000.0,6496000.0,-2153625000.0,-294000000.0,-1191626000.0,-33638000.0,1150390000.0,2348535000.0,-1678012000.0,1667239000.0,23924000.0,-739276000.0,287726000.0,-154084000.0,-978594000.0,-4266000.0,-258840000.0
2020-07-27,41.43000030517578,43.27999877929688,40.650001525878906,43.220001220703125,42.37755584716797,515700,RPRX,0.9703838915792948,0.8389877164704508,1.121620787140398,1.045546571033957,-0.0751626794546624,-0.194083539507626,-0.2247439889440432,51724000.0,,6308457000.0,6105555000.0,35883000.0,31041000.0,12449895000.0,3282516000.0,92000.0,2825212000.0,-2173000.0,10930002000.0,246199000.0,333417000.0,2093000.0,832072000.0,636097000.0,6053831000.0,94455000.0,491326000.0,5975040000.0,11177000.0,291199000.0,-173494000.0,6496000.0,-2153625000.0,-294000000.0,-1191626000.0,-33638000.0,1150390000.0,2348535000.0,-1678012000.0,1667239000.0,23924000.0,-739276000.0,287726000.0,-154084000.0,-978594000.0,-4266000.0,-258840000.0
2020-07-28,42.33000183105469,42.79899978637695,41.83000183105469,41.93000030517578,41.112701416015625,307800,RPRX,0.9778200739173132,0.8700670140092533,1.132097041897117,1.059971727560168,-0.0821516536428547,-0.182272396707868,-0.2353275949996565,51724000.0,,6308457000.0,6105555000.0,35883000.0,31041000.0,12449895000.0,3282516000.0,92000.0,2825212000.0,-2173000.0,10930002000.0,246199000.0,333417000.0,2093000.0,832072000.0,636097000.0,6053831000.0,94455000.0,491326000.0,5975040000.0,11177000.0,291199000.0,-173494000.0,6496000.0,-2153625000.0,-294000000.0,-1191626000.0,-33638000.0,1150390000.0,2348535000.0,-1678012000.0,1667239000.0,23924000.0,-739276000.0,287726000.0,-154084000.0,-978594000.0,-4266000.0,-258840000.0
2020-07-29,42.11000061035156,43.13999938964844,42.09999847412109,43.04999923706055,42.21086120605469,646800,RPRX,0.977235912839064,0.8558263635118141,1.1010059895218614,1.0491737417135036,-0.0719378288744396,-0.1682352034563065,-0.2541021131215584,51724000.0,,6308457000.0,6105555000.0,35883000.0,31041000.0,12449895000.0,3282516000.0,92000.0,2825212000.0,-2173000.0,10930002000.0,246199000.0,333417000.0,2093000.0,832072000.0,636097000.0,6053831000.0,94455000.0,491326000.0,5975040000.0,11177000.0,291199000.0,-173494000.0,6496000.0,-2153625000.0,-294000000.0,-1191626000.0,-33638000.0,1150390000.0,2348535000.0,-1678012000.0,1667239000.0,23924000.0,-739276000.0,287726000.0,-154084000.0,-978594000.0,-4266000.0,-258840000.0
2020-07-30,42.2599983215332,43.06999969482422,41.90499877929688,42.77999877929688,41.94612503051758,753400,RPRX,0.9672745130582466,0.8818785140859,1.1390454190984387,1.0469317050835845,-0.0796571920253378,-0.1677572217109755,-0.2429144901004454,51724000.0,,6308457000.0,6105555000.0,35883000.0,31041000.0,12449895000.0,3282516000.0,92000.0,2825212000.0,-2173000.0,10930002000.0,246199000.0,333417000.0,2093000.0,832072000.0,636097000.0,6053831000.0,94455000.0,491326000.0,5975040000.0,11177000.0,291199000.0,-173494000.0,6496000.0,-2153625000.0,-294000000.0,-1191626000.0,-33638000.0,1150390000.0,2348535000.0,-1678012000.0,1667239000.0,23924000.0,-739276000.0,287726000.0,-154084000.0,-978594000.0,-4266000.0,-258840000.0
2020-07-31,42.86000061035156,43.4900016784668,42.150001525878906,43.04999923706055,42.21086120605469,866000,RPRX,0.9663183834472449,0.8889400798386021,1.1407957869105323,1.0584584032817186,-0.0921400198344737,-0.1877185664400579,-0.2463977488106878,51724000.0,,6308457000.0,6105555000.0,35883000.0,31041000.0,12449895000.0,3282516000.0,92000.0,2825212000.0,-2173000.0,10930002000.0,246199000.0,333417000.0,2093000.0,832072000.0,636097000.0,6053831000.0,94455000.0,491326000.0,5975040000.0,11177000.0,291199000.0,-173494000.0,6496000.0,-2153625000.0,-294000000.0,-1191626000.0,-33638000.0,1150390000.0,2348535000.0,-1678012000.0,1667239000.0,23924000.0,-739276000.0,287726000.0,-154084000.0,-978594000.0,-4266000.0,-258840000.0
2020-08-03,42.93999862670898,44.45000076293945,42.5099983215332,44.119998931884766,43.260009765625,606400,RPRX,0.9462828843408037,0.916529927818819,1.0918896521025097,1.0645312650354448,-0.1182483806946411,-0.1556749400828223,-0.2840971688424039,51724000.0,,6308457000.0,6105555000.0,35883000.0,31041000.0,12449895000.0,3282516000.0,92000.0,2825212000.0,-2173000.0,10930002000.0,246199000.0,333417000.0,2093000.0,832072000.0,636097000.0,6053831000.0,94455000.0,491326000.0,5975040000.0,11177000.0,291199000.0,-173494000.0,6496000.0,-2153625000.0,-294000000.0,-1191626000.0,-33638000.0,1150390000.0,2348535000.0,-1678012000.0,1667239000.0,23924000.0,-739276000.0,287726000.0,-154084000.0,-978594000.0,-4266000.0,-258840000.0
