Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Accounts Payable,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Change To Account Receivables,Change To Netincome,Capital Expenditures,Other Cashflows From Financing Activities,Repurchase Of Stock
2018-10-12,24.25,24.700000762939453,21.459999084472656,24.299999237060547,24.299999237060547,15086200,PLAN,0.9337449072612528,1.2263374556659166,1.5353910512222808,0.9966747140918392,-0.0629298068305863,0.2285919789445758,0.4272772331543422,,325831000.0,135108000.0,111632000.0,22668000.0,101047000.0,246747000.0,3000.0,9101000.0,-212220000.0,959000.0,,-1982000.0,30352000.0,110898000.0,134149000.0,-1982000.0,18321000.0,198074000.0,111632000.0,66161000.0,6417000.0,41361000.0,-15366000.0,-1628000.0,64724000.0,-21844000.0,3309000.0,-47554000.0,36121000.0,1264000.0,-14501000.0,7399000.0,-9982000.0,8710000.0,-9565000.0,1534000.0,-28422000.0
2018-10-15,23.1200008392334,24.5,22.18000030517578,24.299999237060547,24.299999237060547,1572200,PLAN,0.9436214413622144,1.1995884993310153,1.5971194482220763,0.9891317727722226,-0.0455103314100082,0.2163078109002411,0.4805083334342614,,325831000.0,135108000.0,111632000.0,22668000.0,101047000.0,246747000.0,3000.0,9101000.0,-212220000.0,959000.0,,-1982000.0,30352000.0,110898000.0,134149000.0,-1982000.0,18321000.0,198074000.0,111632000.0,66161000.0,6417000.0,41361000.0,-15366000.0,-1628000.0,64724000.0,-21844000.0,3309000.0,-47554000.0,36121000.0,1264000.0,-14501000.0,7399000.0,-9982000.0,8710000.0,-9565000.0,1534000.0,-28422000.0
2018-10-16,24.5,24.65999984741211,22.56999969482422,23.020000457763672,23.020000457763672,1297300,PLAN,1.0008688295988686,1.3032145700884323,1.671155536738003,0.9777864585235492,0.0230823710753194,0.3428132893391873,0.5796179605771332,,325831000.0,135108000.0,111632000.0,22668000.0,101047000.0,246747000.0,3000.0,9101000.0,-212220000.0,959000.0,,-1982000.0,30352000.0,110898000.0,134149000.0,-1982000.0,18321000.0,198074000.0,111632000.0,66161000.0,6417000.0,41361000.0,-15366000.0,-1628000.0,64724000.0,-21844000.0,3309000.0,-47554000.0,36121000.0,1264000.0,-14501000.0,7399000.0,-9982000.0,8710000.0,-9565000.0,1534000.0,-28422000.0
2018-10-17,22.76000022888184,26.96999931335449,22.75,25.43000030517578,25.43000030517578,1149900,PLAN,0.9488792320562972,1.178922500293265,1.548171390460887,0.9825023252332036,-0.0336230931769063,0.2104111277777371,0.4524202109080453,,325831000.0,135108000.0,111632000.0,22668000.0,101047000.0,246747000.0,3000.0,9101000.0,-212220000.0,959000.0,,-1982000.0,30352000.0,110898000.0,134149000.0,-1982000.0,18321000.0,198074000.0,111632000.0,66161000.0,6417000.0,41361000.0,-15366000.0,-1628000.0,64724000.0,-21844000.0,3309000.0,-47554000.0,36121000.0,1264000.0,-14501000.0,7399000.0,-9982000.0,8710000.0,-9565000.0,1534000.0,-28422000.0
2018-10-18,26.06999969482422,26.200000762939453,24.01000022888184,24.5,24.5,1639600,PLAN,0.9375509923818158,1.2979591525330836,1.5497959681919642,0.9779319429497442,-0.0403809505679283,0.3031426344380836,0.4475104683165565,,325831000.0,135108000.0,111632000.0,22668000.0,101047000.0,246747000.0,3000.0,9101000.0,-212220000.0,959000.0,,-1982000.0,30352000.0,110898000.0,134149000.0,-1982000.0,18321000.0,198074000.0,111632000.0,66161000.0,6417000.0,41361000.0,-15366000.0,-1628000.0,64724000.0,-21844000.0,3309000.0,-47554000.0,36121000.0,1264000.0,-14501000.0,7399000.0,-9982000.0,8710000.0,-9565000.0,1534000.0,-28422000.0
2018-10-19,24.75,25.959999084472656,24.059999465942383,24.479999542236328,24.479999542236328,280100,PLAN,0.8578431532961369,1.2561274744693434,1.5874183552701804,0.968237340120051,-0.1103941868239141,0.2569014851471235,0.4743285926510174,,325831000.0,135108000.0,111632000.0,22668000.0,101047000.0,246747000.0,3000.0,9101000.0,-212220000.0,959000.0,,-1982000.0,30352000.0,110898000.0,134149000.0,-1982000.0,18321000.0,198074000.0,111632000.0,66161000.0,6417000.0,41361000.0,-15366000.0,-1628000.0,64724000.0,-21844000.0,3309000.0,-47554000.0,36121000.0,1264000.0,-14501000.0,7399000.0,-9982000.0,8710000.0,-9565000.0,1534000.0,-28422000.0
2018-10-22,24.420000076293945,25.25,24.1299991607666,24.51000022888184,24.51000022888184,194900,PLAN,0.8547531851204395,1.210934313668499,1.6230109509514137,0.9826563959246816,-0.1279032108042419,0.2069432312187096,0.4920066287069755,,325831000.0,135108000.0,111632000.0,22668000.0,101047000.0,246747000.0,3000.0,9101000.0,-212220000.0,959000.0,,-1982000.0,30352000.0,110898000.0,134149000.0,-1982000.0,18321000.0,198074000.0,111632000.0,66161000.0,6417000.0,41361000.0,-15366000.0,-1628000.0,64724000.0,-21844000.0,3309000.0,-47554000.0,36121000.0,1264000.0,-14501000.0,7399000.0,-9982000.0,8710000.0,-9565000.0,1534000.0,-28422000.0
2018-10-23,24.01000022888184,24.5,23.549999237060547,23.89999961853028,23.89999961853028,458800,PLAN,0.8979079258157885,1.2635983784503757,1.6715481757566726,0.9881077347865406,-0.090199808970752,0.2421883773370243,0.5375692243186179,,325831000.0,135108000.0,111632000.0,22668000.0,101047000.0,246747000.0,3000.0,9101000.0,-212220000.0,959000.0,,-1982000.0,30352000.0,110898000.0,134149000.0,-1982000.0,18321000.0,198074000.0,111632000.0,66161000.0,6417000.0,41361000.0,-15366000.0,-1628000.0,64724000.0,-21844000.0,3309000.0,-47554000.0,36121000.0,1264000.0,-14501000.0,7399000.0,-9982000.0,8710000.0,-9565000.0,1534000.0,-28422000.0
2018-10-24,23.63999938964844,24.32999992370605,22.5,22.549999237060547,22.549999237060547,677600,PLAN,0.9933481319908984,1.392017758389078,1.738802678983318,1.035209336841041,-0.0418612048501428,0.3288899173259814,0.5870550129768339,,325831000.0,135108000.0,111632000.0,22668000.0,101047000.0,246747000.0,3000.0,9101000.0,-212220000.0,959000.0,,-1982000.0,30352000.0,110898000.0,134149000.0,-1982000.0,18321000.0,198074000.0,111632000.0,66161000.0,6417000.0,41361000.0,-15366000.0,-1628000.0,64724000.0,-21844000.0,3309000.0,-47554000.0,36121000.0,1264000.0,-14501000.0,7399000.0,-9982000.0,8710000.0,-9565000.0,1534000.0,-28422000.0
2018-10-25,22.75,24.100000381469727,22.6299991607666,23.8700008392334,23.8700008392334,482400,PLAN,0.9426057481748544,1.2982823075641512,1.6284037522108905,1.0143747476211535,-0.0717689994462991,0.2481628938513,0.4968548822014167,,325831000.0,135108000.0,111632000.0,22668000.0,101047000.0,246747000.0,3000.0,9101000.0,-212220000.0,959000.0,,-1982000.0,30352000.0,110898000.0,134149000.0,-1982000.0,18321000.0,198074000.0,111632000.0,66161000.0,6417000.0,41361000.0,-15366000.0,-1628000.0,64724000.0,-21844000.0,3309000.0,-47554000.0,36121000.0,1264000.0,-14501000.0,7399000.0,-9982000.0,8710000.0,-9565000.0,1534000.0,-28422000.0
