Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Accounts Payable,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Account Receivables,Change To Netincome,Capital Expenditures,Other Cashflows From Financing Activities,Net Borrowings
2017-09-29,138.41000366210938,139.3000030517578,138.0500030517578,139.2100067138672,134.08021545410156,623700,MCO,1.0229869281960642,1.0918285605879814,1.1727004678800617,1.0206479989635429,0.0023389292325213,0.0015681718655353,0.0834072688888587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-02,139.52000427246094,140.27000427246094,139.3300018310547,140.2100067138672,135.04335021972656,868200,MCO,1.0233937059734577,1.102061184825068,1.1754494615433029,1.012478214064533,0.0109154919089247,0.0133536290636684,0.086318583066369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-03,140.00999450683594,141.27999877929688,139.5,141.0,135.80426025390625,554800,MCO,1.0179431213334549,1.1026415753227954,1.1613062956372917,1.0113391723313174,0.0066039490021374,0.0126782003178933,0.0795056534167195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-04,141.0,141.75,140.66000366210938,141.7100067138672,136.4880828857422,634200,MCO,1.0323193718688104,1.1045459174815366,1.1660576219946086,1.0126829906128405,0.0196363812559698,0.0160622304599702,0.0760982553979445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-05,141.8800048828125,142.67999267578125,141.35000610351562,142.10000610351562,136.86370849609375,607600,MCO,1.0169596967500976,1.0922715870449855,1.1738931936005352,1.0121464877707815,0.004813208979316,0.0094711113618728,0.075971444829276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-06,142.42999267578125,143.97999572753906,142.16000366210938,142.49000549316406,137.23931884765625,819800,MCO,1.0089833175378211,1.0956852235394785,1.1744193648380783,1.0081446760609294,0.0008386414768917,0.0007420007124423,0.0738462984023147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-09,142.44000244140625,142.8300018310547,141.4600067138672,141.9499969482422,136.71920776367188,547600,MCO,1.020993344888354,1.1106596741305554,1.1735758697236505,1.0143616235707735,0.0066317213175803,0.0069442491779028,0.0750937235469535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-10,142.27000427246094,142.6300048828125,141.63999938964844,142.13999938964844,136.9022216796875,562200,MCO,1.0066836646892607,1.097042986064237,1.1599845252308731,1.008797349947511,-0.0021136852582501,0.0041923099202914,0.0706872125369175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-11,142.22000122070312,142.8000030517578,141.8300018310547,142.5500030517578,137.29713439941406,536400,MCO,0.9974743009622796,1.107109932812138,1.145788047328795,1.0091988628593096,-0.0117245618970299,0.0058777250694317,0.0576909971358012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-12,142.33999633789062,143.92999267578125,142.02999877929688,143.92999267578125,138.6262969970703,739700,MCO,0.9876324888032632,1.09767933188428,1.120693828396283,1.0112728774332036,-0.0236403886299404,-0.0010055939390727,0.0446587274311536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
