,2020-12-31,2019-12-31,2018-12-31
Investments,-481809000.0,-481809000.0,-481809000.0
Change To Liabilities,34669000.0,27058000.0,-4420000.0
Total Cashflows From Investing Activities,-575190000.0,-219541000.0,-40043000.0
Total Cash From Financing Activities,1701455000.0,161472000.0,148251000.0
Change To Operating Activities,66857000.0,28724000.0,36468000.0
Issuance Of Stock,1551842000.0,472013000.0,3303000.0
Net Income,-282308000.0,-163190000.0,-131602000.0
Change In Cash,1146851000.0,-126177000.0,27141000.0
Repurchase Of Stock,-110000.0,-286375000.0,-286375000.0
Effect Of Exchange Rate,673000.0,-172000.0,-8000.0
Total Cash From Operating Activities,19913000.0,-67936000.0,-81059000.0
Depreciation,42974000.0,31113000.0,20518000.0
Change To Account Receivables,-63294000.0,-49420000.0,-30974000.0
Other Cashflows From Financing Activities,-247000.0,-370000.0,-370000.0
Change To Netincome,201490000.0,44613000.0,21702000.0
Capital Expenditures,-40156000.0,-27035000.0,-38019000.0
