Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Deferred Long Term Liab,Other Current Liab,Total Assets,Other Current Assets,Retained Earnings,Other Liab,Good Will,Other Assets,Cash,Total Current Liabilities,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Accounts Payable,Short Term Investments,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2018-04-27,18.39999961853028,19.700000762939453,18.059999465942383,19.5,19.5,9194700,SMAR,1.172820555858123,1.0815384693634815,1.2456410725911458,1547000.0,25892000.0,83386000.0,-80741000.0,15291000.0,57102000.0,116604000.0,,-106633000.0,783000.0,445000.0,19719000.0,58158000.0,78890000.0,17237000.0,77656000.0,-82733000.0,14870000.0,2641000.0,,10135000.0,25273000.0,-809000.0,-2326000.0,51436000.0,-8645000.0,2164000.0,-49106000.0,37046000.0,-380000.0,-36000.0,-13581000.0,4076000.0,-9455000.0,-829000.0,19287000.0,-6006000.0
2018-04-30,19.51000022888184,19.51000022888184,18.799999237060547,19.299999237060547,19.299999237060547,640500,SMAR,1.2911917648391236,1.2124352613235736,1.2569948802017008,1547000.0,25892000.0,83386000.0,-80741000.0,15291000.0,57102000.0,116604000.0,,-106633000.0,783000.0,445000.0,19719000.0,58158000.0,78890000.0,17237000.0,77656000.0,-82733000.0,14870000.0,2641000.0,,10135000.0,25273000.0,-809000.0,-2326000.0,51436000.0,-8645000.0,2164000.0,-49106000.0,37046000.0,-380000.0,-36000.0,-13581000.0,4076000.0,-9455000.0,-829000.0,19287000.0,-6006000.0
2018-05-01,19.049999237060547,20.0,19.0,19.850000381469727,19.850000381469727,656200,SMAR,1.3234256903232662,1.1863979236516704,1.2025189108568684,1547000.0,25892000.0,83386000.0,-80741000.0,15291000.0,57102000.0,116604000.0,,-106633000.0,783000.0,445000.0,19719000.0,58158000.0,78890000.0,17237000.0,77656000.0,-82733000.0,14870000.0,2641000.0,,10135000.0,25273000.0,-809000.0,-2326000.0,51436000.0,-8645000.0,2164000.0,-49106000.0,37046000.0,-380000.0,-36000.0,-13581000.0,4076000.0,-9455000.0,-829000.0,19287000.0,-6006000.0
2018-05-02,19.950000762939453,19.959999084472656,19.39999961853028,19.51000022888184,19.51000022888184,313600,SMAR,1.3603280678714993,1.2557662589737524,1.2716555189586636,1547000.0,25892000.0,83386000.0,-80741000.0,15291000.0,57102000.0,116604000.0,,-106633000.0,783000.0,445000.0,19719000.0,58158000.0,78890000.0,17237000.0,77656000.0,-82733000.0,14870000.0,2641000.0,,10135000.0,25273000.0,-809000.0,-2326000.0,51436000.0,-8645000.0,2164000.0,-49106000.0,37046000.0,-380000.0,-36000.0,-13581000.0,4076000.0,-9455000.0,-829000.0,19287000.0,-6006000.0
2018-05-03,19.549999237060547,19.64999961853028,19.059999465942383,19.440000534057617,19.440000534057617,401600,SMAR,1.4891975291986712,1.2860081951233295,1.3235596108734176,1547000.0,25892000.0,83386000.0,-80741000.0,15291000.0,57102000.0,116604000.0,,-106633000.0,783000.0,445000.0,19719000.0,58158000.0,78890000.0,17237000.0,77656000.0,-82733000.0,14870000.0,2641000.0,,10135000.0,25273000.0,-809000.0,-2326000.0,51436000.0,-8645000.0,2164000.0,-49106000.0,37046000.0,-380000.0,-36000.0,-13581000.0,4076000.0,-9455000.0,-829000.0,19287000.0,-6006000.0
2018-05-04,19.46999931335449,19.46999931335449,18.86000061035156,18.8799991607666,18.8799991607666,362700,SMAR,1.5227754914175875,1.2886653074786556,1.3543432643768178,1547000.0,25892000.0,83386000.0,-80741000.0,15291000.0,57102000.0,116604000.0,,-106633000.0,783000.0,445000.0,19719000.0,58158000.0,78890000.0,17237000.0,77656000.0,-82733000.0,14870000.0,2641000.0,,10135000.0,25273000.0,-809000.0,-2326000.0,51436000.0,-8645000.0,2164000.0,-49106000.0,37046000.0,-380000.0,-36000.0,-13581000.0,4076000.0,-9455000.0,-829000.0,19287000.0,-6006000.0
2018-05-07,18.88999938964844,19.84000015258789,18.799999237060547,19.600000381469727,19.600000381469727,187700,SMAR,1.4515306229196154,1.337755040971502,1.2755101792567085,1547000.0,25892000.0,83386000.0,-80741000.0,15291000.0,57102000.0,116604000.0,,-106633000.0,783000.0,445000.0,19719000.0,58158000.0,78890000.0,17237000.0,77656000.0,-82733000.0,14870000.0,2641000.0,,10135000.0,25273000.0,-809000.0,-2326000.0,51436000.0,-8645000.0,2164000.0,-49106000.0,37046000.0,-380000.0,-36000.0,-13581000.0,4076000.0,-9455000.0,-829000.0,19287000.0,-6006000.0
2018-05-08,19.790000915527344,20.979999542236328,19.25,20.729999542236328,20.729999542236328,209600,SMAR,1.3338157370527095,1.2479498992040292,1.2276894030357484,1547000.0,25892000.0,83386000.0,-80741000.0,15291000.0,57102000.0,116604000.0,,-106633000.0,783000.0,445000.0,19719000.0,58158000.0,78890000.0,17237000.0,77656000.0,-82733000.0,14870000.0,2641000.0,,10135000.0,25273000.0,-809000.0,-2326000.0,51436000.0,-8645000.0,2164000.0,-49106000.0,37046000.0,-380000.0,-36000.0,-13581000.0,4076000.0,-9455000.0,-829000.0,19287000.0,-6006000.0
2018-05-09,20.76000022888184,21.698999404907227,20.76000022888184,21.350000381469727,21.350000381469727,434400,SMAR,1.2697892330662954,1.264636979746102,1.22716629015516,1547000.0,25892000.0,83386000.0,-80741000.0,15291000.0,57102000.0,116604000.0,,-106633000.0,783000.0,445000.0,19719000.0,58158000.0,78890000.0,17237000.0,77656000.0,-82733000.0,14870000.0,2641000.0,,10135000.0,25273000.0,-809000.0,-2326000.0,51436000.0,-8645000.0,2164000.0,-49106000.0,37046000.0,-380000.0,-36000.0,-13581000.0,4076000.0,-9455000.0,-829000.0,19287000.0,-6006000.0
2018-05-10,21.6299991607666,21.676000595092773,20.21999931335449,20.75,20.75,276700,SMAR,1.2761445562523532,1.2978313400084711,1.3002409417945218,1547000.0,25892000.0,83386000.0,-80741000.0,15291000.0,57102000.0,116604000.0,,-106633000.0,783000.0,445000.0,19719000.0,58158000.0,78890000.0,17237000.0,77656000.0,-82733000.0,14870000.0,2641000.0,,10135000.0,25273000.0,-809000.0,-2326000.0,51436000.0,-8645000.0,2164000.0,-49106000.0,37046000.0,-380000.0,-36000.0,-13581000.0,4076000.0,-9455000.0,-829000.0,19287000.0,-6006000.0
