Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Long Term Debt,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2017-09-29,80.45999908447266,80.45999908447266,79.91999816894531,79.98999786376953,73.89791107177734,307700,CR,1.039129782560239,1.1428896936974773,1.164381242226496,1.0206479989635429,0.0184817835966961,0.0526293049750312,0.0750880432352931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-02,79.9000015258789,80.8499984741211,79.9000015258789,80.80999755859375,74.65546417236328,293300,CR,1.0313078645686908,1.1348951957340652,1.1600474633174591,1.012478214064533,0.0188296505041578,0.0461876399726655,0.0709165848405253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-03,80.87000274658203,81.27999877929688,80.6500015258789,81.16999816894531,74.988037109375,218500,CR,1.0378217879805047,1.1325832001198108,1.15204736432569,1.0113391723313174,0.0264826156491873,0.0426198251149088,0.0702467221051179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-04,81.0999984741211,81.72000122070312,80.8499984741211,80.94999694824219,74.78478240966797,237700,CR,1.0422487176591435,1.1321886096690017,1.1661328574397296,1.0126829906128405,0.029565727046303,0.0437049226474353,0.0761734908430655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-05,81.05000305175781,81.30999755859375,80.61000061035156,80.72000122070312,74.57231903076172,223500,CR,1.0509168749244835,1.1238475056584365,1.1920503505964544,1.0121464877707815,0.0387703871537019,0.0410470299753238,0.0941286018251952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-06,80.37000274658203,80.88999938964844,80.2699966430664,80.62999725341797,74.4891586303711,150200,CR,1.0518416505325017,1.1402930298256466,1.193756034628358,1.0081446760609294,0.0436969744715722,0.0453498069986104,0.0931829681925944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-09,80.69000244140625,81.43000030517578,80.51000213623047,80.72000122070312,74.57231903076172,222300,CR,1.0438550192069176,1.1477275761654773,1.1920503505964544,1.0143616235707735,0.029493395636144,0.0440121512128246,0.0935682044197574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-10,81.12000274658203,81.12000274658203,80.31999969482422,80.68000030517578,74.53534698486328,204900,CR,1.0247896078989531,1.14854562113075,1.1875210156674392,1.008797349947511,0.0159922579514422,0.0556949449868044,0.0982237029734836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-11,80.69000244140625,80.91000366210938,80.27999877929688,80.7300033569336,74.58154296875,186500,CR,1.0240309703226989,1.1593997965536882,1.1910292124680018,1.0091988628593096,0.0148321074633892,0.0581675888109818,0.1029321622750081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-12,80.51000213623047,81.94000244140625,80.36000061035156,81.41000366210938,75.20977020263672,322500,CR,1.013389065312625,1.1413293608828254,1.086638780388714,1.0112728774332036,0.0021161878794213,0.0426444350594727,0.0106036794235846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
