Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Deferred Long Term Liab,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Total Cash From Operating Activities,Depreciation,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2007-05-15,7.25,7.349999904632568,7.0,7.050000190734863,6.970340251922607,25569200,CLR,1.1432623222696778,1.0319148565012546,1.5631205464163946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-16,7.025000095367432,7.21999979019165,7.025000095367432,7.175000190734863,7.093927383422852,4930400,CLR,1.103832790976487,1.0097561047745776,1.5372822719352044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-17,7.199999809265137,7.324999809265137,7.059999942779541,7.25,7.168079853057861,1979800,CLR,1.089655163697078,1.0386207186497196,1.5337930955573549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-18,7.25,7.385000228881836,7.175000190734863,7.324999809265137,7.242232799530029,1927400,CLR,1.091467555803528,1.0566552166658776,1.5017064387999968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-21,7.324999809265137,7.375,7.199999809265137,7.300000190734863,7.217515468597412,954800,CLR,1.076027334949456,1.0328766211024716,1.5246576309935098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-22,7.349999904632568,7.349999904632568,7.105000019073486,7.300000190734863,7.217515468597412,713600,CLR,1.0787669873079997,1.046575279295164,1.597260136228137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-23,7.25,7.510000228881836,7.175000190734863,7.46999979019165,7.385593891143799,1836200,CLR,1.072289285752793,1.0461848573215864,1.5388218504662072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-24,7.425000190734863,7.485000133514404,7.300000190734863,7.400000095367432,7.316385269165039,980600,CLR,1.0831080272572775,1.0337837238942795,1.6094593879443455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-25,7.400000095367432,7.494999885559082,7.340000152587891,7.474999904632568,7.390537261962891,981400,CLR,1.0709031116685634,1.024749275440865,1.5652174193565038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-29,7.5,7.525000095367432,7.304999828338623,7.489999771118164,7.405368328094482,1783400,CLR,1.06074770657886,0.9886515181437334,1.5627502908368822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
