,2020-12-31,2019-12-31,2018-12-31
Investments,-778555000.0,43147000.0,-67292000.0
Change To Liabilities,2447000.0,319000.0,-808000.0
Total Cashflows From Investing Activities,-802648000.0,33301000.0,-74694000.0
Total Cash From Financing Activities,953724000.0,394000.0,120757000.0
Change To Operating Activities,-10728000.0,-1501000.0,-174000.0
Issuance Of Stock,100399000.0,394000.0,1084000.0
Net Income,-1681777000.0,-51283000.0,-44149000.0
Change In Cash,89813000.0,-8036000.0,10341000.0
Total Cash From Operating Activities,-61263000.0,-41731000.0,-35722000.0
Depreciation,8735000.0,6736000.0,5681000.0
Other Cashflows From Financing Activities,676863000.0,676863000.0,1685000.0
Change To Netincome,1620060000.0,3998000.0,3728000.0
Capital Expenditures,-24093000.0,-9846000.0,-7402000.0
Net Borrowings,,,-578000.0
Repurchase Of Stock,,,-4189000.0
