Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Short Term Investments,Accounts Payable,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Total Cash From Operating Activities,Depreciation,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Net Borrowings,Repurchase Of Stock
2020-08-17,9.850000381469728,9.899999618530272,9.850000381469728,9.899999618530272,9.899999618530272,280200,QS,1.8060605908812168,1.8292930614314635,5.816162025226711,444440000.0,20122000.0,148692000.0,1710000.0,873000.0,172384000.0,24000.0,-295862000.0,436000.0,90000.0,2774000.0,22822000.0,7223000.0,90000.0,38434000.0,131176000.0,148692000.0,107099000.0,2851000.0,43147000.0,319000.0,33301000.0,394000.0,-1501000.0,394000.0,-51283000.0,-8036000.0,-41731000.0,6736000.0,676863000.0,3998000.0,-9846000.0,,
2020-08-18,9.9399995803833,9.9399995803833,9.800000190734863,9.859999656677246,9.859999656677246,11300,QS,1.8103449293105816,2.0283976365512237,5.5709941397388265,444440000.0,20122000.0,148692000.0,1710000.0,873000.0,172384000.0,24000.0,-295862000.0,436000.0,90000.0,2774000.0,22822000.0,7223000.0,90000.0,38434000.0,131176000.0,148692000.0,107099000.0,2851000.0,43147000.0,319000.0,33301000.0,394000.0,-1501000.0,394000.0,-51283000.0,-8036000.0,-41731000.0,6736000.0,676863000.0,3998000.0,-9846000.0,,
2020-08-19,9.829999923706056,9.829999923706056,9.81999969482422,9.81999969482422,9.81999969482422,900,QS,1.868635534799596,2.0509164985273403,5.874745460238188,444440000.0,20122000.0,148692000.0,1710000.0,873000.0,172384000.0,24000.0,-295862000.0,436000.0,90000.0,2774000.0,22822000.0,7223000.0,90000.0,38434000.0,131176000.0,148692000.0,107099000.0,2851000.0,43147000.0,319000.0,33301000.0,394000.0,-1501000.0,394000.0,-51283000.0,-8036000.0,-41731000.0,6736000.0,676863000.0,3998000.0,-9846000.0,,
2020-08-20,9.850000381469728,9.880000114440918,9.829999923706056,9.880000114440918,9.880000114440918,57300,QS,1.9220647318983108,2.231781273446705,5.555667890066063,444440000.0,20122000.0,148692000.0,1710000.0,873000.0,172384000.0,24000.0,-295862000.0,436000.0,90000.0,2774000.0,22822000.0,7223000.0,90000.0,38434000.0,131176000.0,148692000.0,107099000.0,2851000.0,43147000.0,319000.0,33301000.0,394000.0,-1501000.0,394000.0,-51283000.0,-8036000.0,-41731000.0,6736000.0,676863000.0,3998000.0,-9846000.0,,
2020-08-21,9.880000114440918,9.880000114440918,9.739999771118164,9.79300022125244,9.79300022125244,55700,QS,1.7093841920670625,2.208720379054613,4.944347704992987,444440000.0,20122000.0,148692000.0,1710000.0,873000.0,172384000.0,24000.0,-295862000.0,436000.0,90000.0,2774000.0,22822000.0,7223000.0,90000.0,38434000.0,131176000.0,148692000.0,107099000.0,2851000.0,43147000.0,319000.0,33301000.0,394000.0,-1501000.0,394000.0,-51283000.0,-8036000.0,-41731000.0,6736000.0,676863000.0,3998000.0,-9846000.0,,
2020-08-24,9.850000381469728,9.890000343322754,9.800000190734863,9.800000190734863,9.800000190734863,3200,QS,1.6326530294485866,2.397959137002611,4.479591905251485,444440000.0,20122000.0,148692000.0,1710000.0,873000.0,172384000.0,24000.0,-295862000.0,436000.0,90000.0,2774000.0,22822000.0,7223000.0,90000.0,38434000.0,131176000.0,148692000.0,107099000.0,2851000.0,43147000.0,319000.0,33301000.0,394000.0,-1501000.0,394000.0,-51283000.0,-8036000.0,-41731000.0,6736000.0,676863000.0,3998000.0,-9846000.0,,
2020-08-25,9.850000381469728,9.899999618530272,9.800000190734863,9.8100004196167,9.8100004196167,16800,QS,1.7482159923496077,3.771661408496217,4.5249742600299365,444440000.0,20122000.0,148692000.0,1710000.0,873000.0,172384000.0,24000.0,-295862000.0,436000.0,90000.0,2774000.0,22822000.0,7223000.0,90000.0,38434000.0,131176000.0,148692000.0,107099000.0,2851000.0,43147000.0,319000.0,33301000.0,394000.0,-1501000.0,394000.0,-51283000.0,-8036000.0,-41731000.0,6736000.0,676863000.0,3998000.0,-9846000.0,,
2020-08-26,9.850000381469728,9.899999618530272,9.800000190734863,9.829999923706056,9.829999923706056,18200,QS,1.8168871565583975,4.781281827546576,4.768056896811661,444440000.0,20122000.0,148692000.0,1710000.0,873000.0,172384000.0,24000.0,-295862000.0,436000.0,90000.0,2774000.0,22822000.0,7223000.0,90000.0,38434000.0,131176000.0,148692000.0,107099000.0,2851000.0,43147000.0,319000.0,33301000.0,394000.0,-1501000.0,394000.0,-51283000.0,-8036000.0,-41731000.0,6736000.0,676863000.0,3998000.0,-9846000.0,,
2020-08-27,9.859999656677246,9.869999885559082,9.850000381469728,9.850000381469728,9.850000381469728,4800,QS,1.7157359354344115,3.5959387611374143,5.398984593464629,444440000.0,20122000.0,148692000.0,1710000.0,873000.0,172384000.0,24000.0,-295862000.0,436000.0,90000.0,2774000.0,22822000.0,7223000.0,90000.0,38434000.0,131176000.0,148692000.0,107099000.0,2851000.0,43147000.0,319000.0,33301000.0,394000.0,-1501000.0,394000.0,-51283000.0,-8036000.0,-41731000.0,6736000.0,676863000.0,3998000.0,-9846000.0,,
2020-08-28,9.84000015258789,9.899999618530272,9.81999969482422,9.885000228881836,9.885000228881836,118600,QS,1.6944865566173806,3.814870835742844,5.292867828364483,444440000.0,20122000.0,148692000.0,1710000.0,873000.0,172384000.0,24000.0,-295862000.0,436000.0,90000.0,2774000.0,22822000.0,7223000.0,90000.0,38434000.0,131176000.0,148692000.0,107099000.0,2851000.0,43147000.0,319000.0,33301000.0,394000.0,-1501000.0,394000.0,-51283000.0,-8036000.0,-41731000.0,6736000.0,676863000.0,3998000.0,-9846000.0,,
