Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Other Assets,Cash,Total Current Liabilities,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Total Cash From Operating Activities,Depreciation,Change To Inventory,Change To Account Receivables,Change To Netincome,Capital Expenditures,Other Cashflows From Financing Activities,Repurchase Of Stock
2020-06-12,27.5,29.1200008392334,26.75,27.14999961853028,27.14999961853028,21832400,AZEK,1.14953957727393,1.2471455280331425,1.4246777476481476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-15,26.739999771118164,29.5,26.34600067138672,29.5,29.5,3226200,AZEK,1.0677966101694916,1.1210169388076006,1.30542367191638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-16,30.0,30.5,28.559999465942383,29.700000762939453,29.700000762939453,4037900,AZEK,1.07508415774248,1.0905723420069957,1.3144781115373785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,29.700000762939453,30.200000762939453,28.63999938964844,29.5,29.5,1360500,AZEK,1.0894915047338454,1.0864406521037473,1.3125424142611228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-18,29.440000534057617,30.299999237060547,28.950000762939453,30.229999542236328,30.229999542236328,3809500,AZEK,1.059543475498425,1.0678134061562374,1.2983791132765723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-19,30.26000022888184,31.0,29.809999465942383,30.39999961853028,30.39999961853028,772400,AZEK,1.0519736823530408,1.057236835294483,1.2641447627437084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-22,30.36000061035156,30.39999961853028,29.700000762939453,30.0,30.0,651900,AZEK,1.093999989827474,1.0990000406901042,1.2706666310628256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-23,30.0,32.18000030517578,30.0,31.559999465942383,31.559999465942383,1009000,AZEK,1.0266160353026306,1.0636882212577634,1.2332065534711238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-24,30.670000076293945,31.32999992370605,30.55900001525879,31.14999961853028,31.14999961853028,779300,AZEK,1.096950195422106,1.1097913360570149,1.2343499593517364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-25,31.100000381469727,31.26000022888184,30.76000022888184,30.89999961853028,30.89999961853028,1223800,AZEK,1.100323638179293,1.1207120225123928,1.216828444605317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-26,30.6299991607666,31.040000915527344,30.38999938964844,31.0,31.0,426100,AZEK,1.0825806894610006,1.122903270106162,1.2119354740265875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-29,30.950000762939453,33.45000076293945,30.479999542236328,32.119998931884766,32.119998931884766,982600,AZEK,1.0709838938297982,1.101183066876562,1.2042341715889366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-30,32.119998931884766,32.20000076293945,31.2509994506836,31.86000061035156,31.86000061035156,485100,AZEK,1.0828625027957686,1.09981168374939,1.2532956541187954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
