,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Investments,-80491000.0,-5000000.0,418000.0,418000.0
Change To Liabilities,2428000.0,-1685000.0,-772000.0,1221000.0
Total Cashflows From Investing Activities,-167154000.0,-145369000.0,-112123000.0,-36151000.0
Net Borrowings,-18000.0,-9000.0,-3494000.0,-103000.0
Total Cash From Financing Activities,-765000.0,20363000.0,23001000.0,49746000.0
Change To Operating Activities,2663000.0,-33449000.0,43521000.0,48864000.0
Issuance Of Stock,26410000.0,37003000.0,34845000.0,53984000.0
Net Income,327160000.0,261057000.0,240256000.0,72760000.0
Change In Cash,385845000.0,165977000.0,188856000.0,218191000.0
Repurchase Of Stock,-20132000.0,-15503000.0,-7747000.0,-3194000.0
Effect Of Exchange Rate,9357000.0,3530000.0,-14240000.0,11776000.0
Total Cash From Operating Activities,544407000.0,287453000.0,292218000.0,192820000.0
Depreciation,128175000.0,100690000.0,37050000.0,28562000.0
Other Cashflows From Investing Activities,1018000.0,-1739000.0,-699000.0,465000.0
Change To Account Receivables,4235000.0,-87174000.0,-46902000.0,-81488000.0
Other Cashflows From Financing Activities,-7025000.0,-1128000.0,-603000.0,-941000.0
Change To Netincome,64293000.0,70655000.0,9914000.0,61009000.0
Capital Expenditures,-68793000.0,-99308000.0,-37574000.0,-29806000.0
