,2020-12-31,2019-12-31,2018-12-31
Investments,-6000000.0,-162000000.0,-341000000.0
Change To Liabilities,54000000.0,-13000000.0,25000000.0
Total Cashflows From Investing Activities,-192000000.0,-570000000.0,-357000000.0
Net Borrowings,333000000.0,333000000.0,333000000.0
Total Cash From Financing Activities,3996000000.0,1109000000.0,666000000.0
Change To Operating Activities,360000000.0,110000000.0,4000000.0
Issuance Of Stock,3294000000.0,3000000.0,5000000.0
Net Income,-461000000.0,-667000000.0,-204000000.0
Change In Cash,4058000000.0,72000000.0,150000000.0
Repurchase Of Stock,-7000000.0,-7000000.0,-60000000.0
Effect Of Exchange Rate,2000000.0,2000000.0,2000000.0
Total Cash From Operating Activities,252000000.0,-467000000.0,-159000000.0
Depreciation,88000000.0,21000000.0,6000000.0
Other Cashflows From Investing Activities,1000000.0,-1000000.0,-1000000.0
Change To Account Receivables,-248000000.0,-40000000.0,-17000000.0
Other Cashflows From Financing Activities,-6000000.0,-5000000.0,-4000000.0
Change To Netincome,442000000.0,111000000.0,24000000.0
Capital Expenditures,-106000000.0,-78000000.0,-13000000.0
