Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Deferred Long Term Liab,Other Current Liab,Total Assets,Other Current Assets,Retained Earnings,Other Liab,Good Will,Other Assets,Cash,Total Current Liabilities,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Short Term Investments,Net Receivables,Accounts Payable,Common Stock,Treasury Stock,Other Stockholder Equity,Long Term Debt,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Change To Account Receivables,Change To Netincome,Capital Expenditures,Net Borrowings,Other Cashflows From Financing Activities,Effect Of Exchange Rate
2020-12-09,182.0,195.5,163.8000030517578,189.509994506836,189.509994506836,25373700,DASH,1.0130864390175405,0.7060313805609414,0.9139887696404276,1.0711936781318203,-0.0581072391142798,-0.4612665325635395,-0.2861021960385461,59000000.0,87000000.0,1441000000.0,-1213000000.0,36000000.0,436000000.0,2874000000.0,94000000.0,-1301000000.0,12000000.0,306000000.0,133000000.0,1096000000.0,834000000.0,386000000.0,1990000000.0,-1578000000.0,515000000.0,189000000.0,31000000.0,,1000000.0,1000000.0,355000000.0,1000000.0,0.0,-63000000.0,3282000000.0,-46000000.0,3290000000.0,-43000000.0,3158000000.0,-7000000.0,-63000000.0,9000000.0,1000000.0,-109000000.0,346000000.0,-20000000.0,-333000000.0,-1000000.0,2000000.0
2020-12-10,179.7100067138672,187.69500732421875,172.63600158691406,186.0,186.0,9307600,DASH,1.064516129032258,0.7022580382644489,0.962258041545909,1.062316503263218,0.0021996257690399,-0.4406840478729196,-0.2368647856097299,59000000.0,87000000.0,1441000000.0,-1213000000.0,36000000.0,436000000.0,2874000000.0,94000000.0,-1301000000.0,12000000.0,306000000.0,133000000.0,1096000000.0,834000000.0,386000000.0,1990000000.0,-1578000000.0,515000000.0,189000000.0,31000000.0,,1000000.0,1000000.0,355000000.0,1000000.0,0.0,-63000000.0,3282000000.0,-46000000.0,3290000000.0,-43000000.0,3158000000.0,-7000000.0,-63000000.0,9000000.0,1000000.0,-109000000.0,346000000.0,-20000000.0,-333000000.0,-1000000.0,2000000.0
2020-12-11,176.52000427246094,182.0,168.25,175.0,175.0,4760600,DASH,1.1842286028180806,0.7715999930245536,0.9944571358816964,1.073775639924845,0.1104529628932355,-0.3786246054212863,-0.2106429435198283,59000000.0,87000000.0,1441000000.0,-1213000000.0,36000000.0,436000000.0,2874000000.0,94000000.0,-1301000000.0,12000000.0,306000000.0,133000000.0,1096000000.0,834000000.0,386000000.0,1990000000.0,-1578000000.0,515000000.0,189000000.0,31000000.0,,1000000.0,1000000.0,355000000.0,1000000.0,0.0,-63000000.0,3282000000.0,-46000000.0,3290000000.0,-43000000.0,3158000000.0,-7000000.0,-63000000.0,9000000.0,1000000.0,-109000000.0,346000000.0,-20000000.0,-333000000.0,-1000000.0,2000000.0
2020-12-14,169.10000610351562,170.0,151.1999969482422,160.0,160.0,7859600,DASH,1.1696874618530275,0.8494375228881836,1.0956250190734864,1.0697624410001334,0.0999250208528941,-0.3065526985420028,-0.1258330028551142,59000000.0,87000000.0,1441000000.0,-1213000000.0,36000000.0,436000000.0,2874000000.0,94000000.0,-1301000000.0,12000000.0,306000000.0,133000000.0,1096000000.0,834000000.0,386000000.0,1990000000.0,-1578000000.0,515000000.0,189000000.0,31000000.0,,1000000.0,1000000.0,355000000.0,1000000.0,0.0,-63000000.0,3282000000.0,-46000000.0,3290000000.0,-43000000.0,3158000000.0,-7000000.0,-63000000.0,9000000.0,1000000.0,-109000000.0,346000000.0,-20000000.0,-333000000.0,-1000000.0,2000000.0
2020-12-15,157.10000610351562,161.4199981689453,153.75999450683594,158.88999938964844,158.88999938964844,5017000,DASH,1.2508653833687935,0.8292529109004453,1.1122160104446217,1.0593177594136232,0.1915476239551703,-0.2818382380665803,-0.0988533831875861,59000000.0,87000000.0,1441000000.0,-1213000000.0,36000000.0,436000000.0,2874000000.0,94000000.0,-1301000000.0,12000000.0,306000000.0,133000000.0,1096000000.0,834000000.0,386000000.0,1990000000.0,-1578000000.0,515000000.0,189000000.0,31000000.0,,1000000.0,1000000.0,355000000.0,1000000.0,0.0,-63000000.0,3282000000.0,-46000000.0,3290000000.0,-43000000.0,3158000000.0,-7000000.0,-63000000.0,9000000.0,1000000.0,-109000000.0,346000000.0,-20000000.0,-333000000.0,-1000000.0,2000000.0
2020-12-16,161.17999267578125,167.47000122070312,157.1999969482422,158.0500030517578,158.0500030517578,3061300,DASH,1.1987345969985417,0.7942423053176951,1.1110408270350405,1.0685424132795076,0.130192183719034,-0.3062255126658953,-0.0966421707266627,59000000.0,87000000.0,1441000000.0,-1213000000.0,36000000.0,436000000.0,2874000000.0,94000000.0,-1301000000.0,12000000.0,306000000.0,133000000.0,1096000000.0,834000000.0,386000000.0,1990000000.0,-1578000000.0,515000000.0,189000000.0,31000000.0,,1000000.0,1000000.0,355000000.0,1000000.0,0.0,-63000000.0,3282000000.0,-46000000.0,3290000000.0,-43000000.0,3158000000.0,-7000000.0,-63000000.0,9000000.0,1000000.0,-109000000.0,346000000.0,-20000000.0,-333000000.0,-1000000.0,2000000.0
2020-12-17,159.10000610351562,161.66000366210938,149.9499969482422,154.2100067138672,154.2100067138672,6369800,DASH,1.2378574092395966,0.8543544145255038,1.192594485799808,1.0520021356846316,0.185855273554965,-0.2540926838842119,-0.0007711253947471,59000000.0,87000000.0,1441000000.0,-1213000000.0,36000000.0,436000000.0,2874000000.0,94000000.0,-1301000000.0,12000000.0,306000000.0,133000000.0,1096000000.0,834000000.0,386000000.0,1990000000.0,-1578000000.0,515000000.0,189000000.0,31000000.0,,1000000.0,1000000.0,355000000.0,1000000.0,0.0,-63000000.0,3282000000.0,-46000000.0,3290000000.0,-43000000.0,3158000000.0,-7000000.0,-63000000.0,9000000.0,1000000.0,-109000000.0,346000000.0,-20000000.0,-333000000.0,-1000000.0,2000000.0
2020-12-18,154.2100067138672,169.9499969482422,147.32000732421875,166.35000610351562,166.35000610351562,8157800,DASH,1.1541929242883406,0.8055905596026532,1.0720168036548443,1.0541479277304715,0.1000449965578689,-0.3230745120029455,-0.1245152290502653,59000000.0,87000000.0,1441000000.0,-1213000000.0,36000000.0,436000000.0,2874000000.0,94000000.0,-1301000000.0,12000000.0,306000000.0,133000000.0,1096000000.0,834000000.0,386000000.0,1990000000.0,-1578000000.0,515000000.0,189000000.0,31000000.0,,1000000.0,1000000.0,355000000.0,1000000.0,0.0,-63000000.0,3282000000.0,-46000000.0,3290000000.0,-43000000.0,3158000000.0,-7000000.0,-63000000.0,9000000.0,1000000.0,-109000000.0,346000000.0,-20000000.0,-333000000.0,-1000000.0,2000000.0
2020-12-21,169.07000732421875,173.4600067138672,155.0,160.22999572753906,160.22999572753906,3884200,DASH,1.1970916973920067,0.8112088821905843,1.1270673478951625,1.057296658195766,0.1397950391962408,-0.3091807136017817,-0.0810661309830154,59000000.0,87000000.0,1441000000.0,-1213000000.0,36000000.0,436000000.0,2874000000.0,94000000.0,-1301000000.0,12000000.0,306000000.0,133000000.0,1096000000.0,834000000.0,386000000.0,1990000000.0,-1578000000.0,515000000.0,189000000.0,31000000.0,,1000000.0,1000000.0,355000000.0,1000000.0,0.0,-63000000.0,3282000000.0,-46000000.0,3290000000.0,-43000000.0,3158000000.0,-7000000.0,-63000000.0,9000000.0,1000000.0,-109000000.0,346000000.0,-20000000.0,-333000000.0,-1000000.0,2000000.0
2020-12-22,161.0500030517578,163.2100067138672,153.4219970703125,156.7899932861328,156.7899932861328,2386700,DASH,1.2642388526604686,0.8329613603922927,1.1665923304704082,1.051384072668894,0.2128547799915745,-0.2924335266711606,-0.0389464369795626,59000000.0,87000000.0,1441000000.0,-1213000000.0,36000000.0,436000000.0,2874000000.0,94000000.0,-1301000000.0,12000000.0,306000000.0,133000000.0,1096000000.0,834000000.0,386000000.0,1990000000.0,-1578000000.0,515000000.0,189000000.0,31000000.0,,1000000.0,1000000.0,355000000.0,1000000.0,0.0,-63000000.0,3282000000.0,-46000000.0,3290000000.0,-43000000.0,3158000000.0,-7000000.0,-63000000.0,9000000.0,1000000.0,-109000000.0,346000000.0,-20000000.0,-333000000.0,-1000000.0,2000000.0
