Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,Intangible Assets,Total Liab,Total Stockholder Equity,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Other Assets,Cash,Total Current Liabilities,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Short Term Investments,Net Receivables,Accounts Payable,Capital Surplus,Treasury Stock,Other Stockholder Equity,Long Term Investments,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-12-09,182.0,195.5,163.8000030517578,189.509994506836,189.509994506836,25373700,DASH,1.0130864390175405,0.7060313805609414,0.9139887696404276,103000000.0,550000000.0,-1082000000.0,22000000.0,215000000.0,1732000000.0,70000000.0,54000000.0,-1152000000.0,1000000.0,306000000.0,58000000.0,257000000.0,382000000.0,267000000.0,998000000.0,-1491000000.0,508000000.0,87000000.0,20000000.0,,,,,-162000000.0,-13000000.0,-570000000.0,333000000.0,1109000000.0,110000000.0,3000000.0,-667000000.0,72000000.0,-7000000.0,2000000.0,-467000000.0,21000000.0,-1000000.0,-40000000.0,-5000000.0,111000000.0,-78000000.0
2020-12-10,179.7100067138672,187.69500732421875,172.63600158691406,186.0,186.0,9307600,DASH,1.064516129032258,0.7022580382644489,0.962258041545909,103000000.0,550000000.0,-1082000000.0,22000000.0,215000000.0,1732000000.0,70000000.0,54000000.0,-1152000000.0,1000000.0,306000000.0,58000000.0,257000000.0,382000000.0,267000000.0,998000000.0,-1491000000.0,508000000.0,87000000.0,20000000.0,,,,,-162000000.0,-13000000.0,-570000000.0,333000000.0,1109000000.0,110000000.0,3000000.0,-667000000.0,72000000.0,-7000000.0,2000000.0,-467000000.0,21000000.0,-1000000.0,-40000000.0,-5000000.0,111000000.0,-78000000.0
2020-12-11,176.52000427246094,182.0,168.25,175.0,175.0,4760600,DASH,1.1842286028180806,0.7715999930245536,0.9944571358816964,103000000.0,550000000.0,-1082000000.0,22000000.0,215000000.0,1732000000.0,70000000.0,54000000.0,-1152000000.0,1000000.0,306000000.0,58000000.0,257000000.0,382000000.0,267000000.0,998000000.0,-1491000000.0,508000000.0,87000000.0,20000000.0,,,,,-162000000.0,-13000000.0,-570000000.0,333000000.0,1109000000.0,110000000.0,3000000.0,-667000000.0,72000000.0,-7000000.0,2000000.0,-467000000.0,21000000.0,-1000000.0,-40000000.0,-5000000.0,111000000.0,-78000000.0
2020-12-14,169.10000610351562,170.0,151.1999969482422,160.0,160.0,7859600,DASH,1.1696874618530275,0.8494375228881836,1.0956250190734864,103000000.0,550000000.0,-1082000000.0,22000000.0,215000000.0,1732000000.0,70000000.0,54000000.0,-1152000000.0,1000000.0,306000000.0,58000000.0,257000000.0,382000000.0,267000000.0,998000000.0,-1491000000.0,508000000.0,87000000.0,20000000.0,,,,,-162000000.0,-13000000.0,-570000000.0,333000000.0,1109000000.0,110000000.0,3000000.0,-667000000.0,72000000.0,-7000000.0,2000000.0,-467000000.0,21000000.0,-1000000.0,-40000000.0,-5000000.0,111000000.0,-78000000.0
2020-12-15,157.10000610351562,161.4199981689453,153.75999450683594,158.88999938964844,158.88999938964844,5017000,DASH,1.2508653833687935,0.8292529109004453,1.1122160104446217,103000000.0,550000000.0,-1082000000.0,22000000.0,215000000.0,1732000000.0,70000000.0,54000000.0,-1152000000.0,1000000.0,306000000.0,58000000.0,257000000.0,382000000.0,267000000.0,998000000.0,-1491000000.0,508000000.0,87000000.0,20000000.0,,,,,-162000000.0,-13000000.0,-570000000.0,333000000.0,1109000000.0,110000000.0,3000000.0,-667000000.0,72000000.0,-7000000.0,2000000.0,-467000000.0,21000000.0,-1000000.0,-40000000.0,-5000000.0,111000000.0,-78000000.0
2020-12-16,161.17999267578125,167.47000122070312,157.1999969482422,158.0500030517578,158.0500030517578,3061300,DASH,1.1987345969985417,0.7942423053176951,1.1110408270350405,103000000.0,550000000.0,-1082000000.0,22000000.0,215000000.0,1732000000.0,70000000.0,54000000.0,-1152000000.0,1000000.0,306000000.0,58000000.0,257000000.0,382000000.0,267000000.0,998000000.0,-1491000000.0,508000000.0,87000000.0,20000000.0,,,,,-162000000.0,-13000000.0,-570000000.0,333000000.0,1109000000.0,110000000.0,3000000.0,-667000000.0,72000000.0,-7000000.0,2000000.0,-467000000.0,21000000.0,-1000000.0,-40000000.0,-5000000.0,111000000.0,-78000000.0
2020-12-17,159.10000610351562,161.66000366210938,149.9499969482422,154.2100067138672,154.2100067138672,6369800,DASH,1.2378574092395966,0.8543544145255038,1.192594485799808,103000000.0,550000000.0,-1082000000.0,22000000.0,215000000.0,1732000000.0,70000000.0,54000000.0,-1152000000.0,1000000.0,306000000.0,58000000.0,257000000.0,382000000.0,267000000.0,998000000.0,-1491000000.0,508000000.0,87000000.0,20000000.0,,,,,-162000000.0,-13000000.0,-570000000.0,333000000.0,1109000000.0,110000000.0,3000000.0,-667000000.0,72000000.0,-7000000.0,2000000.0,-467000000.0,21000000.0,-1000000.0,-40000000.0,-5000000.0,111000000.0,-78000000.0
2020-12-18,154.2100067138672,169.9499969482422,147.32000732421875,166.35000610351562,166.35000610351562,8157800,DASH,1.1541929242883406,0.8055905596026532,1.0720168036548443,103000000.0,550000000.0,-1082000000.0,22000000.0,215000000.0,1732000000.0,70000000.0,54000000.0,-1152000000.0,1000000.0,306000000.0,58000000.0,257000000.0,382000000.0,267000000.0,998000000.0,-1491000000.0,508000000.0,87000000.0,20000000.0,,,,,-162000000.0,-13000000.0,-570000000.0,333000000.0,1109000000.0,110000000.0,3000000.0,-667000000.0,72000000.0,-7000000.0,2000000.0,-467000000.0,21000000.0,-1000000.0,-40000000.0,-5000000.0,111000000.0,-78000000.0
2020-12-21,169.07000732421875,173.4600067138672,155.0,160.22999572753906,160.22999572753906,3884200,DASH,1.1970916973920067,0.8112088821905843,1.1270673478951625,103000000.0,550000000.0,-1082000000.0,22000000.0,215000000.0,1732000000.0,70000000.0,54000000.0,-1152000000.0,1000000.0,306000000.0,58000000.0,257000000.0,382000000.0,267000000.0,998000000.0,-1491000000.0,508000000.0,87000000.0,20000000.0,,,,,-162000000.0,-13000000.0,-570000000.0,333000000.0,1109000000.0,110000000.0,3000000.0,-667000000.0,72000000.0,-7000000.0,2000000.0,-467000000.0,21000000.0,-1000000.0,-40000000.0,-5000000.0,111000000.0,-78000000.0
2020-12-22,161.0500030517578,163.2100067138672,153.4219970703125,156.7899932861328,156.7899932861328,2386700,DASH,1.2642388526604686,0.8329613603922927,1.1665923304704082,103000000.0,550000000.0,-1082000000.0,22000000.0,215000000.0,1732000000.0,70000000.0,54000000.0,-1152000000.0,1000000.0,306000000.0,58000000.0,257000000.0,382000000.0,267000000.0,998000000.0,-1491000000.0,508000000.0,87000000.0,20000000.0,,,,,-162000000.0,-13000000.0,-570000000.0,333000000.0,1109000000.0,110000000.0,3000000.0,-667000000.0,72000000.0,-7000000.0,2000000.0,-467000000.0,21000000.0,-1000000.0,-40000000.0,-5000000.0,111000000.0,-78000000.0
2020-12-23,155.0,161.55999755859375,150.25,158.22000122070312,158.22000122070312,1759900,DASH,1.2202629619178356,0.8287827320889574,1.1551637142102702,103000000.0,550000000.0,-1082000000.0,22000000.0,215000000.0,1732000000.0,70000000.0,54000000.0,-1152000000.0,1000000.0,306000000.0,58000000.0,257000000.0,382000000.0,267000000.0,998000000.0,-1491000000.0,508000000.0,87000000.0,20000000.0,,,,,-162000000.0,-13000000.0,-570000000.0,333000000.0,1109000000.0,110000000.0,3000000.0,-667000000.0,72000000.0,-7000000.0,2000000.0,-467000000.0,21000000.0,-1000000.0,-40000000.0,-5000000.0,111000000.0,-78000000.0
2020-12-24,157.3800048828125,158.60000610351562,153.07000732421875,158.4600067138672,158.4600067138672,673000,DASH,1.1599141440379168,0.840212001442488,1.1684335860897166,103000000.0,550000000.0,-1082000000.0,22000000.0,215000000.0,1732000000.0,70000000.0,54000000.0,-1152000000.0,1000000.0,306000000.0,58000000.0,257000000.0,382000000.0,267000000.0,998000000.0,-1491000000.0,508000000.0,87000000.0,20000000.0,,,,,-162000000.0,-13000000.0,-570000000.0,333000000.0,1109000000.0,110000000.0,3000000.0,-667000000.0,72000000.0,-7000000.0,2000000.0,-467000000.0,21000000.0,-1000000.0,-40000000.0,-5000000.0,111000000.0,-78000000.0
2020-12-28,158.25,158.4499969482422,141.5050048828125,147.88999938964844,147.88999938964844,3807700,DASH,1.3068497198600222,0.9030360646624336,1.2073838548618727,103000000.0,550000000.0,-1082000000.0,22000000.0,215000000.0,1732000000.0,70000000.0,54000000.0,-1152000000.0,1000000.0,306000000.0,58000000.0,257000000.0,382000000.0,267000000.0,998000000.0,-1491000000.0,508000000.0,87000000.0,20000000.0,,,,,-162000000.0,-13000000.0,-570000000.0,333000000.0,1109000000.0,110000000.0,3000000.0,-667000000.0,72000000.0,-7000000.0,2000000.0,-467000000.0,21000000.0,-1000000.0,-40000000.0,-5000000.0,111000000.0,-78000000.0
2020-12-29,146.1199951171875,147.39999389648438,139.63999938964844,141.27000427246094,141.27000427246094,3849500,DASH,1.3532242683326077,0.9279393528230055,1.2757838909662504,103000000.0,550000000.0,-1082000000.0,22000000.0,215000000.0,1732000000.0,70000000.0,54000000.0,-1152000000.0,1000000.0,306000000.0,58000000.0,257000000.0,382000000.0,267000000.0,998000000.0,-1491000000.0,508000000.0,87000000.0,20000000.0,,,,,-162000000.0,-13000000.0,-570000000.0,333000000.0,1109000000.0,110000000.0,3000000.0,-667000000.0,72000000.0,-7000000.0,2000000.0,-467000000.0,21000000.0,-1000000.0,-40000000.0,-5000000.0,111000000.0,-78000000.0
2020-12-30,144.39999389648438,147.97999572753906,139.8000030517578,140.1999969482422,140.1999969482422,3121100,DASH,1.301925839889153,0.9094151410507472,1.263766023769537,103000000.0,550000000.0,-1082000000.0,22000000.0,215000000.0,1732000000.0,70000000.0,54000000.0,-1152000000.0,1000000.0,306000000.0,58000000.0,257000000.0,382000000.0,267000000.0,998000000.0,-1491000000.0,508000000.0,87000000.0,20000000.0,,,,,-162000000.0,-13000000.0,-570000000.0,333000000.0,1109000000.0,110000000.0,3000000.0,-667000000.0,72000000.0,-7000000.0,2000000.0,-467000000.0,21000000.0,-1000000.0,-40000000.0,-5000000.0,111000000.0,-78000000.0
2020-12-31,140.1999969482422,146.5,135.3800048828125,142.75,142.75,2637300,DASH,1.2650087693944287,0.8976532356542798,1.2363573064319724,74000000.0,1653000000.0,4700000000.0,27000000.0,538000000.0,6353000000.0,6313000000.0,162000000.0,-1613000000.0,13000000.0,316000000.0,33000000.0,4345000000.0,1402000000.0,413000000.0,5517000000.0,4310000000.0,514000000.0,301000000.0,80000000.0,,,,,-6000000.0,54000000.0,-192000000.0,333000000.0,3996000000.0,360000000.0,3294000000.0,-461000000.0,4058000000.0,-7000000.0,2000000.0,252000000.0,88000000.0,1000000.0,-248000000.0,-6000000.0,442000000.0,-106000000.0
2021-01-04,142.5,143.6199951171875,137.1699981689453,139.19000244140625,139.19000244140625,2026400,DASH,1.3602270171002795,1.0094115779554298,1.2165385362525318,74000000.0,1653000000.0,4700000000.0,27000000.0,538000000.0,6353000000.0,6313000000.0,162000000.0,-1613000000.0,13000000.0,316000000.0,33000000.0,4345000000.0,1402000000.0,413000000.0,5517000000.0,4310000000.0,514000000.0,301000000.0,80000000.0,,,,,-6000000.0,54000000.0,-192000000.0,333000000.0,3996000000.0,360000000.0,3294000000.0,-461000000.0,4058000000.0,-7000000.0,2000000.0,252000000.0,88000000.0,1000000.0,-248000000.0,-6000000.0,442000000.0,-106000000.0
2021-01-05,138.0,146.1199951171875,137.8350067138672,144.42999267578125,144.42999267578125,1031800,DASH,1.2547947442908691,1.023540880202811,1.1585543883996432,74000000.0,1653000000.0,4700000000.0,27000000.0,538000000.0,6353000000.0,6313000000.0,162000000.0,-1613000000.0,13000000.0,316000000.0,33000000.0,4345000000.0,1402000000.0,413000000.0,5517000000.0,4310000000.0,514000000.0,301000000.0,80000000.0,,,,,-6000000.0,54000000.0,-192000000.0,333000000.0,3996000000.0,360000000.0,3294000000.0,-461000000.0,4058000000.0,-7000000.0,2000000.0,252000000.0,88000000.0,1000000.0,-248000000.0,-6000000.0,442000000.0,-106000000.0
2021-01-06,141.27000427246094,142.0,138.2100067138672,140.00999450683594,140.00999450683594,1931400,DASH,1.267266621220518,1.0674952687507595,1.1953432410296985,74000000.0,1653000000.0,4700000000.0,27000000.0,538000000.0,6353000000.0,6313000000.0,162000000.0,-1613000000.0,13000000.0,316000000.0,33000000.0,4345000000.0,1402000000.0,413000000.0,5517000000.0,4310000000.0,514000000.0,301000000.0,80000000.0,,,,,-6000000.0,54000000.0,-192000000.0,333000000.0,3996000000.0,360000000.0,3294000000.0,-461000000.0,4058000000.0,-7000000.0,2000000.0,252000000.0,88000000.0,1000000.0,-248000000.0,-6000000.0,442000000.0,-106000000.0
2021-01-07,140.0,154.63999938964844,139.43499755859375,152.77000427246094,152.77000427246094,3215200,DASH,1.228971622368703,0.9403023491462938,1.148785724238122,74000000.0,1653000000.0,4700000000.0,27000000.0,538000000.0,6353000000.0,6313000000.0,162000000.0,-1613000000.0,13000000.0,316000000.0,33000000.0,4345000000.0,1402000000.0,413000000.0,5517000000.0,4310000000.0,514000000.0,301000000.0,80000000.0,,,,,-6000000.0,54000000.0,-192000000.0,333000000.0,3996000000.0,360000000.0,3294000000.0,-461000000.0,4058000000.0,-7000000.0,2000000.0,252000000.0,88000000.0,1000000.0,-248000000.0,-6000000.0,442000000.0,-106000000.0
