Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Change To Netincome,Capital Expenditures,Other Cashflows From Financing Activities
2017-09-29,51.45000076293945,51.650001525878906,51.09999847412109,51.25,49.82380676269531,231400,AWI,0.997073197697085,1.229268451786125,1.100487925437937,1.0206479989635429,-0.0235748012664578,0.1390080630636789,0.011194726446734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-02,51.25,51.75,51.0,51.70000076293945,50.26128005981445,323600,AWI,0.9961317404708808,1.2292070709297795,1.0870409624753703,1.012478214064533,-0.0163464735936521,0.1404995151683798,-0.0020899160015634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-03,51.95000076293945,52.04999923706055,51.04999923706055,51.54999923706055,50.11545944213867,401300,AWI,0.9941803850011574,1.2376335559967535,1.0931134593906116,1.0113391723313174,-0.01715878733016,0.1476701809918514,0.0113128171700394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-04,51.54999923706055,52.0,51.150001525878906,51.84999847412109,50.40711212158203,403500,AWI,0.9903569129589233,1.2295081657058369,1.1012536626143246,1.0126829906128405,-0.0223260776539172,0.1410244786842704,0.0112942960176605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-05,51.95000076293945,52.45000076293945,51.83000183105469,52.34999847412109,50.89319610595703,403300,AWI,0.989493863662632,1.1967527114580492,1.0974212796819751,1.0121464877707815,-0.0226526241081495,0.1139522357749365,-0.000500469089284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-06,52.09999847412109,52.45000076293945,52.09999847412109,52.29999923706055,50.84458923339844,322300,AWI,0.9780115757059028,1.2131930695817807,1.1042064870409534,1.0081446760609294,-0.0301331003550265,0.1182498467547445,0.0036334206051897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-09,52.29999923706055,52.59999847412109,52.150001525878906,52.5,51.03902053833008,302200,AWI,0.9695239152998382,1.196190790244203,1.0666668510273083,1.0143616235707735,-0.0448377082709353,0.0924753652915504,-0.0318152951493886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-10,52.650001525878906,52.84999847412109,52.400001525878906,52.70000076293945,51.23345947265625,268100,AWI,0.9677418874470014,1.1802658179743128,1.0569259145422554,1.008797349947511,-0.0410554625005095,0.0874151418303672,-0.0323713981517002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-11,52.650001525878906,52.900001525878906,52.5,52.84999847412109,51.37928771972656,177800,AWI,0.967833518898382,1.1759696429637387,1.059602686867073,1.0091988628593096,-0.0413653439609276,0.0747374352210323,-0.0284943633259207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-12,53.04999923706055,53.900001525878906,53.0,53.84999847412109,52.3514518737793,753500,AWI,0.9387188612566408,1.152274848201484,1.0259983900748046,1.0112728774332036,-0.0725540161765627,0.0535899223781313,-0.0500367108903248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
