Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Inventory,Accounts Payable,Other Current Liab,Net Receivables,Long Term Debt,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Netincome,Capital Expenditures,Net Borrowings,Effect Of Exchange Rate,Other Cashflows From Financing Activities
2017-09-29,34.86000061035156,35.279998779296875,34.59000015258789,35.220001220703125,31.37271308898925,2789000,FL,0.8621764011766053,1.3273733387150326,1.3302192191222737,1.0206479989635429,-0.1584715977869375,0.2371129499925865,0.2409260201310707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-02,35.18000030517578,35.18000030517578,34.119998931884766,34.75,30.95404052734375,4220600,FL,0.8688993145039644,1.3642096979006253,1.3429481554803204,1.012478214064533,-0.1435788995605685,0.2755021421392256,0.2538172770033866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-03,34.779998779296875,35.08000183105469,34.040000915527344,34.380001068115234,30.624462127685547,3521400,FL,0.8811865666984595,1.379184827539646,1.335826808581295,1.0113391723313174,-0.1301526056328579,0.2892214525347441,0.2540261663607228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-04,34.349998474121094,34.59000015258789,33.790000915527344,33.849998474121094,30.152353286743164,2441200,FL,0.8902120926333572,1.3718511356884393,1.3012119985701378,1.0126829906128405,-0.1224708979794833,0.2833674486668729,0.2112526319734737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-05,33.81999969482422,34.650001525878906,33.56999969482422,34.380001068115234,30.624462127685547,2610800,FL,0.8706159016315232,1.3589242875483978,1.252189986097442,1.0121464877707815,-0.1415305861392582,0.2761238118652851,0.1542682373261827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-06,34.2400016784668,34.79999923706055,34.15999984741211,34.40999984741211,30.651185989379883,2779700,FL,0.8578284359929458,1.3583261631622905,1.2525745254417084,1.0081446760609294,-0.1503162400679836,0.2633829403352543,0.1520014590059448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-09,34.40999984741211,34.56999969482422,33.310001373291016,33.38999938964844,29.74260330200196,1770000,FL,0.9033830350609764,1.4345895038313574,1.2774928833393506,1.0143616235707735,-0.1109785885097971,0.3308740788787048,0.1790107371626537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-10,33.470001220703125,33.90999984741211,33.380001068115234,33.599998474121094,29.929662704467773,2397500,FL,0.9196697655961285,1.4109013754541155,1.2463378397953118,1.008797349947511,-0.0891275843513824,0.3180506993101699,0.1570405271013562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-11,33.599998474121094,33.720001220703125,32.779998779296875,32.93000030517578,29.33286094665528,3914300,FL,0.9301040187160732,1.473635346479035,1.2819612784218757,1.0091988628593096,-0.0790948441432364,0.3724031387363287,0.193864228228882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-12,32.63999938964844,32.689998626708984,31.3799991607666,31.43000030517578,28.262773513793945,4098400,FL,0.9430480151854864,1.5560099779772116,1.3466418470231103,1.0112728774332036,-0.0682248622477171,0.457325052153859,0.2706067460579808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
