,2020-12-31,2019-12-31,2018-12-31
Investments,-1000000.0,-1000000.0,-1000000.0
Change To Liabilities,43600000.0,-54400000.0,5200000.0
Total Cashflows From Investing Activities,-49800000.0,82900000.0,-13100000.0
Net Borrowings,137600000.0,17200000.0,-2000000.0
Total Cash From Financing Activities,33100000.0,-94800000.0,-21900000.0
Change To Operating Activities,9000000.0,9000000.0,700000.0
Issuance Of Stock,2900000.0,3700000.0,3000000.0
Net Income,-14500000.0,-28500000.0,-28900000.0
Change In Cash,26800000.0,29800000.0,600000.0
Repurchase Of Stock,-56900000.0,-8200000.0,-4100000.0
Total Cash From Operating Activities,43500000.0,41700000.0,35600000.0
Depreciation,62300000.0,66000000.0,43000000.0
Dividends Paid,-8200000.0,-22500000.0,-18300000.0
Change To Account Receivables,-92000000.0,36800000.0,-8000000.0
Other Cashflows From Financing Activities,-42300000.0,-85000000.0,-500000.0
Change To Netincome,33300000.0,11300000.0,21900000.0
Capital Expenditures,-13900000.0,-12600000.0,-6600000.0
