,Unnamed: 0,2020-12-31,2019-12-31,2018-12-31
0,Intangible Assets,506900000.0,528500000.0,406000000.0
1,Total Liab,628300000.0,434800000.0,317700000.0
2,Total Stockholder Equity,-71100000.0,-63300000.0,284000000.0
3,Other Current Liab,110600000.0,64400000.0,1400000.0
4,Total Assets,1522300000.0,1392400000.0,601700000.0
5,Common Stock,10900000.0,4200000.0,322800000.0
6,Other Current Assets,4400000.0,22500000.0,
7,Retained Earnings,-82000000.0,-67500000.0,-38800000.0
8,Other Liab,41600000.0,47600000.0,40100000.0
9,Good Will,596700000.0,578800000.0,122500000.0
10,Other Assets,4100000.0,2300000.0,1600000.0
11,Cash,72600000.0,27700000.0,20400000.0
12,Total Current Liabilities,189600000.0,122600000.0,30700000.0
13,Short Long Term Debt,4200000.0,2800000.0,2600000.0
14,Property Plant Equipment,25400000.0,19300000.0,7000000.0
15,Total Current Assets,389200000.0,263500000.0,64600000.0
16,Net Tangible Assets,-1174700000.0,-1170600000.0,-244500000.0
17,Net Receivables,298400000.0,206400000.0,40900000.0
18,Long Term Debt,397100000.0,264600000.0,246900000.0
19,Accounts Payable,700000.0,3500000.0,1600000.0
0,Investments,-1000000.0,-1000000.0,-1000000.0
1,Change To Liabilities,43600000.0,-54400000.0,5200000.0
2,Total Cashflows From Investing Activities,-49800000.0,82900000.0,-13100000.0
3,Net Borrowings,137600000.0,17200000.0,-2000000.0
4,Total Cash From Financing Activities,33100000.0,-94800000.0,-21900000.0
5,Change To Operating Activities,9000000.0,9000000.0,700000.0
6,Issuance Of Stock,2900000.0,3700000.0,3000000.0
7,Net Income,-14500000.0,-28500000.0,-28900000.0
8,Change In Cash,26800000.0,29800000.0,600000.0
9,Repurchase Of Stock,-56900000.0,-8200000.0,-4100000.0
10,Total Cash From Operating Activities,43500000.0,41700000.0,35600000.0
11,Depreciation,62300000.0,66000000.0,43000000.0
12,Dividends Paid,-8200000.0,-22500000.0,-18300000.0
13,Change To Account Receivables,-92000000.0,36800000.0,-8000000.0
14,Other Cashflows From Financing Activities,-42300000.0,-85000000.0,-500000.0
15,Change To Netincome,33300000.0,11300000.0,21900000.0
16,Capital Expenditures,-13900000.0,-12600000.0,-6600000.0
