Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Treasury Stock,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Net Income,Change In Cash,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Repurchase Of Stock
2017-09-29,32.66999816894531,32.7599983215332,32.48199844360352,32.56999969482422,31.84518051147461,307500,PINC,1.0030701281009886,0.8959164942406124,0.9487257042775278,1.0206479989635429,-0.0175778708625542,-0.1943438944818336,-0.1405674947136751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-02,32.5099983215332,32.72999954223633,32.36000061035156,32.630001068115234,31.903844833374023,193100,PINC,0.9638370225320404,0.9157217311640484,0.949433014784714,1.012478214064533,-0.0486411915324925,-0.1729858245973512,-0.1396978636922198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-03,33.0,34.540000915527344,32.959999084472656,34.209999084472656,33.44867706298828,1091400,PINC,0.9216604682512256,0.8728443256842492,0.8944754840409335,1.0113391723313174,-0.0896787040800918,-0.2171190493206528,-0.1873251581796386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-04,34.16999816894531,34.4900016784668,33.849998474121094,34.189998626708984,33.42912673950195,1331600,PINC,0.9385785744892444,0.8800819217082256,0.920152066956932,1.0126829906128405,-0.074104416123596,-0.2084017653133407,-0.169807299639732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-05,34.209999084472656,34.939998626708984,33.97999954223633,34.810001373291016,34.03532791137695,696300,PINC,0.8985924031599085,0.879057833212305,0.941970870945221,1.0121464877707815,-0.113554084610873,-0.2037426424708076,-0.1559508778260381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-06,34.790000915527344,35.060001373291016,34.4900016784668,34.5,33.73222732543945,834000,PINC,0.8744927596217491,0.906087008935392,0.9585506736007472,1.0081446760609294,-0.1336519164391802,-0.1888562138916442,-0.1420223928350164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-09,34.380001068115234,34.404998779296875,33.79999923706055,33.86000061035156,33.106475830078125,480800,PINC,0.8972236971036095,0.9397517290679764,0.9695805713874854,1.0143616235707735,-0.117137926467164,-0.1639636958846761,-0.1289015747892115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-10,34.0,34.029998779296875,33.790000915527344,33.880001068115234,33.12602615356445,370900,PINC,0.8869538976591899,0.952479441865757,0.9628098402667314,1.008797349947511,-0.121843452288321,-0.1403712342781886,-0.1264874724272241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-11,33.939998626708984,34.220001220703125,33.63999938964844,34.08000183105469,33.32157516479492,430600,PINC,0.815434277372851,0.9463027176372524,0.9577465546566356,1.0091988628593096,-0.1937645854864585,-0.1549294901054539,-0.130350495536358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-12,34.09000015258789,34.40999984741211,33.959999084472656,34.380001068115234,33.61490249633789,436200,PINC,0.8126817064791031,0.9374635225253902,0.9522978184725392,1.0112728774332036,-0.1985911709541005,-0.1612214032979624,-0.1237372824925902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
