Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Long Term Debt,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Dividends Paid,Other Cashflows From Investing Activities,Investments
2020-11-20,27.0,27.0,24.049999237060547,25.100000381469727,25.100000381469727,19129600,SHC,1.0752987793196906,1.0996015921117532,0.974501940746202,766054000.0,164733000.0,2649468000.0,44359000.0,14757000.0,31020000.0,2708584000.0,,11197000.0,-10417000.0,284996000.0,1023314000.0,-109957000.0,23471000.0,96272000.0,143374000.0,15764000.0,-109957000.0,582548000.0,312862000.0,335000.0,-1745009000.0,4800000.0,141612000.0,2189563000.0,39542000.0,46355000.0,15343000.0,15125000.0,96638000.0,-14634000.0,-191857000.0,-5867000.0,1155961000.0,-5870000.0,20668000.0,-34000000.0,-3676000.0,119563000.0,148146000.0,-7041000.0,-2906000.0,-1378000.0,-34018000.0,-72613000.0,-175845000.0,6429000.0,
2020-11-23,25.229999542236328,28.8700008392334,25.15999984741211,27.950000762939453,27.950000762939453,6536700,SHC,0.9638640357312244,0.950268291268165,0.8980321894928637,696006000.0,,3208181000.0,-642574000.0,15067000.0,12060000.0,2580674000.0,2324000.0,9426000.0,-550511000.0,253435000.0,1035865000.0,-94387000.0,18808000.0,62863000.0,123990000.0,2252000.0,-94387000.0,577641000.0,252354000.0,,-2374445000.0,5060000.0,111582000.0,2800873000.0,39659000.0,42004000.0,16331000.0,-8968000.0,-57257000.0,583516000.0,-126030000.0,-3094000.0,1155961000.0,-20850000.0,-33761000.0,-34000000.0,485000.0,149041000.0,148770000.0,-282000.0,11764000.0,-18376000.0,21181000.0,-57257000.0,-691170000.0,,
2020-11-24,28.26000022888184,29.0,26.81999969482422,27.0,27.0,3123500,SHC,1.0214814786557798,0.9766666977493852,0.9337036697952836,696006000.0,,3208181000.0,-642574000.0,15067000.0,12060000.0,2580674000.0,2324000.0,9426000.0,-550511000.0,253435000.0,1035865000.0,-94387000.0,18808000.0,62863000.0,123990000.0,2252000.0,-94387000.0,577641000.0,252354000.0,,-2374445000.0,5060000.0,111582000.0,2800873000.0,39659000.0,42004000.0,16331000.0,-8968000.0,-57257000.0,583516000.0,-126030000.0,-3094000.0,1155961000.0,-20850000.0,-33761000.0,-34000000.0,485000.0,149041000.0,148770000.0,-282000.0,11764000.0,-18376000.0,21181000.0,-57257000.0,-691170000.0,,
2020-11-25,26.540000915527344,27.920000076293945,26.1200008392334,26.76000022888184,26.76000022888184,1693300,SHC,1.0280269055898783,0.9532884906835356,0.9484304538000036,696006000.0,,3208181000.0,-642574000.0,15067000.0,12060000.0,2580674000.0,2324000.0,9426000.0,-550511000.0,253435000.0,1035865000.0,-94387000.0,18808000.0,62863000.0,123990000.0,2252000.0,-94387000.0,577641000.0,252354000.0,,-2374445000.0,5060000.0,111582000.0,2800873000.0,39659000.0,42004000.0,16331000.0,-8968000.0,-57257000.0,583516000.0,-126030000.0,-3094000.0,1155961000.0,-20850000.0,-33761000.0,-34000000.0,485000.0,149041000.0,148770000.0,-282000.0,11764000.0,-18376000.0,21181000.0,-57257000.0,-691170000.0,,
2020-11-27,26.739999771118164,28.64999961853028,26.71999931335449,27.96999931335449,27.96999931335449,3429300,SHC,0.9939220564723872,0.9538791905667732,0.8877368799880799,696006000.0,,3208181000.0,-642574000.0,15067000.0,12060000.0,2580674000.0,2324000.0,9426000.0,-550511000.0,253435000.0,1035865000.0,-94387000.0,18808000.0,62863000.0,123990000.0,2252000.0,-94387000.0,577641000.0,252354000.0,,-2374445000.0,5060000.0,111582000.0,2800873000.0,39659000.0,42004000.0,16331000.0,-8968000.0,-57257000.0,583516000.0,-126030000.0,-3094000.0,1155961000.0,-20850000.0,-33761000.0,-34000000.0,485000.0,149041000.0,148770000.0,-282000.0,11764000.0,-18376000.0,21181000.0,-57257000.0,-691170000.0,,
2020-11-30,28.100000381469727,28.34000015258789,26.88999938964844,27.059999465942383,27.059999465942383,932900,SHC,1.0140429074506636,0.9423503511925124,0.9039172049969152,696006000.0,,3208181000.0,-642574000.0,15067000.0,12060000.0,2580674000.0,2324000.0,9426000.0,-550511000.0,253435000.0,1035865000.0,-94387000.0,18808000.0,62863000.0,123990000.0,2252000.0,-94387000.0,577641000.0,252354000.0,,-2374445000.0,5060000.0,111582000.0,2800873000.0,39659000.0,42004000.0,16331000.0,-8968000.0,-57257000.0,583516000.0,-126030000.0,-3094000.0,1155961000.0,-20850000.0,-33761000.0,-34000000.0,485000.0,149041000.0,148770000.0,-282000.0,11764000.0,-18376000.0,21181000.0,-57257000.0,-691170000.0,,
2020-12-01,27.18000030517578,27.6299991607666,26.709999084472656,27.39999961853028,27.39999961853028,417700,SHC,0.986131417297188,0.9930656738429614,0.8985401891240612,696006000.0,,3208181000.0,-642574000.0,15067000.0,12060000.0,2580674000.0,2324000.0,9426000.0,-550511000.0,253435000.0,1035865000.0,-94387000.0,18808000.0,62863000.0,123990000.0,2252000.0,-94387000.0,577641000.0,252354000.0,,-2374445000.0,5060000.0,111582000.0,2800873000.0,39659000.0,42004000.0,16331000.0,-8968000.0,-57257000.0,583516000.0,-126030000.0,-3094000.0,1155961000.0,-20850000.0,-33761000.0,-34000000.0,485000.0,149041000.0,148770000.0,-282000.0,11764000.0,-18376000.0,21181000.0,-57257000.0,-691170000.0,,
2020-12-02,27.440000534057617,28.39999961853028,26.989999771118164,28.0,28.0,1139600,SHC,0.9432142802647182,0.9917857306344168,0.8521428789411271,696006000.0,,3208181000.0,-642574000.0,15067000.0,12060000.0,2580674000.0,2324000.0,9426000.0,-550511000.0,253435000.0,1035865000.0,-94387000.0,18808000.0,62863000.0,123990000.0,2252000.0,-94387000.0,577641000.0,252354000.0,,-2374445000.0,5060000.0,111582000.0,2800873000.0,39659000.0,42004000.0,16331000.0,-8968000.0,-57257000.0,583516000.0,-126030000.0,-3094000.0,1155961000.0,-20850000.0,-33761000.0,-34000000.0,485000.0,149041000.0,148770000.0,-282000.0,11764000.0,-18376000.0,21181000.0,-57257000.0,-691170000.0,,
2020-12-03,27.920000076293945,28.489999771118164,27.559999465942383,27.950000762939453,27.950000762939453,498300,SHC,0.9234346605158372,1.0130590254438254,0.8533094715723172,696006000.0,,3208181000.0,-642574000.0,15067000.0,12060000.0,2580674000.0,2324000.0,9426000.0,-550511000.0,253435000.0,1035865000.0,-94387000.0,18808000.0,62863000.0,123990000.0,2252000.0,-94387000.0,577641000.0,252354000.0,,-2374445000.0,5060000.0,111582000.0,2800873000.0,39659000.0,42004000.0,16331000.0,-8968000.0,-57257000.0,583516000.0,-126030000.0,-3094000.0,1155961000.0,-20850000.0,-33761000.0,-34000000.0,485000.0,149041000.0,148770000.0,-282000.0,11764000.0,-18376000.0,21181000.0,-57257000.0,-691170000.0,,
2020-12-04,28.01000022888184,28.2450008392334,27.51000022888184,27.700000762939453,27.700000762939453,803900,SHC,0.913357348022534,1.0462093409401425,0.8635378851071055,696006000.0,,3208181000.0,-642574000.0,15067000.0,12060000.0,2580674000.0,2324000.0,9426000.0,-550511000.0,253435000.0,1035865000.0,-94387000.0,18808000.0,62863000.0,123990000.0,2252000.0,-94387000.0,577641000.0,252354000.0,,-2374445000.0,5060000.0,111582000.0,2800873000.0,39659000.0,42004000.0,16331000.0,-8968000.0,-57257000.0,583516000.0,-126030000.0,-3094000.0,1155961000.0,-20850000.0,-33761000.0,-34000000.0,485000.0,149041000.0,148770000.0,-282000.0,11764000.0,-18376000.0,21181000.0,-57257000.0,-691170000.0,,
