Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Minority Interest,Short Long Term Debt,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Net Borrowings,Issuance Of Stock,Repurchase Of Stock
2020-11-20,27.0,27.0,24.049999237060547,25.100000381469727,25.100000381469727,19129600,SHC,1.0752987793196906,1.0996015921117532,0.974501940746202,1.0823666585670508,-0.0070678792473601,-0.0931892243670211,-0.3092389671910417,647129000.0,4019000.0,3348380000.0,-663858000.0,14924000.0,2700004000.0,2324000.0,8945000.0,-545448000.0,244244000.0,1091581000.0,-124753000.0,11790000.0,108276000.0,144695000.0,2354000.0,-124753000.0,628142000.0,308505000.0,12857000.0,-2402568000.0,651000.0,128362000.0,2888780000.0,31682000.0,43673000.0,15482000.0,21200000.0,1103000.0,-116482000.0,90479000.0,8688000.0,10000.0,22088000.0,2038000.0,46053000.0,36629000.0,1816000.0,9342000.0,-4221000.0,1581000.0,-10202000.0,94700000.0,1155961000.0,-34000000.0
2020-11-23,25.229999542236328,28.8700008392334,25.15999984741211,27.950000762939453,27.950000762939453,6536700,SHC,0.9638640357312244,0.950268291268165,0.8980321894928637,1.0655008807234645,-0.1016368449922399,-0.2115367558359846,-0.367884023229276,647129000.0,4019000.0,3348380000.0,-663858000.0,14924000.0,2700004000.0,2324000.0,8945000.0,-545448000.0,244244000.0,1091581000.0,-124753000.0,11790000.0,108276000.0,144695000.0,2354000.0,-124753000.0,628142000.0,308505000.0,12857000.0,-2402568000.0,651000.0,128362000.0,2888780000.0,31682000.0,43673000.0,15482000.0,21200000.0,1103000.0,-116482000.0,90479000.0,8688000.0,10000.0,22088000.0,2038000.0,46053000.0,36629000.0,1816000.0,9342000.0,-4221000.0,1581000.0,-10202000.0,94700000.0,1155961000.0,-34000000.0
2020-11-24,28.26000022888184,29.0,26.81999969482422,27.0,27.0,3123500,SHC,1.0214814786557798,0.9766666977493852,0.9337036697952836,1.0462667827802716,-0.0247853041244918,-0.1542542652783796,-0.3148137082042588,647129000.0,4019000.0,3348380000.0,-663858000.0,14924000.0,2700004000.0,2324000.0,8945000.0,-545448000.0,244244000.0,1091581000.0,-124753000.0,11790000.0,108276000.0,144695000.0,2354000.0,-124753000.0,628142000.0,308505000.0,12857000.0,-2402568000.0,651000.0,128362000.0,2888780000.0,31682000.0,43673000.0,15482000.0,21200000.0,1103000.0,-116482000.0,90479000.0,8688000.0,10000.0,22088000.0,2038000.0,46053000.0,36629000.0,1816000.0,9342000.0,-4221000.0,1581000.0,-10202000.0,94700000.0,1155961000.0,-34000000.0
2020-11-25,26.540000915527344,27.920000076293945,26.1200008392334,26.76000022888184,26.76000022888184,1693300,SHC,1.0280269055898783,0.9532884906835356,0.9484304538000036,1.0403610731589388,-0.0123341675690604,-0.1587564740219577,-0.3112118553636215,647129000.0,4019000.0,3348380000.0,-663858000.0,14924000.0,2700004000.0,2324000.0,8945000.0,-545448000.0,244244000.0,1091581000.0,-124753000.0,11790000.0,108276000.0,144695000.0,2354000.0,-124753000.0,628142000.0,308505000.0,12857000.0,-2402568000.0,651000.0,128362000.0,2888780000.0,31682000.0,43673000.0,15482000.0,21200000.0,1103000.0,-116482000.0,90479000.0,8688000.0,10000.0,22088000.0,2038000.0,46053000.0,36629000.0,1816000.0,9342000.0,-4221000.0,1581000.0,-10202000.0,94700000.0,1155961000.0,-34000000.0
2020-11-27,26.739999771118164,28.64999961853028,26.71999931335449,27.96999931335449,27.96999931335449,3429300,SHC,0.9939220564723872,0.9538791905667732,0.8877368799880799,1.0432249427155542,-0.049302886243167,-0.1770125488731362,-0.3595864101783456,647129000.0,4019000.0,3348380000.0,-663858000.0,14924000.0,2700004000.0,2324000.0,8945000.0,-545448000.0,244244000.0,1091581000.0,-124753000.0,11790000.0,108276000.0,144695000.0,2354000.0,-124753000.0,628142000.0,308505000.0,12857000.0,-2402568000.0,651000.0,128362000.0,2888780000.0,31682000.0,43673000.0,15482000.0,21200000.0,1103000.0,-116482000.0,90479000.0,8688000.0,10000.0,22088000.0,2038000.0,46053000.0,36629000.0,1816000.0,9342000.0,-4221000.0,1581000.0,-10202000.0,94700000.0,1155961000.0,-34000000.0
2020-11-30,28.100000381469727,28.34000015258789,26.88999938964844,27.059999465942383,27.059999465942383,932900,SHC,1.0140429074506636,0.9423503511925124,0.9039172049969152,1.057318771652863,-0.0432758642021993,-0.2102158112036423,-0.3540195480197173,647129000.0,4019000.0,3348380000.0,-663858000.0,14924000.0,2700004000.0,2324000.0,8945000.0,-545448000.0,244244000.0,1091581000.0,-124753000.0,11790000.0,108276000.0,144695000.0,2354000.0,-124753000.0,628142000.0,308505000.0,12857000.0,-2402568000.0,651000.0,128362000.0,2888780000.0,31682000.0,43673000.0,15482000.0,21200000.0,1103000.0,-116482000.0,90479000.0,8688000.0,10000.0,22088000.0,2038000.0,46053000.0,36629000.0,1816000.0,9342000.0,-4221000.0,1581000.0,-10202000.0,94700000.0,1155961000.0,-34000000.0
2020-12-01,27.18000030517578,27.6299991607666,26.709999084472656,27.39999961853028,27.39999961853028,417700,SHC,0.986131417297188,0.9930656738429614,0.8985401891240612,1.0299227666019029,-0.0437913493047148,-0.1609988126669924,-0.3560815993600488,647129000.0,4019000.0,3348380000.0,-663858000.0,14924000.0,2700004000.0,2324000.0,8945000.0,-545448000.0,244244000.0,1091581000.0,-124753000.0,11790000.0,108276000.0,144695000.0,2354000.0,-124753000.0,628142000.0,308505000.0,12857000.0,-2402568000.0,651000.0,128362000.0,2888780000.0,31682000.0,43673000.0,15482000.0,21200000.0,1103000.0,-116482000.0,90479000.0,8688000.0,10000.0,22088000.0,2038000.0,46053000.0,36629000.0,1816000.0,9342000.0,-4221000.0,1581000.0,-10202000.0,94700000.0,1155961000.0,-34000000.0
2020-12-02,27.440000534057617,28.39999961853028,26.989999771118164,28.0,28.0,1139600,SHC,0.9432142802647182,0.9917857306344168,0.8521428789411271,1.0415781929012056,-0.0983639126364873,-0.1716967447453422,-0.3924217581080219,647129000.0,4019000.0,3348380000.0,-663858000.0,14924000.0,2700004000.0,2324000.0,8945000.0,-545448000.0,244244000.0,1091581000.0,-124753000.0,11790000.0,108276000.0,144695000.0,2354000.0,-124753000.0,628142000.0,308505000.0,12857000.0,-2402568000.0,651000.0,128362000.0,2888780000.0,31682000.0,43673000.0,15482000.0,21200000.0,1103000.0,-116482000.0,90479000.0,8688000.0,10000.0,22088000.0,2038000.0,46053000.0,36629000.0,1816000.0,9342000.0,-4221000.0,1581000.0,-10202000.0,94700000.0,1155961000.0,-34000000.0
2020-12-03,27.920000076293945,28.489999771118164,27.559999465942383,27.950000762939453,27.950000762939453,498300,SHC,0.9234346605158372,1.0130590254438254,0.8533094715723172,1.0581536374396452,-0.1347189769238079,-0.1578869913986715,-0.3791372863766785,647129000.0,4019000.0,3348380000.0,-663858000.0,14924000.0,2700004000.0,2324000.0,8945000.0,-545448000.0,244244000.0,1091581000.0,-124753000.0,11790000.0,108276000.0,144695000.0,2354000.0,-124753000.0,628142000.0,308505000.0,12857000.0,-2402568000.0,651000.0,128362000.0,2888780000.0,31682000.0,43673000.0,15482000.0,21200000.0,1103000.0,-116482000.0,90479000.0,8688000.0,10000.0,22088000.0,2038000.0,46053000.0,36629000.0,1816000.0,9342000.0,-4221000.0,1581000.0,-10202000.0,94700000.0,1155961000.0,-34000000.0
2020-12-04,28.01000022888184,28.2450008392334,27.51000022888184,27.700000762939453,27.700000762939453,803900,SHC,0.913357348022534,1.0462093409401425,0.8635378851071055,1.055411022203609,-0.142053674181075,-0.1127296453395199,-0.3412516152085211,647129000.0,4019000.0,3348380000.0,-663858000.0,14924000.0,2700004000.0,2324000.0,8945000.0,-545448000.0,244244000.0,1091581000.0,-124753000.0,11790000.0,108276000.0,144695000.0,2354000.0,-124753000.0,628142000.0,308505000.0,12857000.0,-2402568000.0,651000.0,128362000.0,2888780000.0,31682000.0,43673000.0,15482000.0,21200000.0,1103000.0,-116482000.0,90479000.0,8688000.0,10000.0,22088000.0,2038000.0,46053000.0,36629000.0,1816000.0,9342000.0,-4221000.0,1581000.0,-10202000.0,94700000.0,1155961000.0,-34000000.0
