Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Accounts Payable,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Total Cash From Operating Activities,Depreciation,Dividends Paid,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2017-09-29,235.009994506836,237.6000061035156,234.57000732421875,237.19000244140625,220.45611572265625,1902300,GS,1.0223028234309803,1.0862054406577273,1.0727564838191417,1.0206479989635429,0.0016548244674374,-0.0040549480647187,-0.0165367151720612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-02,237.1999969482422,241.1000061035156,237.1000061035156,240.6499938964844,223.6719970703125,2501300,GS,1.015001124257158,1.0651277123386131,1.085130962315009,1.012478214064533,0.0025229101926249,-0.0235798434227865,-0.0039999161619248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-03,241.07000732421875,242.7100067138672,239.69000244140625,241.6199951171875,224.5735778808593,2010800,GS,1.0217699777423768,1.045448751546952,1.065494881181471,1.0113391723313174,0.0104308054110593,-0.0445146234579501,-0.016305761039101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-04,241.6199951171875,242.8800048828125,240.1199951171875,240.3099975585937,223.3560028076172,1840400,GS,1.017019633813934,1.0600390398623187,1.079507938968397,1.0126829906128405,0.0043366432010933,-0.0284446471592476,-0.010451427628267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-05,241.0,246.32000732421875,240.1199951171875,246.0599975585937,228.7003173828125,3521300,GS,0.9895553833893866,1.0368578974365268,1.0369066027297382,1.0121464877707815,-0.0225911043813948,-0.0459425782465858,-0.0610151460415209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-06,246.3000030517578,247.0800018310547,244.6100006103516,246.0200042724609,228.6631317138672,2396100,GS,0.9747582806958142,1.0402885637322652,1.0385881389196756,1.0081446760609294,-0.0333863953651152,-0.0546546590947709,-0.0619849275160879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-09,245.1499938964844,246.3500061035156,242.0200042724609,242.8000030517578,225.6703186035156,2165200,GS,0.9936161595398908,1.061934625373491,1.0530661217766897,1.0143616235707735,-0.0207454640308827,-0.0417807995791617,-0.0454160244000072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-10,242.8000030517578,243.72999572753903,241.6999969482422,242.6000061035156,225.48443603515625,2187100,GS,0.992539053692178,1.0687230212078649,1.044770211813378,1.008797349947511,-0.0162582962553329,-0.0241276549360807,-0.0445271008805776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-11,242.0,243.1999969482422,241.3500061035156,242.3999938964844,225.29855346679688,2175700,GS,0.9907177474333848,1.049699068740575,1.0236789752312978,1.0091988628593096,-0.0184811154259247,-0.0515331390021314,-0.0644180749616958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-12,242.3300018310547,243.4199981689453,238.75,239.8000030517578,222.88198852539065,2148200,GS,1.0019599783498006,1.0498692594692578,1.0172429350342036,1.0112728774332036,-0.009312899083403,-0.0488156663540948,-0.0587921659309258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
