Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Accounts Payable,Other Stockholder Equity,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2017-09-29,55.45000076293945,56.2599983215332,52.970001220703125,55.959999084472656,55.959999084472656,243000,AMED,0.8597212544219064,0.9479985722834018,1.1535025751933696,1.0206479989635429,-0.1609267445416364,-0.1422618164390442,0.0642093762021667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-02,56.09999847412109,56.59000015258789,55.34000015258789,56.040000915527344,56.040000915527344,241000,AMED,0.8288722341913679,0.9437901235828476,1.1770163812791217,1.012478214064533,-0.183605979873165,-0.144917432178552,0.0878855028021878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-03,56.040000915527344,56.040000915527344,52.900001525878906,54.130001068115234,54.130001068115234,778100,AMED,0.9818954457251324,0.9331239114141758,1.2022907915549526,1.0113391723313174,-0.0294437266061849,-0.1568394635907262,0.1204901493343804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-04,54.310001373291016,55.0,53.34000015258789,53.5,53.5,184700,AMED,1.0242990511600103,0.9461682043342948,1.2396261625200788,1.0126829906128405,0.0116160605471697,-0.1423154826872715,0.1496667959234148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-05,53.7400016784668,54.130001068115234,52.16999816894531,53.470001220703125,53.470001220703125,230400,AMED,1.0441369096030204,0.9556760296900012,1.2406956204108772,1.0121464877707815,0.0319904218322388,-0.1271244459931114,0.142773871639618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-06,53.380001068115234,53.650001525878906,52.470001220703125,52.75,52.75,197700,AMED,1.046255898136663,1.0337440526880926,1.267108935315462,1.0081446760609294,0.0381112220757335,-0.0611991701389436,0.1665358688796985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-09,51.900001525878906,51.900001525878906,48.47999954223633,48.90999984741211,48.90999984741211,585800,AMED,1.195870003290576,1.1196074114163104,1.369863017972286,1.0143616235707735,0.1815083797198025,0.0158919864636577,0.271380871795589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-10,48.970001220703125,49.13999938964844,47.400001525878906,47.77000045776367,47.77000045776367,916800,AMED,1.1804479558149936,1.1938454727401673,1.3992044315969367,1.008797349947511,0.1716506058674827,0.1009947965962216,0.3099071189029811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-11,47.900001525878906,48.959999084472656,47.900001525878906,48.630001068115234,48.630001068115234,437200,AMED,1.1566933737305816,1.1462060549904718,1.3839194236802876,1.0091988628593096,0.1474945108712719,0.0449738472477654,0.295822373487294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-12,48.630001068115234,48.84000015258789,47.27000045776367,48.0,48.0,631900,AMED,1.1729166507720947,1.1414583524068196,1.3841667175292969,1.0112728774332036,0.1616437733388911,0.0427734265834669,0.3081316165641674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
